ID,Form,IPA,Gloss,Language_ID
0,є,[jɛ],The eighth letter of the Ukrainian Cyrillic alphabet. Its name is yе and it has the sound of ye (/je/). It is preceded by е (e) and followed by ж (ž).,0
1,є,[jɛ],"present indicative of бу́ти (búty): am, is, are",0
2,Єва,[ˈjɛʋɐ],"A female given name, Yeva, equivalent to English Eva",0
3,Євген,[jeu̯ˈɦɛn],"A male given name, Yevhen, equivalent to English Eugene",0
4,Євгенія,[jeu̯ˈɦɛnʲijɐ],"A female given name, Evhenia, Evheniya, Yevhenia, or Yevheniya, equivalent to English Eugenia",0
5,Євдокія,[jeu̯doˈkʲijɐ],"A female given name, Evdokia, Evdokiya, Yevdokia, or",0
6,євразійський,[jeu̯rɐˈzʲii̯sʲkei̯],Eurasian,0
7,Євразія,[jeu̯ˈrɑzʲijɐ],Eurasia (a supercontinent consisting of Europe and Asia),0
8,єврей,[jeu̯ˈrɛi̯],"Jew, Synonym: жид (žyd)",0
9,єврейський,[jeu̯ˈrɛi̯sʲkei̯],Jewish,0
10,Євромайдан,[jeu̯rɔmɐi̯ˈdɑn],"The Euromaidan, a series of antigovernment protests",0
11,Європа,[jeu̯ˈrɔpɐ],Europe (a continent),0
12,європейський,[jeu̯rɔˈpɛi̯sʲkei̯],European,0
13,Єгипет,[jeˈɦɪpet],Egypt (a country in North Africa),0
14,Єгор,[jeˈɦɔr],"A male given name, Yehor",0
15,єдваб,[jedˈʋɑb],"silk, Synonym: шовк (šovk)",0
16,єдиний,[jeˈdɪnei̯],"only, sole, united, unified, integral, indivisible,",0
17,єдиноріг,[jedenoˈrʲiɦ],"unicorn, narwhal",0
18,Ємен,[ˈjɛmen],"Yemen (a country in Western Asia, in the Middle East)",0
19,Єреван,[jereˈʋɑn],Yerevan (the capital of Armenia),0
20,Єременко,[jeˈrɛmenkɔ],A  surname​.,0
21,і,[i],The twelfth letter of the Ukrainian Cyrillic alphabet.,0
22,і,[i],"and, also, even",0
23,і,[i],"Augmentative particle, even, and.",0
24,і,[i],"expressing pain, fear, surprise, joy, disappointment,",0
25,і,[i],"and, also, even",0
26,і,[i],"Augmentative particle, even, and.",0
27,і,[i],"expressing pain, fear, surprise, joy, disappointment,",0
28,і,[i],"expressing pain, fear, surprise, joy, disappointment,",0
29,ієрархічний,[ijerɐrˈxʲit͡ʃnei̯],hierarchical,0
30,ієрархія,[ijeˈrɑrxʲijɐ],hierarchy,0
31,Іван,[iˈʋɑn],"A male given name, Ivan, equivalent to English John or Russian Ива́н (Iván)",0
32,Іванна,[iˈʋɑnːɐ],"A female given name, Ivanna",0
33,Івано-Франківськ,[iˌʋɑnɔ frɐnʲˈkʲiu̯sʲk],Ivano-Frankivsk (a city in Ukraine),0
34,Іванов,[iʋɐˈnɔu̯],"A Russian  surname, equivalent to the English Johnson, from Russian​.",0
35,Івасюк,[iʋɐˈsʲuk],A  surname​.,0
36,іволга,[ˈiwɔɫɦɐ],"oriole, Synonym: ви́вільга (vývilʹha)",0
37,іго,[ˈiɦɔ],"(figuratively) yoke; slavery, oppression, (archaic,",0
38,Ігор,[ˈiɦɔr],"A male given name, Ihor, equivalent to English Igor",0
39,іграшка,[ˈiɦrɐʃkɐ],"toy
Synonym: (dated) ца́цка (cácka)",0
40,ідіот,[idʲiˈɔt],idiot,0
41,ідіотичний,[idʲiɔˈtɪt͡ʃnei̯],"idiotic, Synonym: ідіо́тський (idiótsʹkyj)",0
42,ідіотка,[idʲiˈɔtkɐ],female equivalent of ідіо́т (idiót): idiot,0
43,ідіотський,[idʲiˈɔt͡sʲkei̯],"idiotic, Synonym: ідіоти́чний (idiotýčnyj)",0
44,ідеал,[ideˈɑɫ],"ideal, в ідеа́лі ― v ideáli ― ideally",0
45,ідеальний,[ideˈɑlʲnei̯],ideal,0
46,ідентифікація,[identefʲiˈkɑt͡sʲijɐ],"identification, Synonym: отото́жнення (ototóžnennja)",0
47,ідентифікувати,[identefʲikʊˈʋɑte],"(transitive) to identify, Synonyms: отото́жнювати impf",0
48,ідеологічний,[ideɔɫoˈɦʲit͡ʃnei̯],ideological,0
49,ідеологія,[ideɔˈɫɔɦʲijɐ],ideology,0
50,ідея,[iˈdɛjɐ],"idea, notion, concept",0
51,із,[iz],Alternative form of з (z),0
52,ізолювати,[izɔlʲʊˈʋɑte],to isolate,0
53,Ізраїль,[izˈrɑjilʲ],"A male given name, Izrayil, equivalent to English Israel",0
54,Ізраїль,[izˈrɑjilʲ],Israel (a country in Western Asia),0
55,ізраїльський,[izˈrɑjilʲsʲkei̯],Israeli,0
56,ізраїльтянин,[izrɐjilʲˈtʲɑnen],"Israeli, (historical) Israelite",0
57,ізраїльтянка,[izrɐjilʲˈtʲɑnkɐ],"female equivalent of ізраїльтя́нин (izrajilʹtjányn):,",0
58,ізумруд,[izʊmˈrud],(countable) emerald (an individual stone or stones),0
59,ізумруд,[izʊmˈrud],(uncountable) emerald (substance),0
60,ізумрудний,[izʊmˈrudnei̯],"(relational) emerald
Synonym: смара́гдовий (smaráhdovyj)",0
61,ізюм,[iˈzʲum],"(uncountable) raisins, Synonym: родзи́нки (rodzýnky)",0
62,-ійський,[ ˈii̯sʲkei̯],"Adjectival suffix forming nouns meaning ""related to",0
63,ікло,[ˈikɫɔ],"fang, canine tooth",0
64,ікра,[iˈkrɑ],"caviar, roe, ikra",0
65,Іллірія,[iˈlʲːirʲijɐ],Illyria,0
66,ілюзія,[iˈlʲuzʲijɐ],illusion,0
67,імла,[imˈɫɑ],"(meteorology) mist, haze",0
68,імпорт,[ˈimpɔrt],"import, Synonym: ввіз m (vviz), Antonyms: е́кспорт m",0
69,імпортувати,[impɔrtʊˈʋɑte],"to import, Synonyms: вво́зити impf (vvózyty), ввезти́ pf",0
70,імунізація,[imʊnʲiˈzɑt͡sʲijɐ],immunization,0
71,інвалід,[inʋɐˈlʲid],invalid (disabled person),0
72,інвестиція,[inʋeˈstɪt͡sʲijɐ],investment,0
73,інвестувати,[inʋestʊˈʋɑte],"to invest, Synonyms: вклада́ти impf (vkladáty), вкла́сти pf",0
74,індієць,[inʲˈdʲijet͡sʲ],Indian (male person from India),0
75,індійка,[inʲˈdʲii̯kɐ],female equivalent of інді́єць (indíjecʹ): Indian (female person from India),0
76,індійський,[inʲˈdʲii̯sʲkei̯],Indian,0
77,Індія,[ˈinʲdʲijɐ],India (a country in South Asia),0
78,індекс,[ˈindeks],index,0
79,індивід,[indeˈʋʲid],"individual (person considered alone), Synonyms: осо́ба",0
80,індивідуальний,[indeʋʲidʊˈɑlʲnei̯],individual,0
81,індивідуально,[indeʋʲidʊˈɑlʲnɔ],individually,0
82,Індонезія,[indɔˈnɛzʲijɐ],Indonesia,0
83,індустріальний,[indʊstʲrʲiˈɑlʲnei̯],"industrial, Synonym: промисло́вий (promyslóvyj)",0
84,індустрія,[inˈdustʲrʲijɐ],industry,0
85,інерційний,[inerˈt͡sʲii̯nei̯],(physics) inertial,0
86,інерція,[iˈnɛrt͡sʲijɐ],(physics) inertia,0
87,інженер,[inʒeˈnɛr],engineer,0
88,інженерія,[inʒeˈnɛrʲijɐ],engineering,0
89,інженерка,[inʒeˈnɛrkɐ],female equivalent of інжене́р (inženér): engineer,0
90,інквілін,[inkʋʲiˈlʲin],(biology) inquiline,0
91,інколи,[ˈinkɔɫe],"sometimes, at times",0
92,Інна,[ˈinːɐ],"A female given name, Inna",0
93,інноваційний,[inːɔʋɐˈt͡sʲii̯nei̯],innovative,0
94,інновація,[inːɔˈʋɑt͡sʲijɐ],"innovation (something new and original), Synonym: нововве́дення",0
95,іноді,[ˈinɔdʲi],"sometimes
Synonyms: і́нколи (ínkoly), де́коли (dékoly), ча́сом (čásom), час від ча́су (čas vid čásu)",0
96,іноземець,[inɔˈzɛmet͡sʲ],"foreigner, Synonym: чужозе́мець (čužozémecʹ)",0
97,іноземка,[inɔˈzɛmkɐ],"female equivalent of інозе́мець (inozémecʹ): foreigner,",0
98,іноземний,[inɔˈzɛmnei̯],"foreign, Він поду́мав, що було́ б непога́но володі́ти",0
99,інохідь,[ˈinɔxʲidʲ],amble (easy walking pace of a horse),0
100,іноходець,[inɔˈxɔdet͡sʲ],"ambler, pacer (type of horse)",0
101,інспектор,[inˈspɛktɔr],inspector,0
102,інсталятор,[instɐˈlʲɑtɔr],installer,0
103,інститут,[insteˈtut],"institute, institution",0
104,інституційний,[instetʊˈt͡sʲii̯nei̯],institutional,0
105,інституція,[insteˈtut͡sʲijɐ],"institution, Synonyms: устано́ва f (ustanóva), закла́д m",0
106,інструкція,[inˈstrukt͡sʲijɐ],"instruction, directive",0
107,інструмент,[instrʊˈmɛnt],"tool, instrument, utensil",0
108,інструмент,[instrʊˈmɛnt],"(uncountable) tools, instruments (set of)",0
109,інструмент,[instrʊˈmɛnt],"(uncountable) tools, instruments (set of)",0
110,інтеграція,[inteˈɦrɑt͡sʲijɐ],(uncountable) integration,0
111,інтенсивність,[intenˈsɪu̯nʲisʲtʲ],"intensity, intenseness, intensiveness",0
112,інтенсивний,[intenˈsɪu̯nei̯],"intensive, intense",0
113,інтенсифікація,[intensefʲiˈkɑt͡sʲijɐ],intensification,0
114,інтенсифікувати,[intensefʲikʊˈʋɑte],"(transitive, literary) to intensify",0
115,інтерв'ю,[interˈʋju],interview,0
116,інтерес,[inteˈrɛs],interest,0
117,інтересувати,[interesʊˈʋɑte],"(transitive) to interest, Synonyms: ціка́вити (cikávyty),",0
118,інтернаціональний,[internɐt͡sʲiɔˈnɑlʲnei̯],"international, Synonym: міжнаро́дний (mižnaródnyj)",0
119,інтерпретація,[interpreˈtɑt͡sʲijɐ],"interpretation, Synonym: тлума́чення (tlumáčennja)",0
120,інтерпретувати,[interpretʊˈʋɑte],"(transitive) to interpret, Synonyms: тлума́чити impf",0
121,інтуїтивно,[intʊjiˈtɪu̯nɔ],intuitively,0
122,інтуїція,[intʊˈjit͡sʲijɐ],intuition,0
123,інфікування,[inʲfʲikʊˈʋɑnʲːɐ],verbal noun of інфікува́ти impf or pf (infikuváty):,0
124,інфікувати,[inʲfʲikʊˈʋɑte],"(transitive) to infect, Synonyms: заража́ти impf (zaražáty),",0
125,інфекційний,[infekˈt͡sʲii̯nei̯],infectious (caused by infection; transmitted from one,0
126,інфекція,[inˈfɛkt͡sʲijɐ],"infection (entry of harmful microorganisms into a host),",0
127,інформатика,[infɔrˈmɑtekɐ],(uncountable) informatics (branch of information science),0
128,інформаційний,[infɔrmɐˈt͡sʲii̯nei̯],"(relational) information (attributive), informational",0
129,інформація,[infɔrˈmɑt͡sʲijɐ],information,0
130,інформувати,[infɔrmʊˈʋɑte],(transitive) to inform,0
131,інфраструктура,[infrɐstrʊkˈturɐ],infrastructure,0
132,інцидент,[int͡seˈdɛnt],"incident (event causing interruption or crisis), Synonym:",0
133,інший,[ˈinʃei̯],"other, another, the other",0
134,іпотека,[ipɔˈtɛkɐ],mortgage,0
135,Ірак,[iˈrɑk],Iraq (a country in Western Asia),0
136,іржа,[irˈʒɑ],rust,0
137,Ірина,[iˈrɪnɐ],"A female given name, Iryna, equivalent to English Irina",0
138,ірландець,[irˈɫɑndet͡sʲ],Irishman (male person from Ireland),0
139,ірландка,[irˈɫɑndkɐ],female equivalent of ірла́ндець (irlándecʹ): Irishwoman,0
140,ірландський,[irˈɫɑnd͡zʲsʲkei̯],"Irish, ірла́ндська мо́ва ― irlándsʹka móva ― the Irish",0
141,іскра,[ˈiskrɐ],spark,0
142,Ісландія,[isˈɫɑnʲdʲijɐ],Iceland (a country in Europe),0
143,ісландець,[isˈɫɑndet͡sʲ],Icelander (person from Iceland),0
144,ісландський,[isˈɫɑnd͡zʲsʲkei̯],"Icelandic, ісла́ндська мо́ва ― islándsʹka móva ― the",0
145,існування,[isnʊˈʋɑnʲːɐ],(uncountable) existence,0
146,існувати,[isnʊˈʋɑte],(intransitive) to exist,0
147,істерія,[isteˈrʲijɐ],hysteria,0
148,істеричний,[isteˈrɪt͡ʃnei̯],hysterical,0
149,істина,[ˈistenɐ],"truth
Synonym: пра́вда (právda)",0
150,істота,[iˈstɔtɐ],"being, creature",0
151,істотний,[iˈstɔtnei̯],essential (constituting or showing the essence of an,0
152,-ість,[ isʲtʲ],"-hood, -ness, -ity (suffix appended to words to create",0
153,італієць,[itɐˈlʲijet͡sʲ],Italian (male person from Italy),0
154,італійка,[itɐˈlʲii̯kɐ],female equivalent of італі́єць (italíjecʹ): Italian,0
155,італійський,[itɐˈlʲii̯sʲkei̯],"Italian, італі́йська мо́ва ― italíjsʹka móva ― the",0
156,Італія,[iˈtɑlʲijɐ],Italy (a country in Southern Europe),0
157,іти,[iˈtɪ],"to go (on foot), to walk, to go by, to pass (about",0
158,ішак,[iˈʃɑk],"(colloquial) donkey, ass, (colloquial) hinny",0
159,ї,[ji],The thirteenth letter of the Ukrainian alphabet,0
160,їбати,[jiˈbɑte],"(vulgar) to fuck, (vulgar) to kick ass",0
161,їдальня,[jiˈdɑlʲnʲɐ],"canteen, dining-room",0
162,їжа,[ˈjiʒɐ],(uncountable) food,0
163,їжак,[jiˈʒɑk],hedgehog (animal),0
164,їздити,[ˈjizdete],to go (by transport),0
165,їстівний,[jisʲtʲiu̯ˈnɪi̯],"edible, comestible",0
166,їсти,[ˈjiste],"(transitive) to eat (consume), to eat (consume a meal),",0
