ID,Form,IPA,Gloss,Language_ID
0,atimo,/a.tiˈmo/,"now, at present",0
1,babul,[ba.ˈbul],(obsolete) November (the eleventh (11th) month of the,0
2,bagafamalül,[ba.ɡa.fa.ma.ˈlyl],"new paragraph mark (sign, symbol)",0
3,bailön,/baiˈløn/,"(transitive) to lease, to let house (or something other)",0
4,Bajkirän,[baʃ.ki.ɾɛn],Bashkiria / Bashkortostan,0
5,bakud,[baˈkud],abacus,0
6,balboat,[bal.bo.ˈat],balboa,0
7,balna,/balˈna/,"once, one time",0
8,balsebalul,[bal.se.ba.ˈlul],(obsolete) November (the eleventh (11th) month of the,0
9,balsetelul,[bal.se.te.ˈlul],(obsolete) December (the twelfth (12th) month of the,0
10,balsul,[bal.ˈsul],(obsolete) October,0
11,balul,[ba.ˈlul],January (the first (1st) month of the year),0
12,baläd,[baˈlɛd],"contract, treaty",0
13,balät,[baˈlɛt],unity,0
14,banacem,/ba.naˈtʃem/,bathroom (containing a bathtub),0
15,baol,/baˈol/,"ball, dance",0
16,batul,[ba.ˈtul],(obsolete) December (the twelfth (12th) month of the,0
17,batül,[baˈtyl],whip for punishing people,0
18,bavet,[baˈvet],"bib, apron, pinafore",0
19,bebül,[beˈbyl],chive,0
20,bed,/bed/,bed,0
21,bef,/bef/,alcove,0
22,befeit,/befeˈit/,contest,0
23,befoön,/befoˈøn/,to precede,0
24,begun,[beˈɡun],begonia,0
25,beit,/beˈit/,bite,0
26,beitön,/be.i.ˈtøn/,"to bite, take a bite out of something",0
27,bekön,/beˈkøn/,"to beseech, to implore",0
28,Belarusän,[be.la.ɾu.ˈsɛn],Belarus (a country in Eastern Europe),0
29,Belarusänapük,[be.la.ɾu.sɛ.na.ˈpyk],Belarusan / Belarusian (language),0
30,beletävön,[be.le.tɛ.ˈvøn],(transitive) To explore.,0
31,Belgän,[bel.ˈɡɛn],Belgium (a country in Europe),0
32,bemül,[beˈmyl],"perch, roost",0
33,ben,[ben],"(sense of) well-being, welfare, being well, wellness",0
34,bened,/beˈned/,a good blessing,0
35,Beninän,[be.ni.ˈnɛn],"Benin (country in West Africa, formerly Dahomey)",0
36,benodan,[benoˈdan],(male or female) benefactor,0
37,benovip,[be.no.ˈvip],"congratulation, felicitation",0
38,benäd,/beˈnɛd/,grace,0
39,benöf,/beˈnøf/,harmony,0
40,ber,[beɾ],(male or female) bear (ursid),0
41,berit,[be.ˈɾit],bunting (bird),0
42,bespik,[be.ˈspik],discussion,0
43,bespikan,[bespiˈkan],(male or female) interviewer,0
44,bespikäb,[bespiˈkɛb],interviewee,0
45,betad,/beˈtad/,beetroot,0
46,betävön,[be.tɛ.ˈvøn],"(transitive) to travel, to tour, Mödikans buükons nog",0
47,bevegön,/beveˈɡøn/,to travel,0
48,bid,[bid],(taxonomy) genus,0
49,bidäd,/biˈdɛd/,"breed, race (as in human race)",0
50,bien,/biˈen/,"bee, 1959, ""Lak drenas"", Volapükagased, issue 2, page",0
51,bienadomil,[bi.e.na.do.ˈmil],beehive,0
52,bienajireg,[bi.e.na.ʃi.ˈɾeɡ],queen bee (insect),0
53,biet,/biˈet/,bitterness,0
54,bijop,[biˈʃop],(male or female) bishop,0
55,bijut,[biˈʃut],jewel,0
56,bil,[bil],"bile, gall (an obsolete English term for bile), (obsolete",0
57,bim,[bim],tree,0
58,binädön,/bi.nɛˈdøn/,to consist (of),0
59,binön,/biˈnøn/,"(intransitive) to be, Binön u no binön; etos binob",0
60,bir,/bir/,beer,0
61,bisarik,/bisaˈrik/,"bizarre, weird, strange",0
62,biv,[biv],beaver (rodent),0
63,bleibön,/ble.iˈbøn/,to remain,0
64,blein,/bleˈin/,blindness,0
65,bleinik,/ble.iˈnik/,blind,0
66,blinön,[bli. ˈnøn],(transitive) to bring,0
67,blod,[blod],brother,0
68,bludaröletan,[bludaɾøleˈtan],blood relative,0
69,bludön,/bluˈdøn/,to bleed,0
70,bläg,[blɛɡ],"(the colour) black, black colour, blackness",0
71,blöf,/bløf/,"proof, demonstration",0
72,blötatät,[bløtaˈtɛt],nipple (of the breast),0
73,blöv,[bløv],"(the color) blue, blue color, blueness",0
74,blövik,[blø.ˈvik],blue (color),0
75,boad,/boˈad/,wood (material),0
76,boadik,/boaˈdik/,wooden (made of wood),0
77,boded,/boˈded/,loaf (of bread),0
78,boed,[boˈed],board,0
79,bok,/bok/,box,0
80,bolitan,/boliˈtan/,politician,0
81,bom,/bom/,bone,0
82,bomem,/boˈmem/,skeleton,0
83,botur,[bo.ˈtuɾ],bittern (bird in heron family Ardeidae),0
84,boum,/boˈum/,bomb,0
85,bov,/bov/,bowl,0
86,brad,/brad/,arm,0
87,bradip,[bɾaˈdip],sloth (mammal),0
88,bradön,/braˈdøn/,"to embrace, to hug, 195, Arie de Jong, Gospul ma Lucas",0
89,Brasilän,[bɾa.si.ˈlɛn],Brazil (a country in South America),0
90,braun,[braˈun],"(the color) brown, brown color, brownness",0
91,brefik,/bre.ˈfik/,"short; brief
Bi vaken binon brefik, otävobs lomio fridelo.
Because it’s a short holiday, we shall travel back home on Friday.",0
92,brein,/bɾeˈin/,brain,0
93,Bretän,[bɾeˈtɛn],Brittany,0
94,brikod,[bɾi.ˈkod],apricot (fruit),0
95,brikodabim,[bɾi.ko.da.ˈbim],apricot (tree),0
96,brikodep,[bɾi.ko.ˈdep],apricot (tree),0
97,brodön,/bɾoˈdøn/,(transitive) to embroider,0
98,bub,[bub],"(male or female) bovine (animal), bull, cow",0
99,bubamit,[bubaˈmit],"beef (cow meat, meat from cattle)",0
100,bubül,[buˈbyl],"calf, the young of a bovine animal",0
101,budan,/bu.ˈdan/,Buddhist,0
102,bufod,[buˈfod],"toad (amphibian) (compare Bufo, Bufonidae)",0
103,buig,[buˈiɡ],"booth, stall, kiosk",0
104,buk,/buk/,book,0
105,bum,/bum/,act of building,0
106,bumot,/buˈmot/,building,0
107,busar,[bu.ˈsaɾ],buzzard (bird of prey),0
108,but,/but/,boot,0
109,butan,[buˈtan],butane,0
110,Butän,[bu.ˈtɛn],Bhutan (a country in South Asia),0
111,bäad,[bɛˈad],ebony,0
112,bäk,[bɛk],back,0
113,bäkabom,[bɛkaˈbom],backbone,0
114,bäldik,/bɛlˈdik/,old,0
115,bäldot,/bɛlˈdot/,"someone's age, years of age",0
116,bälid,[bɛˈlid],abdomen,0
117,bälun,[bɛˈlun],balloon,0
118,bälunaflitan,[bɛlunafliˈtan],(hot-air) balloonist,0
119,böd,[bød],bird,0
120,bödav,[bø.ˈdav],ornithology,0
121,bödavik,[bødaˈvik],"ornithological, of or relating to ornithology",0
122,bödik,[bøˈdik],"avian, of or relating to a bird, birds",0
123,bödil,[bø.ˈdil],"small bird, birdie, birdling",0
124,büd,/byd/,"order, command",0
125,büköp,/byˈkøp/,"printing house, 1934, Albert Sleumer, ""Büad Cifala",0
126,bün,[byn],pear,0
127,büsidan,[by.si.ˈdan],businessperson (businessman or businesswoman),0
128,caf,/tʃaf/,kettle,0
129,cafäd,/tʃaˈfɛd/,pan,0
130,car,[tʃar],(weapon) bow,0
131,cedön,/tʃeˈdøn/,to think,0
132,cel,[tʃel],cherry,0
133,cem,/tʃem/,room,0
134,cen,/t͡ʃen/,"change, transition, turn",0
135,cifal,/t͡ʃifal/,"cifal, leader of the Volapük movement and the Volapük",0
136,cifazif,/t͡ʃi.faˈt͡sif/,"capital city, 1958, ""Jit"", Volapükagased, no. 2, page",0
137,cil,[t͡ʃil],(male or female) child,0
138,Cilän,[t͡ʃi.ˈlɛn],Chile (a country in South America),0
139,cim,/tʃim/,chimney,0
140,citön,[tʃi.ˈtøn],(obsolete) to cheat,0
141,cuk,[t͡ʃuk],"donkey, ass (equid)",0
142,cukamilig,[tʃukamiˈliɡ],"ass's milk, donkey's milk",0
143,cäf,/t͡ʃɛf/,beetle,0
144,cälön,/t͡ʃɛˈløn/,(transitive) to nominate,0
145,cödot,/t͡søˈdot/,"verdict, judgement",0
146,cödöp,[tʃøˈdøp],courthouse,0
147,cüd,[tʃyd],axe,0
148,cütön,[tʃy.ˈtøn],(transitive) to cheat,0
149,dag,/daɡ/,"darkness, 1952, Gospul ma ‚Matthaeus‛, 8.11,12, translated",0
150,dalabön,/dalaˈbøn/,(transitive) to own,0
151,dalebüd,/da.leˈbyd/,"edict, proclamation",0
152,daluskop,[dalusˈkop],microscope,0
153,Danän,[da.ˈnɛn],Denmark (a Scandinavian country in Northern Europe),0
154,Danänan,/danɛˈnan/,"(male or female) Dane (person from Denmark or of Danish descent), Danish man, Danish woman",0
155,Danänapük,[da.nɛ.na.ˈpyk],Danish (language),0
156,danüdan,[da.ny.ˈdan],dancer,0
157,dauk,/daˈuk/,carrot,0
158,daut,[daˈut],daughter,0
159,dead,[deˈad],"death, state being dead, state of death",0
160,deadön,[de.a.ˈdøn],(intransitive) to die,0
161,deg,/deɡ/,ten,0
162,degbalul,[deɡ.ba.ˈlul],November (the eleventh (11th) month of the year),0
163,degtelul,[deɡ.te.ˈlul],December (the twelfth (12th) month of the year),0
164,degul,[de.ˈɡul],October (the tenth (10th) month of the year),0
165,deibludön,/deibluˈdøn/,to bleed to death,0
166,deidön,[de.i.ˈdøn],(transitive) to kill,0
167,dekul,[de.ˈkul],December (the twelfth (12th) month of the year),0
168,demön,/deˈmøn/,(transitive) to demonstrate,0
169,desinön,/desiˈnøn/,(transitive) to plan,0
170,detävön,[de.tɛ.ˈvøn],"(intransitive) to depart (depart on a journey), to",0
171,Deutän,[de.u.ˈtɛn],Germany (a country in Central Europe),0
172,Deutänapük,[de.u.tɛ.na.ˈpyk],German (language),0
173,dib,/dib/,depth,0
