ID,Form,IPA,Gloss,Language_ID
0,bache,/ˈbaʃə/,tarpaulin,0
1,buk,/bək/,"buck, male goat, male rabbit",0
2,dikkels,/ˈdɪkəls/,"often (frequently, many times)",0
3,dikkers,/ˈdɪkərs/,Alternative form of dikkels,0
4,keun,[køːn],rabbit,0
5,keure,/ˈkøːrə/,"opportunity, choice",0
6,koutnansje,/kɵʔˈnɑ̃ʃə/,"conversation, talk",0
7,leeg,/ˈleːɦ/,lazy,0
8,lekstok,/lækstɔk/,lolly,0
9,lyste,/lɪstə/,list,0
10,meuzel,/ˈmøːzəl/,"bag, backpack",0
11,moze,/ˈmoːzə/,mud,0
12,muzyk,/mʏˈzɪk/,music,0
13,nunne,/ˈnœnə/,nun,0
14,rebbe,-æːbə,rib,0
15,recolte,/rəˈkɔltə/,harvest,0
16,rik,/rɛk/,back (of the body),0
17,ruttelienge,/ˈrətəlɪŋə/,complaints,0
18,rutteln,/ˈrətəln/,to complain,0
19,Sintekloai,/sɪntəklɒːi̯/,Saint Nicholas,0
20,sneukelienge,/ˈsnøːkəlɪŋə/,snacks,0
21,sneukeln,/ˈsnøːkəln/,to snack,0
22,teure,/ˈtøːrə/,"go ahead, hurry up",0
23,tierlik,/ˈtiːrlɪk/,early,0
24,ul,/øl/,lid (top or cover of a container),0
25,uul,/yl/,"(birds) owl, bird of the order Strigiformes, (figuratively)",0
26,vloage,/ˈvlɔːɦə/,shower (rain),0
27,zere,/zeːrə/,"quick, fast",0
28,*hurzaną,ˈæstɚɹˌɪsk hɜːzˈɑːnə,,1
