ID,Form,IPA,Gloss,Language_ID
0,aai,/aːj/,egg,0
1,aap,/aːp/,"A monkey, ape.",0
2,aard,/aːt/,"nature, character",0
3,abt,/apt/,abbot (the monastic superior of an abbey),0
4,acht,/axt/,eight,0
5,acht,/axt/,eight,0
6,achtste,/ˈaxstə/,eighth,0
7,âld,/ɔːt/,old,0
8,âlden,/ˈɔːdən/,"parents, Synonym: âlder, elderly people, ancestors,",0
9,âlder,/ˈɔːdər/,parent,0
10,alfabet,/ˈɔlfabɛt/,alphabet,0
11,âlje,/ˈɔːljə/,"to howl, to shout, to moo, to chirp",0
12,alligator,/aliˈɡaːtɔr/,alligator,0
13,alteast,/ɔlˈtɪə̯st/,"at least, 1997, Sjoerd Bottema, ""Dwersreed"", Trotwaer,",0
14,amfiby,/amfiˈbi/,amphibian,0
15,ananas,/ˈanənas/,pineapple,0
16,angel,/ˈaŋəl/,"sting, stinger (insect's organ), fishing rod",0
17,Anne,/ˈɑ.nə/,"A female given name, equivalent to English Ann, Anne.",0
18,Anne,/ˈɑ.nə/,A male given name.,0
19,Anne,/ˈɑ.nə/,A male given name.,0
20,antwurd,/ˈɔntvøt/,answer,0
21,antwurdzje,/ˈɔntvødzjə/,to answer,0
22,apel,/ˈaːpəl/,Alternative form of appel,0
23,appel,/ˈapəl/,apple,0
24,april,/aˈprɪl/,"April, Synonym: gersmoanne",0
25,arbeidster,/ˈarbai̯stər/,"charwoman
Synonym: wurkster",0
26,ark,/ark/,tool,0
27,asjebleaft,/asjəˈblɪə̯ft/,please,0
28,asjebleaft,/asjəˈblɪə̯ft/,please,0
29,asperzje,/asˈpɛrzjə/,asparagus,0
30,at,/ɔt/,"if
Synonym: as",0
31,augustus,/ɔu̯ˈɡøstəs/,"August, Synonym: rispmoanne",0
32,avesearje,/avəˈsɪə̯rjə/,to advance,0
33,baarch,/baːrx/,pig,0
34,bakke,/ˈbakə/,to bake,0
35,baktearje,/bakˈtɪə̯rjə/,"(chiefly in the plural) bacterium, Synonym: spjaltskimmel",0
36,banaan,/baˈnaːn/,banana,0
37,bananerepublyk,/baˈnaːnəreːpyblik/,"banana republic, 2016 June 19, ""Tsientallen protest-bananen",0
38,banjo,/ˈbanjoː/,banjo,0
39,banne,/ˈbɔnnə/,"to ban, to drive out",0
40,bargefleis,/ˈbarɣəflai̯s/,pork,0
41,barste,/ˈbastə/,to burst,0
42,beaken,/ˈbɪə̯kən/,beacon,0
43,beam,/bɪə̯m/,tree,0
44,beamte,/ˈbjɛmtə/,"trees; a clump of trees, Synonym: hout",0
45,bean,/bɪə̯n/,bean,0
46,beanne,/ˈbjɛnə/,Alternative form of bean,0
47,bear,/bɪə̯r/,"bear, Hoewol't de earste bearen net tige grut wiene,",0
48,bears,/bɪə̯s/,"bass, perch (fish)",0
49,bedekke,/bəˈdɛkə/,to cover,0
50,bedjerre,/bəˈdjɛrə/,"to spoil, to go bad",0
51,bedrage,/bəˈdraːɣə/,to deceive,0
52,beest,/beːst/,Alternative form of bist,0
53,befalle,/bəˈfɔlə/,"to give birth, to delight, to satisfy",0
54,befarre,/bəˈfarə/,to sail,0
55,befelje,/bəˈfɛljə/,"to order, to command",0
56,befrieze,/bəˈfriə̯zə/,to freeze,0
