L2_orth,L2_ipa,L2_gloss,L2_etym
apiwirlanha,,(large) boomerang,
Arkurra,,"mythical snake, the Rainbow Serpent of the Dreamtime",
awi,,water,
euro,,"wallaroo, euro",
mandya,,kangaroo (grey),
marrawirri,,(big) boomerang,
marrawirri,,wadna,
mudlu,,"snake, in particular the carpet snake",
udikanda,,(intransitive) to think,
udnyu,,(non-Aboriginal) person,
undhi,,mosquito,
urdlu,,kangaroo (red),
urrakurli,,magpie,
vapardla,,head,
vardna,,goanna,
vurruka,,butterfly (generic term),
wabma,,snake (generic term),
wadna,,boomerang,
yapu,,the common Australian fly (musca vetustissima),
