L2_orth,L2_ipa,L2_gloss,L2_etym
akagwik,,"cloudberry, Rubus chamaemorus",
alagnaq,,salmonberry,
aranu'tiq,,"(Chugach dialect) an androgyne, third-gender person or hermaphrodite (in Chugach belief, the canonical form of aranu'tiq was male on one side of the body and female on the other)",
arnaq,,woman,
augyaq,,"crowberry, blackberry, empetrum nigrum",
cainiq,,"teapot, kettle",
casaaq,,"clock, watch",
caskaq,,cup,
cayuq,,tea,
fanaʀuq,,lantern,
haatkiik,,hotcake,hotcake
i-gai,,in that direction.,
iraluq,,moon,
kaminaq,,stove,
kelipaq,,bread,
klaatiq,,iron,
kuskaq,,cat,
laugka,,"shop, store",
macaq,,sun,
masla,,butter,
mastaq,,mustard,mustard
naniyaq,,lightning,
nehusiq,,knife,
paltuuk,,coat,
pingayun,,three,
qamaquq,,cockle,
saalaq,,"fat, lard",
slaapaq,,hat,
stakanaq,,glass (drinking vessel),
talliman,,five,
Tyakutyik,,"a given name, attested as a name of one two-spirit,",
uqaayanaq,,"stinging nettle, Urtica dioica",
wiit'ʀuuq,,"pail, bucket",
witʀuuq,,"pail, bucket",
yaqsigtuq,,away,
