L2_orth,L2_ipa,L2_gloss,L2_etym
،,,"the Arabic comma punctuation mark
‏وَاحِد، اِثْنَان، ثَلَاثَة، أَرْبَعَة، خَمْسَة، سِتَّة، سَبْعَة‎wāḥid, iṯnān, ṯalāṯa, ʾarbaʿa, ḵamsa, sitta, sabʿaone, two, three, four, five, six, seven",
؛,,The Arabic semicolon punctuation mark.,
؟,,"the Arabic question mark
‏كَيْفَ حَالُك؟‎‎ ― kayfa ḥāluk? ― How are you?",
ء,/ʔ/,Hamza (ء) is a sign in the Arabic script that represents,
ءادم,,"Archaic spelling of آدَم‎ (ʾādam, “Adam”).",
آ,/ʔa.lif mad.da/,A form of the initial interrogative particle that indicates,
آب,-aːb,"(Mashreq, especially Syria, Lebanon, Palestine, Jordan,",
آب,-aːb,"to return, to come back, to repent, to incur, catch,",
آب,-aːb,first-person singular non-past active jussive of أَبَى‎,
آب,-aːb,"to return, to come back, to repent, to incur, catch,",
آب,-aːb,first-person singular non-past active jussive of أَبَى‎,
آب,-aːb,first-person singular non-past active jussive of أَبَى‎,
آبيس,/ʔaː.biːs/,(Egyptian mythology) Apis,
آت,-aːt,"active participle of أَتَى‎ (ʾatā), coming, next",
آت,-aːt,first-person singular non-past active jussive of أَتَى‎,
آت,-aːt,second-person masculine singular active imperative,
آت,-aːt,second-person masculine singular active imperative,
آت,-aːt,first-person singular non-past active jussive of أَتَى‎,
آت,-aːt,second-person masculine singular active imperative,
آت,-aːt,second-person masculine singular active imperative,
آت,-aːt,second-person masculine singular active imperative,
آت,-aːt,second-person masculine singular active imperative,
آت,-aːt,second-person masculine singular active imperative,
آتشيوت,/ʔaːt.ʃi.joːt/,"annatto, achiote, 2004 January 23,  Food and Agriculture",
آتون,/ʔaː.tuːn/,(Egyptian mythology) Aten,
آتى,,"to compensate, recompense, requite, to agree with (someone",
آتى,,"(ditransitive) to give (construed with two direct objects),",
آثر,,to prefer,
آجر,,"to rent out, to pay, to stipulate wages, to prostitute",
آجر,,to rent out,
آجر,,first-person singular non-past active indicative of,
آجر,,first-person singular non-past active subjunctive of,
آجر,,first-person singular non-past active jussive of أَجَرَ‎,
آجر,,first-person singular non-past active indicative of,
آجر,,first-person singular non-past active subjunctive of,
آجر,,first-person singular non-past active jussive of أَجَرَ‎,
آجر,,burned brick,
آجر,,first-person singular non-past active indicative of,
آجر,,first-person singular non-past active subjunctive of,
آجر,,first-person singular non-past active jussive of أَجَرَ‎,
آجر,,first-person singular non-past active indicative of,
آجر,,first-person singular non-past active subjunctive of,
آجر,,first-person singular non-past active jussive of أَجَرَ‎,
آجر,,burned brick,
آجر,,burned brick,
آخذ,,"to censure, to blame, to punish, 609–632 C.E.,  Qur'an,",
آخذ,,first-person singular non-past active indicative of,
آخذ,,first-person singular non-past active subjunctive of,
آخذ,,first-person singular non-past active jussive of أَخَذَ‎,
آخذ,,first-person singular non-past active indicative of,
آخذ,,first-person singular non-past active subjunctive of,
آخذ,,first-person singular non-past active jussive of أَخَذَ‎,
آخر,,"last, ultimate, utmost, extreme",
آخر,,"end, conclusion, الْآخِرة‎ (al-ʾāḵira, “the hereafter”),",
آخر,," another, one more, other",
آخر,," another, one more, other",
آخرة,/ʔaː.xi.ra/,feminine singular of آخِر‎ (ʾāḵir),
آخرة,/ʔaː.xi.ra/,"(chiefly Islam, singular only, with the definite article) hereafter
Antonyms: دُنْيَا‎ (dunyā), أُولَى‎ (ʾūlā)",
آخن,/ʔaː.xan/,"Aachen (a city in North Rhine-Westphalia, Germany)",
آد,,to be strong,
آد,,"to bend, to strain, to place under stress, to weigh",
آد,,"to bend, to strain, to place under stress, to weigh",
آدب,/ʔaː.dib/,host,
آدم,,"human, person, man, (plural, collective) mankind, humankind,",
آدم,,"(religion) Adam, A male given name, Adam",
آدم,,"Of an intermixed or tinged coloration, especially with",
آدم,,"Of an intermixed or tinged coloration, especially with",
آدمي,/ʔaː.da.mijj/,"human, humane, poor, inferior",
آدمي,/ʔaː.da.mijj/,"human being, man",
آدمية,,"humanity, politeness",
آدمية,,feminine singular of آدَمِيّ‎ (ʾādamiyy),
آدمية,,feminine singular of آدَمِيّ‎ (ʾādamiyy),
آذار,,"March (Solar calendar used in Syria, Lebanon, Jordan,",
آذريون,/ʔaː.ðar.juːn/,"marigold (Calendula spp.), Synonyms: بُكُورِيّة‎ (bukūriyya),",
آذن,,"to announce, make known, inform (بِـ‎ (bi-) about something),",
آذن,,first-person singular non-past active indicative of,
آذن,,first-person singular non-past active subjunctive of,
آذن,,first-person singular non-past active jussive of أَذِنَ‎,
آذن,,first-person singular non-past active indicative of,
آذن,,first-person singular non-past active subjunctive of,
آذن,,first-person singular non-past active jussive of أَذَنَ‎,
آذى,/ʔaː.ðaː/,"to harm; to hurt, ‏آذَيْنَاهُمْ حَتَّى خَرَجُوا مِنْ",
آرامي,,Aramean,
آزر,,"to prop up, to assist, to support, 609–632 C.E.,  Qur'an,",
آزر,,"the father of Abraham, Terah, 609–632 C.E.,  Qur'an,",
آزر,,"the father of Abraham, Terah, 609–632 C.E.,  Qur'an,",
آس,/ʔaːs/," myrtle (Myrtus gen. et spp.), Synonyms: رَيْحَان‎",
آس,/ʔaːs/," ace (card games, dice games, etc.)",
آس,/ʔaːs/," physician, healer, one who knows medicine, Synonym:",
آس,/ʔaːs/," ace (card games, dice games, etc.)",
آس,/ʔaːs/," physician, healer, one who knows medicine, Synonym:",
آس,/ʔaːs/," physician, healer, one who knows medicine, Synonym:",
آسفي,/ʔaː.sa.fiː/,"Safi (a city in Marrakesh-Safi, Morocco)",
آسيا,,Asia,
آسيوي,,an Asian,
آسيوي,,Asian,
آش,/ʔaːʃ/,(Egyptian mythology) Ash,
آشوري,/ʔaː.ʃuː.rijj/,"Assyrian, Ashurite",
آشوري,/ʔaː.ʃuː.rijj/,"Assyrian, Ashurite",
آض,,"to return, to revert, (with إِلَى‎ (ʾilā)) to turn",
آفة,,"damage, loss, calamity, harm, bane, pest, plague, c.",
آكل,,"to eat together with another, share in another's meal",
آكل,,"to give something to eat, to feed, to invite to eat,",
آكل,,active participle of أَكَلَ‎ (ʾakala),
آكل,,first-person singular non-past active indicative of,
آكل,,first-person singular non-past active subjunctive of,
آكل,,first-person singular non-past active jussive of أَكَلَ‎,
آكل,,"to give something to eat, to feed, to invite to eat,",
آكل,,active participle of أَكَلَ‎ (ʾakala),
آكل,,first-person singular non-past active indicative of,
آكل,,first-person singular non-past active subjunctive of,
آكل,,first-person singular non-past active jussive of أَكَلَ‎,
آكل,,active participle of أَكَلَ‎ (ʾakala),
آكل,,first-person singular non-past active indicative of,
آكل,,first-person singular non-past active subjunctive of,
آكل,,first-person singular non-past active jussive of أَكَلَ‎,
آكل,,first-person singular non-past active indicative of,
آكل,,first-person singular non-past active subjunctive of,
آكل,,first-person singular non-past active jussive of أَكَلَ‎,
آل,," family, a. 906,  الناشئ الأكبر [an-nāšiʾ al-ʾakbar],",
آل,, to return,
آل,,first-person singular non-past active jussive of أَلَا‎,
آل,, to return,
آل,,first-person singular non-past active jussive of أَلَا‎,
آل,,first-person singular non-past active jussive of أَلَا‎,
آلة,/ʔaː.la/,"instrument, utensil, tool, apparatus, implement, device,",
آلم,,"to hurt, to cause pain to",
آلم,,first-person singular non-past active indicative of,
آلم,,first-person singular non-past active subjunctive of,
آلم,,first-person singular non-past active jussive of أَلِمَ‎,
آلم,,first-person singular non-past active indicative of,
آلم,,first-person singular non-past active subjunctive of,
آلم,,first-person singular non-past active jussive of أَلِمَ‎,
آلو,,hello (when answering the telephone),
آلو,,first-person singular non-past active indicative of,
آلو,,first-person singular non-past active subjunctive of,
آلو,,first-person singular non-past active indicative of,
آلو,,first-person singular non-past active subjunctive of,
آم,,"to respire thirstily, to smoke, to precede, to govern,",
آمال,/ʔaː.maːl/,plural of أَمَل‎ (ʾamal),
آمال,/ʔaː.maːl/,A female given name,
آمر,,"to ask advice of, to seek the opinion of, to consult",
آمر,,"emir/amir, commander, lord, master, (Can we verify(+)",
آمر,,"dictatorial, domineering, imperious",
آمر,,first-person singular non-past active indicative of,
آمر,,first-person singular non-past active subjunctive of,
آمر,,first-person singular non-past active jussive of أَمَرَ‎,
آمر,,"emir/amir, commander, lord, master, (Can we verify(+)",
آمر,,"dictatorial, domineering, imperious",
آمر,,first-person singular non-past active indicative of,
آمر,,first-person singular non-past active subjunctive of,
آمر,,first-person singular non-past active jussive of أَمَرَ‎,
آمر,,first-person singular non-past active indicative of,
آمر,,first-person singular non-past active subjunctive of,
آمر,,first-person singular non-past active jussive of أَمَرَ‎,
آمن,,"to believe (in) [+ بِـ‎ (object)], Synonym: صَدَّقَ‎",
آمن,,"safe, secure, trustworthy",
آمن,,elative degree of أمُنَ‎ and أَمِنَ‎ (ʾamina),
آمن,,first-person singular non-past active indicative of,
آمن,,first-person singular non-past active subjunctive of,
آمن,,first-person singular non-past active jussive of أَمِنَ‎,
آمن,,first-person singular non-past active indicative of,
آمن,,first-person singular non-past active subjunctive of,
آمن,,first-person singular non-past active jussive of أَمُنَ‎,
آمن,,"safe, secure, trustworthy",
آمن,,elative degree of أمُنَ‎ and أَمِنَ‎ (ʾamina),
آمن,,first-person singular non-past active indicative of,
آمن,,first-person singular non-past active subjunctive of,
آمن,,first-person singular non-past active jussive of أَمِنَ‎,
آمن,,first-person singular non-past active indicative of,
آمن,,first-person singular non-past active subjunctive of,
آمن,,first-person singular non-past active jussive of أَمُنَ‎,
آمن,,first-person singular non-past active indicative of,
آمن,,first-person singular non-past active subjunctive of,
آمن,,first-person singular non-past active jussive of أَمِنَ‎,
آمن,,first-person singular non-past active indicative of,
آمن,,first-person singular non-past active subjunctive of,
آمن,,first-person singular non-past active jussive of أَمُنَ‎,
آمون,/ʔaː.muːn/,(Egyptian mythology) Amun,
آمين,/ˈʔaːmiːn(a)/,amen,
آن,-aːn,"time, Synonyms: وَقْت‎ (waqt), حِين‎ (ḥīn), أَوَان‎",
آن,-aːn,"to come, to near (said of time), Synonyms: حَانَ‎ (ḥāna),",
آن,-aːn,"to come, to near (said of time), Synonyms: حَانَ‎ (ḥāna),",
آنئذ,,"then, at that time
Synonyms: see Thesaurus:آنذاك",
آنث,,"(intransitive, rare, possibly obsolete) to give birth",
آنذاك,,"(formal) then, at that time
Synonyms: see Thesaurus:آنذاك",
آنسة,/ʔaː.ni.sa/,"young woman, miss",
آنك,/ʔaː.nuk/,"lead, Pb, 7th century C.E.,  Ṣaḥīḥ al-Buḵāriyy, 91:56:,",
آني,/ʔaː.nijj/,instantaneous,
آه,,"ah, aw, ooh, ouch (expression of physical or emotional",
آه,,"pain (physical or emotional), ‏لَمْ يَبْقَ لِي مِنَ",
آهات,,"a technique used in Arabic vocal music, involving the use of extended melodic variations on the syllable ""a""",
آية,/ʔaː.ja/,"sign, token, ‏آيَةُ ٱللّٰه‎ʾāyatu llāhayatollah(literally,",
آية,/ʔaː.ja/,A female given name,
آيس,,"to lead into giving up hope, to lead into despair,",
آيسلندا,/ʔaː.jis.lan.daː/,Iceland (a country in Europe),
آيوا,/ʔaː.ju.waː/,Iowa (a state of the United States),Iowa
أ,,The first letter of the Arabic alphabet is the small,
أ,,Initial interrogative particle that indicates a yes-or-no,
