L2_orth,L2_ipa,L2_gloss,L2_etym
akah,,root (of plant),
akéh,,(polite) many,
ane,,"that, which
Benehang tulisane ane magaris betenne. - Correct the spelling which has an underline.",
apa,/apə/,"what (interrogative pronoun), Apa orta? ― What's new?,",
api,,fire (oxidation reaction),
arja,[ˈard͡ʒa],"(drama) a Balinese dramatic performance, but often",
asep,,smoke (visible particles and vapour given off by burning,
bagus,,handsome (of man: agreeable to the eye or to correct,
baju,,shirt (article of clothing),
Bali,,Bali (an island and province of Indonesia),
balian,,"Romanization of ᬩᬮ᭄ᬬᬦ᭄ (“shaman, (traditional) healer”).",
bawi,,pig (mammal of genus Sus),
be,,fish,
beleganjur,,(music) a popular style of gamelan music used in festivals,
beli,,older brother,
bes,,"too (as in too hard, too much etc.)
bes joh
too far (away)",
besi,,"(physics, chemistry, metallurgy) iron (element)",
biri-biri,,sheep (animal),
cai,,"you (basa madia)
Abaang cai nasi! ― Hey you, bring some rice!
Dija bakatang cai pulpéné ené? ― Where did you get this pen?",
celak,,penis,
celeng,,Alternative spelling of ᬘᬾᬮᬾᬂ (céléng),
ci,,you ((basa madia)),
emed,,bored,
empat,,four,
enak,[ˈenaʔ],"delicious (pleasing to taste), ᬫ‌ᬓᭂᬚᬂᬳᬾᬦᬓ᭄ᬫᬲᬓᬦᬾᬤᬶᬭᬾᬲ᭄ᬢᭀᬭᬦ᭄᭞ᬚᭀᬕ᭄ᬚ᭟",
enem,,six,
gang,,Romanization of ᬕᬂ,
gati,,very,
gelut,,to embrace,
gringsing,,geringsing,
ibi,,yesterday,
ina,,"mother (female (human) who parents a child, gives birth",
ipun,,"he, she",
iratu,,"(basa singgih) you
Adin titiangé pacang ngiring iratu lunga ke segara. - My younger sibling will accompany you to go to the sea.
Tan makta jinah iratu meriki? - Didn't you bring money here?",
jatma,,Romanization of ᬚᬤ᭄ᬫ.,
jinah,,money,
joh,,"distant, Joh gati ia majalan.He/she walked/walks very",
kruna,,Romanization of ᬓ᭄ᬭᬸᬦ.,
kucit,[ˈkut͡ʃɪt̚],piglet.,
kutus,,eight,
lengkara,,sentence,
liu,,many,
meru,,Romanization of ᬫᬾᬭᬸ.,
milu,,to follow,
nanah,,pus (fluid found in regions of infection),
naskleng,,"(vulgar, slang, offensive) dickhead",
natar,[ˈnatar],backyard,
niki,,"(basa singgih) this
Jaan sajaan niki. - This is very tasty.",
nusa,,island (area of land completely surrounded by water),
nyen,,"who
Nyen adan memen ragane? - What is your mother's name?",
nénten,,(polite) not,
sa,,one,
saga,,jequirity (Abrus precatorius),
sembah,,the bow with palms together of an inferior to a superior,
sembah,,to greet a superior,
sengauk,,left-over cooked rice that is dried in the sun (usually used as food for pigs),
songket,/soŋkɛ̀t/,a type of cloth made of silk or cotton interwoven with,
taksu,[ˈtaʔsu],"a mysterious power., spirit, shrine",
tungkas,/tʊŋkas/,"to oppose, deny",
uban,,grey hair (hair with the colour grey),
ukur,,to measure (ascertain the quantity of a unit),
wakul,,Romanization of ᬯᬓᬸᬮ᭄.,
wantilan,,Romanization of ᬯᬦ᭄ᬢᬶᬮᬦ᭄.,
wawidangan,,region,
wilis,,green,
wong,[ˈwɔŋ],people,
ᬅᬃᬣ,/artə/,wealth,
ᬅᬲ᭄ᬢ,/astə/,be.,
ᬅᬲ᭄ᬣ,/astə/,bone.,
ᬉᬱᬥ,/usadə/,"traditional medicine, drug, medicine",
ᬓᬗᬶᬦ᭄,,east,
ᬓᬦ,/kanə/,bracelet,
ᬓᬦᬵ,/kanə/,girl,
ᬓᬧᬮ᭄,,ship,
ᬓᬬᬸ,,wood,
ᬓᬭ,/karə/,finger,
ᬓᬭ᭄ᬬ,,work,
ᬓᬮ,/kalə/,"time, solar eclipse, seventh day of the eight-day week",
ᬓᬮᬵ,/kalə/,snare,
ᬓᬵᬭ,/karə/,"act, action",
ᬓᬵᬮ,/kalə/,(Hinduism) demon Kala,
ᬓᬶᬚ,,"where
ᬮᬓᬃᬓᬶᬚ᭟ (basa biasa)Lakar kija?Where are you going?
ᬚᬕᬶᬓᬶᬚ᭟ (basa alus)Jagi kija?Where are you going?
ᬭᬕᬦᬾᬧᬘᬂᬮᬸᬗᬓᬶᬚ᭟ (basa alus)Ragané pacang lunga kija?Where are you going?",
ᬓᬸᬦᬶᬂ,,"yellow, west, western",
ᬓᬸᬮᬯᬃᬕ,,family,
