L2_orth,L2_ipa,L2_gloss,L2_etym
ა,,"The first letter of the Bats alphabet, written in the Georgian script.",
ალე,,lord,
ალხაძურ,/ˈalxad͡zuːɾ/,bird,
ბარლʻ,/ˈbaɾɬ/,eight,
ბენ,,"nest, den, lair",
ბეჯ,,hair,
ბორშ,/ˈboːɾʃ/,bull-calf,
ბუთთ,/ˈbuːtː/,moon,
ბუჲსა,/ˈbuːjsa/,night,
ბჺორწ,/ˈbʕoːɾt͡sʼ/,wolf,
გუბ,,island,
დად,/ˈdad/,father,
დალ,/ˈdal/,god,
დალე̆,/ˈdale/,god,
დახკო̆,/ˈdaxkʼo/,mouse,
დე,/ˈdeː/,day,
დიკ,/ˈdiːkʼ/,axe,
დოკ,/ˈdoːkʼ/,(anatomy) heart,
დოს,/ˈdoːs/,"wood, firewood",
დოშ,/ˈdoːʃ/,word,
დჺივჸ,/ˈdħiːvʔ/,four,
ვაშ,/ˈvaʃ/,brother,
ვირ,/ˈviːɾ/,donkey,
ვორლʻ,/ˈvoːɾɬ/,seven,
თურ,,"sabre, shashka",
ისს,/ˈiːsː/,nine,
იტტ,/ˈitːʼ/,ten,
კავ,/ˈkʼau̯/,wheat,
კივ,,tree pitch of pine or hackberry used as a chewing gum,
კირ,,"lime, calcium oxide",
კურ,/ˈkʼuːɾ/,smoke,
კუჲტი̆,/ˈkʼui̯tʼi/,cat,
ლათთ,/ˈlatː/,"rubbish, litter",
ლამ,/ˈlam/,mountain,
ლარკ,/ˈlaɾkʼ/,(anatomy) ear,
ლიშა,,"sign, back-sight, gun-sight",
მათხ,/ˈmatx/,sun,
მარ,/ˈmaɾ/,husband,
მარგალიტ,,pearl,
მარგლიტ,,Alternative form of მარგალიტ (margaliṭ),
მაჲჴი̆,,bread,
მოტტ,/ˈmoːtːʼ/,"language, tongue",
მოწ,/ˈmoːt͡sʼ/,honey,
მოხ,/ˈmoːx/,wind,
ნან,/ˈnan/,mother,
ნახ,/ˈnax/,"the people, Synonym: ხალხ (xalx)",
ნიტტ,/ˈnitːʼ/,nettle,
ნიყ,/ˈniqʼ/,road,
ოჸ,/ˈoːʔ/,grain,
ტათებ,/ˈtʼateːb/,silver,
ტარკ,/ˈtʼaɾkʼ/,finger,
ფსტუ,/ˈpstʼuː/,bull,
ფშა,/ˈpʃa/,ice,
ფშელ,/ˈpʃeːl/,cold,
ფხი,/ˈpxiː/,five,
ფჰ⁊იტ,/ˈpħiːtʼ/,frog,
ქინძ,,coriander,
ქოკ,/ˈkoːkʼ/,"foot, leg",
ქორ,/ˈkoːɾ/,window,
ქორთ,/ˈkoːɾt/,head,
ქორთო̆,/ˈkoːɾto/,head,
ში,/ˈʃi/,two,
შურ,/ˈʃuːɾ/,milk,
ჩა,/ˈt͡ʃa/,bear,
ჩო,/ˈt͡ʃoː/,hair,
ცა,/ˈt͡sa/,not,
ცარკ,/ˈt͡saɾkʼ/,tooth,
ცჰ⁊ა,/ˈt͡sħa/,one,
წე,,name,
წე,,fire,
წე,,fire,
ხენ,/ˈxẽ/,tree,
ხი,/ˈxiː/,"water, river, brook, stream, pond",
ჯოგ,,"herd, pack",
ჰ⁊აწუკ,/ˈħat͡sʼukʼ/,sparrow,
ჰ⁊უჼ,/ˈħũ/,forest,
ჲაშ,/ˈjaʃ/,sister,
ჲეგ,,beer,
ჲეთხ,/ˈjetx/,six,
ჲოპყ,/ˈjoːpʼqʼ/,ash,
ჴა,/ˈqa/,pig,
ჴავჴუ̆,/ˈqau̯qu/,pigeon,
ჴერ,/ˈqeɾ/,stone,
ჴო,/ˈqo/,three,
