L2_orth,L2_ipa,L2_gloss,L2_etym
babelek,,color,
babuy,,pig (domestic),
bahagan,,waist,
bahi,,"woman, girl",
baka,,cow,
baka,,jaw,
baka,,jaw,
bakang,,bow-legged,
bakbak,,generic term for frog or toad,
bakeleng,,throat,
bakes,,belt,
bakesan,,python,
balaan,,sacred; holy,
balay,,house,
balugtu,,rainbow,
damulmug,,(anatomy) lips,
gatas,,milk,
kalibangbang,,butterfly,
kutsara,,spoon,
kutsarita,,teaspoon,
mata,,eye (organ),
puntil,,small cloth bag; pouch,
pusaw,,immature areca nut,
pusung,,(anatomy) heart,
puthaw,,iron; steel; any hard metal,
sabaw,,soup; broth,
sabun,,soap,
sabuwa,,one,
sada,,fence,
sagakad,,stilts,
saging,,banana,
sagu,,body fluid (of a corpse),
salag,,nest,
salakyan,,vehicle,
salamin,,glass,
salapi,,money,
salapid,,braid; plait,
salay,,necklace,
salaysay,,cogon grass,
saliluan,,whirlpool,
salindungaw,,orchid,
saliyaw,,small brass or pewter bells,
salsalan,,blacksmith's shop,
sambilat,,G-string; loincloth,
sambingay,,parable; allegory,
samug,,sometimes; occasionally,
sangay,,person with the same name as someone else,
santik,,stone flint (used in starting a fire),
wahig,/ˈwahiɡ/,water,
