L2_orth,L2_ipa,L2_gloss,L2_etym
অ,/ɔ/,The first character in the Bishnupriya Manipuri alphabet.,
আ,/a/,The second character in the Bishnupriya Manipuri alphabet.,
আট,,eight,
ই,/i/,The third character in the Bishnupriya Manipuri alphabet.,
ঈ,/i/,The fourth character in the Bishnupriya Manipuri alphabet.,
উ,/u/,The fifth character in the Bishnupriya Manipuri alphabet.,
ঊ,/u/,The sixth character in the Bishnupriya Manipuri alphabet.,
ঋ,/riː/,The seventh character in the Bishnupriya Manipuri alphabet.,
এ,/e/,The eighth character in the Bishnupriya Manipuri alphabet.,
এস্তোনিয়া,,Estonia,
ঐ,/ɔiː/,The ninth character in the Bishnupriya Manipuri alphabet.,
ঐতিহাসিক,,historical,
ওহাইও,,Ohio,
কঁঠাল,,jackfruit,
কাটা,,thorn,
কাটা,,to cut,
খরগোশ,,rabbit,
চার,,four,
চারা,,plant (organism capable of photosynthesis),
ছয়,,six,
ঠার,,language,
তারা,,star,
তিন,,three,
দশ,,ten,
দুই,,two,
ধুলা,,dust,
ধূলি,,"dust
Synonym: ধুলা",
নয়,,nine,
নৌকা,,boat,
পাঁচ,,five,
পানি,,water,
পাহাড়,,mountain,
ফল,,fruit,
বছর,,year,
বাঁশ,,bamboo,
বাঁহ,,bamboo,
বাংলাদেশ,,Bangladesh (a country in Asia),
বারো,,twelve,
বিজ্ঞান,,science,
বিশ,,twenty,
ভালবাসা,,to love,
মাকড়সা,,"spider
Synonym: মাকড়",
মাটি,,soil,
রাজা,,king,
সমুদ্র,,sea,
সাত,,seven,
হাজার,,thousand,
