L2_orth,L2_ipa,L2_gloss,L2_etym
A,,"The first letter of the Breton alphabet, called a and written in the Latin script.",
a-walc'h,/a walχ/,"quite, enough",
a-wezhioù,/a.ˈwe.ʃu/,sometimes,
abad,/ˈɑː.bat/,abbot,
abadez,,(Christianity) abbess,
abardaez,/a.bar.ˈdaɛs/,evening,
aber,,"ria, estuary, mouth of a river",
aber,,present of aberiñ,
abostol,,(Christianity) apostle,
abostol,,(Christianity) epistle,
abostol,,(Christianity) epistle,
adarre,/ˈa.da.ʁe/,again,
-adur,,"To make a noun of another word. The meaning of the noun can vary.
‎deiz (“day”) + ‎-adur → ‎deiziadur (“calendar”)
‎ger (“word”) + ‎-adur → ‎geriadur (“dictionary”)
‎yezh (“language”) + ‎-adur → ‎yezhadur (“grammar”)",
aer,/ɛʁ/,air,
aerlestr,/ˈɛʁlest/,aircraft,
aes,/ɛz/,easy,
afer,,affair,
al,,the,
Alamagn,,Germany,
alamaneg,,the German language,
albaneg,/albãːnek/,the Albanian language,
albaneger,,Albanian-speaker,
albanek,/albãːnek/,Albanian,
alc'hwez,[ˈal.ɣwe],key,
alies,/aˈliːes/,often,
all,/ˈalː/,other,
aluminiom,,aluminium,
amanenn,,Alternative spelling of amann,
amann,,butter,
amañ,/ˈã.mːã/,here,
amzer,,"time, weather, An amzer zo brav hiziv. — The weather",
amzer-da-zont,,future,
an,,the,
anal,,breath,
aneval,/ɑ̃ˈne.val/,"animal, coarse or stupid man",
ano,,name,
ant,,furrow,
anv,/ˈɑ̃n.o/,"name, (grammar) noun",
anv-kadarn,,"(grammar) substantive, noun",
aod,/ˈɔːt/,"coast; shore, bank",
Aofred,,A male given name,
aon,/ɔ̃n/,fear,
Aostria,,Austria (a country in Europe),
aotism,,autism,
aotrou,,"lord, gentleman",
Aotrou,,"Lord, Sir, Mr",
aour,/ˈawʁ/,gold,
aozer,,author,
ar,,the,
arabeg,,the Arabic language,
arall,/aˈralː/,other,
arallrevelezh,,heterosexuality,
aramaeg,/a.raˈmaɛk/,Aramaic,
araogenn,/aˈrɔːɡɛn/,(grammar) preposition,
arar,/a.ʁaʁ/,plough,
arc'hant,,"money, silver, argent",
arc'hant-bev,/ar.ɣãntˈbew/,"mercury, quicksilver",
arc'hanti,/ˈaʁχɑ̃nti/,bank,
arc'heskob,,(Christianity) archbishop,
arc'hoazh,,Alternative spelling of warc'hoazh,
Aristoteles,,Aristotle,
arme,,army,
arvrec'h,/ˈaʁvʁɛx/,forearm,
arz,/ˈars/,art,
arzh,,bear,
Arzhur,,A male given name,
Arzur,,"A male given name, equivalent to English Arthur.",
askell,/ˈas.kɛl/,(anatomy) wing,
askell-groc'hen,,"bat (animal), lean man",
askorn,/ˈas.kɔrn/,"bone, stone (of a fruit)","ascorn, ascourn"
Asturiez,,Asturias (an autonomous community and province of Spain),
aval,/ˈɑː.val/,apple,
avank,/ˈɑːvãŋk/,beaver,
avel,/ˈɑːvɛl/,wind,
aven,/ˈɑː.ven/,(archaic) river,
avon,,(archaic) Alternative form of aven (“river”),
avu,/ˈɑːvy/,liver,
Awen,,A male given name,
Awena,,A female given name,
az,,you (sg acc.),
Aza,,A male given name,
aze,/ˈɑː.ze/,there,
azen,/ˈɑː.zɛn/,donkey,
azenn,/ˈɑː.zɛn/,haddock,
azezañ,,"to sit, sit down",
Aziliz,,"A female given name, equivalent to English Cecilia",
Azénor,,A female given name,
-añ,,Forms verbal nouns.,
bag,,boat,
bagad,,bagad,
Bahamas,,Bahamas (an archipelago and country in the Caribbean),
balafenn,,butterfly,
balan,,broom (genus Genista),
banal,,"bramble, broom (a plant, sp. Genista)",
Bangladesh,,Bangladesh (a country in Asia),
banne,,"drop, droplet, glass",
banniel,/ba.njɛl/,flag,
bara,/ˈbɑː.ra/,bread,
Barba,,A female given name,
Barbados,,Barbados (an island and country in the Caribbean),
barn,,(transitive) To judge.,
barv,,beard,
Bastian,,"A male given name, equivalent to English Bastian",
beajiñ,/beˈɑː.ʒĩ/,"(intransitive) to travel, 18th C.,  “Tri Martolod [Three",
bed,,"world, universe",
beg-botez,/ˈbeːkˌbo.te/,shoebill,
begel,,navel (remnant of umbilical cord),
Belgia,,Belgium (a country in Europe),
Belize,,,
belo,/ˈbeːlo/,bicycle,
bemdez,/ˈbɛ̃m.de/,"everyday, normally",
Benead,,"A male given name, equivalent to English Benedict",
Benedig,,"A male given name, equivalent to English Benedict",
Benin,,,
bennak,/bɛˈnaːk/,"any, some",
Benniged,,"A male given name, equivalent to English Benedict",
beo,,Obsolete spelling of bev,
Berc'hed,,"A female given name, equivalent to English Bridget",
Bernez,,A male given name,
berr,,short,
beskont,,viscount (a lord of a viscounty holding a title of,
beskonted,,viscounty (a region ruled by a viscount holding a title,
beterabez,/beteˈʁɑːbes/,beetroots,
beure,,morning,
Beuzeg,,A male given name,
bev,,"live, having life",
bevañ,/ˈbe.vɑ̃/,"to live, to feed",
bevañs,,food,
bezañ,/ˈbe.zɑ̃/,to be,
Bhoutan,,Bhutan (a country in Asia),
bihan,,"small, little",
biken,/ˈbi.kɛ̃n/,never (in the future),
