L2_orth,L2_ipa,L2_gloss,L2_etym
abag,[æbæɡʰ],sago shoots,
abal,,water,
agab,[æɡæb],side,
apap,[æɸæɸ],banana,
apeh,[apʷeɪ],Newspaper used for smoking.,
aun,[awun],moon,
babeg,[bæbʷɛɡʰ],grandmother,
baben,[bæbʷɛn],grandfather,
böb,[bøb],betel nut,
daweh,[dæweɪh],container,
eig,[eɪɡʰ],I,
Eñua,[eɪɲuwæ],A female given name.,
ešuguh,[ɛʃuɡuh],The worms that are found in sago plants.,
giha,[ɡihæ],sorry,
kujar,[qʰudʒar],Rope-like fiber that is bound around the ankles when climbing palm trees.,
meharig,[meɪhæɾiɡʰ],A type of crab that lives in swamps.,
mohun,[mohɞn],brother-in-law,
oguda,[oɡudæ],these,
ohok,[ohokʰ],coconut palm,
okok,[oqoqʰ],she,
omom,[əmom],third-person plural masculine pronoun.,
otot,[ɔtʰɔtʰ],(of a dog) it,
ouot,[əwɔtʰ],hen,
out,[əwutʰ],rat,
raböp,[ɾæbøɸ],(anatomy) rib,
rowogig,[ɾowoɡiɡʰ],old woman,
tuat,[tʰuwaɡʰ],A white man.,
ua,[uwa],nothing,
urugum,[uɾɞqɞm],(anatomy) heart,
wabör,[wæbør],home,
worub,[woɾɞb],river,
yama,[jæmə],mother,
yayen,[jæjɛn],father,
élman,,man,
élmatok,,woman,
