L2_orth,L2_ipa,L2_gloss,L2_etym
li-tāk,,tongue,
mak,,"water (salt or fresh), stream",
Yēsū,,Jesus,
उ̥,[ɯ],Used to represent the [ɯ] sound in Car. [1],
ऊ̥,[ɯː~ɯˑ],Used to represent the [ɯː~ɯˑ] sound in Car. [1],
ऍ̥,[ɛ],Used to represent the [ɛ] sound in Car. [1],
ए̥,[ɛː~ɛˑ],Used to represent the [ɛː~ɛˑ] sound in Car. [1],
क̥,[ʔ],Used to represent the [ʔ] sound in Car. [1],
र̱,/ɻa/,Used to represent the [ɻ] sound in Car. [1],
ह,/xa/,Used to represent the [x] sound in Car. [1],
ॳ,/ɤ/,Used to represent the /ɤ/ sound in Car. [1],
ॴ,[ɤː~ɤˑ],Used to represent the [ɤː~ɤˑ] sound in Car. [1],
