L2_orth,L2_ipa,L2_gloss,L2_etym
baro,,"(Burgenland, East Slovakia, Gurvari, Hungarian Vend,",
baro,,"(East Slovakia) very, many, (East Slovakia) long",
baro,,"(Burgenland) adult, (East Slovakia) commander, (East",
dad,,"(Burgenland, East Slovakia, Gurvari, Hungarian Vend,",
das,,(Veršend) Croat,
gadžo,,"(Burgenland, East Slovakia, Gurvari, Hungarian Vend)",
kalo,,"(Burgenland, East Slovakia, Gurvari, Hungarian Vend)",
kalo,,"(East Slovakia) blackness, black color, (East Slovakia)",
manuš,,"(Burgenland, East Slovakia, Gurvari, Hungarian Vend,",
melalo,,"(Burgenland, East Slovakia, Gurvari, Hungarian Vend,",
mánuš,,(Veršend) Synonym of manuš (“man (human)”),
paj,,(Burgenland) Synonym of pani (“water; sweat”),
pani,,"(Burgenland, East Slovakia, Gurvari) water, (East Slovakia)",
phen,,"(Burgenland, East Slovakia, Hungarian Vend, Prekmurski,",
phral,,"(Burgenland, East Slovakia, Gurvari, Prekmurski, Veršend)",phral
trušul,,"(East Slovakia) cross, Synonym: (Burgenland, Prekmurski,",
čohani,,"(Burgenland) witch, Synonyms: (East Slovakia) bosorka,",
