L2_orth,L2_ipa,L2_gloss,L2_etym
آلچی,,"gypsum, plaster",
ارپا,,barley,
الار,,they,
او,,"he, she, it",
اوت,, fire,
اوت,, grass,
اوت,," bile, gall",
اوت,, grass,
اوت,," bile, gall",
اوت,," bile, gall",
اوردو,,"camp, place of standing of the army or its ruler",
اول,,"he, she, it",
اولار,,they,
اون,,ten (10),
اون,,flour (milled grain),
اون,,flour (milled grain),
اوچ,,three (3),
ایكی,,two (2),
بوران,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
بولوت,,cloud,
بیر,,one (1),
بیز,,we,
بیش,,five (5),
تاغ,,mountain,
تمغا,,"stamp, pressed mark",
توتورغان,,rice,
توتورغو,,"Alternative form of توتورغان‎ (tuturğan, “rice”)",
تورت,,four (4),
تورغای,,lark (any bird within the Alaudidae family),
تولى,,hail,
تونك,,"shrub, bush",
تیر,,sweat,
حاتون,,woman,
دماغ,,brain,
زهرة,,Venus (the planet),
سایغاق,,a kind of chamois,
سراب,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
سن,,"you (singular, familiar), thou",
سو,,water,
سوت,,milk,
سود,,"Alternative form of سوت‎ (süt, “milk”).",
سوز,,word,
سومون,,sum (Mongolic administrative-military division),
سیز,,"you (singular, polite)",
سیزلار,,you (plural),
شجره,,family tree,
شمال,,wind,
شهلا,,This term needs a translation to English. Please help,
شین,,"happy, merry, cheerful, peopled, inhabited, cultivated",
قار,,snow,
قاش,,"eyebrow, supercilium, collet of a finger-ring",
قاشوق,,"small wooden bowl, spoon",
قان,,blood,
قزاق,/qɑ.zɑq/,"Kazakh, Kazak",
قوز,,walnut,
قوش,,"bird, butterfly, presage, omen",
قوش,,"drove, team, pair, yoke, camp, companions, troop, group,",
قوش,,"drove, team, pair, yoke, camp, companions, troop, group,",
قولاوز,,"guide, who shows the way",
قوناق,,foxtail millet (Setaria italica),
قوناق,,"a place where one alights, inn, station, mansion, quarter,",
قوناق,,"a place where one alights, inn, station, mansion, quarter,",
كز,,"arrow, or a particular slim type thereof",
كوك,,sky,
كویاكو,,"bridegroom, son-in-law",
كویاو,,later form of كویاگو‎ (küyägü),
مشتري,,Jupiter (the planet),
من,,I,
مو,,used to form interrogatives,
و,,and,
يوق,,"there is no, there are no",
چلك,,"wooden bucket, container cut from a tree-stump, major",
چلنك,,"more common form of چلك‎ (çelek, “plume”)",
چول,,desert,
کونلوک,,umbrella,
کونکول,,heart,
گز,,"time in the sense of “one time”, “two times”, “three",
یاشیل,,green,
یان,,side,
یلنك,,spindle,
یورش,,"military emprise, raid, attack, assault",
یورمك,,"to walk, to advance, to march forward",
یوروش,,"alternative form of یورش‎ (yöriş, yörüş, yürüş)",
یورومك,,"alternative form of یورمك‎ (yörimek, yörümek, yürümek)",
یولدوز,,(astronomy) star,
