L2_orth,L2_ipa,L2_gloss,L2_etym
A,,"The second letter of the Chamorro alphabet, written in the Latin script.",
abet,,An expression of doubt,
addeng,,foot,
agua,,water,
akkamo',,marriage,
apu,,ash (solid remains of a fire),
arak,,distilled liquor made from fermented coconut milk,
asiga,,salt,
atof,,roof (the cover at the top of a building),
babui,,pig (mammal of genus Sus),
bateo,,ship,
bomba,,"bomb, pump",
bomba,,"to bomb, to pump",
bula,,plenty; a lot,
bumobola,,"ball (for games, sport)",
chalan,,"road, street, route, course",
chalan,,"to gallivant, to wander",
Chamorro,,Chamorro (language),
Chamoru,,Alternative spelling of Chamorro,
dingo,,to abandon,
doga,,comprising.,
duendes,,"goblin, elf",
en,/en/,"ye, you (plural)",
fatfat,,(Old Chamorro) four (in general and in reference to,
fiti,,(Old Chamorro) seven (in general),
fulu',,(Old Chamorro) ten (in general),
gi,,at,
gobietno,,government,
Gu,,"The tenth letter of the Chamorro alphabet, written in the Latin script.",
guaha,,"to be (exist), to have; there is",
guahu,,"(emphatic) I, me",
gualu,,(Old Chamorro) eight (in general),
gueʼ,,"he, him",
guiya,,"(emphatic) he, him",
guma',,"home, house",
gunum,,(Old Chamorro) six (in general),
Guåhan,/ɡʷɑhɑn/,Guam,
ha,/hæ/,"he, she",
ha'i,,(anatomy) forehead (part of face above eyebrows),
hacha,,(Old Chamorro) one (in general),
hachiyai,,(Old Chamorro) one (in reference to nonliving things),
hafa,,what,
hagu,/hæ.ɡu/,"(emphatic) thou, thee, you (singular)",
Hagåtña,/hæˈɡɑtɲæ/,Hagåtña (the capital of Guam),
ham,/hæm/,"we, us (exclusive)",
hami,/hæ.mi/,"(emphatic) we, us (exclusive)",
hamyo,/hæm.d͡zo/,"ye, you (plural), (emphatic) ye, you (plural)",
hanom,,Alternative form of hånom,
hao,,"thou, thee, you (singular)",
hayu,,wood.,
hit,/hit/,"we, us (inclusive)",
hita,/hi.tæ/,"(emphatic) we, us (inclusive)",
hu,/hu/,I,
hugiyai,,(Old Chamorro) two (in reference to nonliving things),
hugua,,(Old Chamorro) two (in general and in reference to,
hulu,,thunder,
hutu,,louse (insect),
hånom,,water,
in,/in/,we (exclusive),
kelaguen,,"A Chamorro dish made with coconut, onion, lemon, and either chicken, beef, or shrimp.",
kinibatde,,cowardice,
kulåles,,Beads,
kuttura,,culture,
kuårenta,,forty,
lahu,,to walk,
lalima,,(Old Chamorro) five (in reference to living beings),
lalo',,fly,
lancheru,,farmer,
layak,,sail,
lima,,(Old Chamorro) five (in general),
limiyai,,(Old Chamorro) five (in reference to nonliving things),
lumábarato,,"cheapen, make inexpensive",
långet,/ˈlɑŋet/,"sky, heaven, outer space",
ma,/mæ/,they,
maabandonas,,plural of maabandona,
madingos,,plural of madingo,
maisa,,(Old Chamorro) one (in reference to living beings),
mata',,"raw, uncooked",
matai,,dead,
matai,,die,
me'me',,urine,
me'me',,to urinate,
minagof,,happy,
nalábarato,,"cheapen, make inexpensive.",
nangga,,to wait.,
nifen,/ˈni.fen/,teeth,
niyok,,coconut (Cocos nucifera),
pa'go,,new,
palao'an,,female,
palao'an,,girl,
palapala,,"an open-air structure similar to a pavilion or gazebo, in modern times typically made from concrete",
pangon,,"to wake someone up, to rouse someone from sleep.",
puengi,,night,
pugas,,rice,
pulan,,moon,
pulan,,"to watch over, keep guard",
pulan,,"to watch over, keep guard",
pulu,,(anatomy) hair (the collection or mass of filaments,
puno',,to kill,
puti'on,,star,
pånglao,,crab (general term),
rebaja,,"cheapen, make inexpensive",
sa',,because,
sahagu,,deep water,
se'se',,knife,
se'se',,cut (with a knife),
sese',,knife,
sese',,to cut with a knife,
si,,Subject marker for personal names,
sigua,,(Old Chamorro) nine (in general),
siha,/si.dæ/,"they, them, (emphatic) they, them",
susu,,(anatomy) breast,
ta,/tæ/,we (inclusive),
taitai,,to read,
talanga,,(anatomy) ear (organ of hearing),
tali,,"rope (thick, strong string)",
tanga,,"To desire something, to crave.",
tanges,,(intransitive) to cry (to weep),
tano',,"land., earth.",
tanom,,to plant.,
tasi,,sea,
tato,,(Old Chamorro) three (in reference to living beings).,
tenda,,"store, shop",
tinanom,,plant (organism capable of photosynthesis),
to'lang,,bone,
togtog,,to comprise,
tulu,,(Old Chamorro) three (in general),
tuna,,"(transitive) to laud, to praise",
tunu,,"to broil, to burn",
tupu,,sugarcane,
uchan,,rain,
uhang,,shrimp,
ulo',,"maggot, worm",
ulu,,(anatomy) head (part of the body),
umayute',,divorce,
un,/un/,"thou, you (singular), Kao un taitai i lepblo-mu? ―",
un,/un/,"a, an",
un,/un/,"a, an",
unai,,sand,
usa,,(Old Chamorro) one (in general),
ya,,and,
yan,,and,
yoʼ,/d͡zoʔ/,"I, me",
Yu'us,,God,
yåbi,/ˈdzɑ.bi/,key,
ñamu,,mosquito,
