L2_orth,L2_ipa,L2_gloss,L2_etym
A,,"The first letter of the Cheyenne alphabet, written in the Latin script.",
a'eesémo'ehe,,moose,
a'éevo'ha,,donkey,
aénohe,,hawk,
amȧho'héhe,,automobile,
ame,,pemmican,
ame'háve'ho'e,,pilot (of a plane),
amȯhóomȧhtsestȯtse,,mirror,
e'eeháséto,,vine,
eše'he,,sun,
éškȯseeséhotame,,pig,
he'e,,liver,
hē'e,,woman,
he'koneame,,cheese,
hémotséehotoa'e,,bull,
heóvema'kaata,,brass,
hese,,fly,
hetane,,man,
hetóhkoné-ma'kaata,,tin (metal),
heškovėstse,,porcupine,
hó'nehe,,wolf,
ho'néhetaneoónȧha'e,,bullfrog,
hohpe,,soup,
hóma'e,,beaver,
hótame,,"dog, hound",
hotsē'o,,worker,
hōva,,animal,
kōsa,,goat,
ma'aata,,iron,
ma'ėhóóhe,,fox,
ma'ema'kaata,,copper,
ma'heo'o,,God,
ma'kaata,,iron,
ma'kaataevé'késo,,hummingbird,
mahpe,,water,
mȧhtohto,,ten,
mȧhtóhtoha,,ten times,
mákohe,,monkey,
mȧsėháve'ho'á'e,,prostitute,
mátȧháá'e,,prostitute,
matana,,breast,
matana,,milk,
matana,,milk,
matšėškōme,,raccoon,
mene,,"berry, small fruit",
mo'éhno'ha,,horse,
mo'éhno'hāme,,horses,
na'ėstse,,one,
na'ha,,"thrice, three times",
na'he,,three,
na'nó'e,,thirty,
na'nóhtoha,,eight times,
náa'e,,otter,
naesohto,,six,
naesóhtoha,,six times,
naesóhtȯhnó'e,,sixty,
náhkohe,,bear (mammal),
nésó'e,,twenty,
nésohto,,seven,
nésȯhtoha,,seven times,
nésȯhtȯhnó'e,,seventy,
neva,,four times,
neve,,four,
névó'e,,forty,
nexa,,"twice, two times",
no'ka,,"once, one time",
noho,,five,
nóhona,,five times,
nóhónó'e,,fifty,
nomáhtsé'héó'o,,"thief, stealer",
ó'he'e,,river,
ó'he'ke,,creek,
oónȧha'e,,frog,
póéso,,cat,
sóohto,,nine,
sóohtoha,,nine times,
sóohtȯhnó'e,,ninety,
too'ėhéve'ho'e,,prisoner,
tsėhe'ėseeséhe,,elephant,
tsėhe'ėsenotováhe,,giraffe,
Tsėhésenėstsestȯtse,,Cheyenne language,
Tsėhéstáno,,"Cheyenne people, Cheyenne race",
vé'ho'e,,trickster,
vého,,chief,
véhonema'kaata,,gold,
vo'e,,cloud,
vóto'ėstátane,,ceremonial man,
xāō'o,,skunk,
šé'še,,duck,
šéstótó'e,/ʃɪstotoʔɪ/,pine,
