L2_orth,L2_ipa,L2_gloss,L2_etym
กยัง,/kjaŋ/,"turtle, tortoise",
กร็อบ,/krɔp/,eggplant; aubergine.,
กระปาว,/krə.paːw/,water buffalo,
กรึบ,/krɨp/,eggplant; aubergine.,
กะโค,/kakʰoː/,mortar.,
กะชุ่,,(bamboo) crate,
กะเช่อ,,(bamboo) basket,
กะตา,,duck,
กะแท่ฮ,,cart,
กะปาว,/ka.paːw/,water buffalo,
กะปิฮ,,what,
กะยาง,/ka.jaːŋ/,"turtle, tortoise",
กะละ,,leaf,
กะล่าง,,ear,
กะวาญ,,cardamom,
กะว่าย,,tiger,
กำตี,,fist,
กู้บ,,frog,
เกือก,,shoe,
แกร,/krɛː/,paddy field,
ครก,/kʰrok/,mortar.,
ครา,,"road, way",
ค้อน,,"mouse, rat",
คิ์น,,gourd,
งั่ว,,"cow, ox",
จึ่ม,,"human, person",
ชอ,/t͡ɕʰɔː/,dog.,
ช์อง,,Chong (ethnic minority or language),
ช่าย,,nine,
ชี้ม,,bird,
เชา,/cʰao/,dog.,
โช,/cʰoː/,dog.,
ซะระ,,vowel,
ซี,/siː/,snake.,
ซุกเปีย,,"braid, pigtail",
ซู้จ,,ant,
แซ,/sɛː/,paddy field,
ดูง,/duːŋ/,coconut.,
ดูง,/duːŋ/,well.,
ดูง,/duːŋ/,well.,
ตง,/toŋ/,egg.,
ตา,,maternal grandfather,
ตุง,/tuŋ/,egg.,
โตด,,head,
ท้าม,,crab,
น่อง,,mountain,
นั่ก,,person,
นั่งซือ,,"book, alphabet, letter",
บัว,,water lily,
บูย,,roof,
ปซี,/psiː/,snake.,
ปล็อง,,cooked rice,
ปัง,/paŋ/,flower.,
ปาง,/paːŋ/,flower.,
ปาว,/paːw/,water buffalo,
เปล,/pleː/,"cradle, hammock",
พซี,/pʰsiː/,snake.,
พะซา,,language,
พ์าย,,two,
เพล่ว,,fire,
แพ่ะ,,goat,
โพ่น,,drum,
ฟูง,/fuːŋ/,herd; flock.,
มะง่าม,,bee,
มั่ดตะงิ,,sun,
มาด,,rhinoceros,
เม์ว,,fish,
เม่อ,,mother,
ยาง,/jaːŋ/,"turtle, tortoise",
ย่าย,,maternal grandmother,
ร่อง,,centipede,
ร์อย,,"melon, cucumber",
รูล,/ruːl/,coconut.,
แลก,/lɛːk/,chicken.,
วันนะยุก,,tone; tone mark.,
วา,,monkey,
อิ,,not,
อีน,,to have,
อูด,,branch (of a tree),
อูน,/ʔuːɲ/,father,
เอา,/ʔaw/,shirt; blouse.,
ฮอบ,,to eat (only for rice),
ไฮ,,(earthen) jar,
