L2_orth,L2_ipa,L2_gloss,L2_etym
פלסטין,/pælæstˤin/,"Hebrew spelling of ܦܠܣܛܝܢ‎‎ (palasṭīn, “Palestine”)",
קפלאון,/qepaleʔon/,"Hebrew spelling of ܩܦܠܐܘܢ‎ (qeppalleʾōn, “chapter”)",
ܐ,[ʔɑlaf],"aleph, first letter of the Syriac alphabet",
ܐ,[ʔɑlaf],number one (1),
ܐܐܪ,[ˈʔɑ.ʔar],"air, breeze, (figuratively) look, appearance, sight;",
ܐܒ,,August,
ܐܒܐ,,"father, Synonym: ܒܒܐ‎, (in the plural) parents, (figuratively)",
ܐܒܐ,,"produce, fruit, vegetable",
ܐܒܐ,,crocodile,
ܐܒܐ,,"produce, fruit, vegetable",
ܐܒܐ,,crocodile,
ܐܒܐ,,crocodile,
ܐܒܓܕ,[ˈʔab.ɡad],"(orthography) alphabet, abjad",
ܐܒܕܢܐ,[ʔavdɑnɑ(ʔ)],"ruin, destruction, annihilation, perdition, loss, end",
ܐܒܘܒܐ,[ʔabˈbu.vɑ],"reed, flute, pipe, tube, channel, canal",
ܐܒܝܕܘܬܐ,[ʔăviðuθɑ(ʔ)],"loss, abandonment, perversity, depravity, (with first",
ܐܒܟܐ,[ʔɑˈvak.kɑ],"cock, rooster",
ܐܒܠܐ,,"grief, sadness, sorrow, weeping, mourning, lamentation,",
ܐܒܠܐ,,absolute singular of ܐܒܠܬܐ‎,
ܐܒܠܐ,,absolute singular of ܐܒܠܬܐ‎,
ܐܒܠܬܐ,[ʔɛbˈbal.tɑ],"herd, file of camels",
ܐܒܢܐ,,"rock, stone (substance or piece), gem",
ܐܒܢܐ,,emphatic plural of ܐܒܐ‎,
ܐܒܢܐ,,emphatic plural of ܐܒܐ‎,
ܐܒܢܘܣܐ,[ʔavˈnu.sɑ],ebony (tree and wood),
ܐܒܩܐ,[ʔavqɑ(ʔ)],"dust, powder, fine sand",
ܐܒܪܐ,,lead,
ܐܒܪܐ,,"feather, pinion, wing, (anatomy) limb, body part, custom,",
ܐܒܪܐ,,"feather, pinion, wing, (anatomy) limb, body part, custom,",
ܐܒܪܗܡ,[ʔav.rɑˈhɑm],"(biblical) Abraham, Peshitta, Genesis 17:5:, ‏ܘܠܐ ܢܬܩܪܐ",
ܐܒܪܬܐ,,(animal anatomy) feather,
ܐܒܪܬܐ,,(botany) rush,
ܐܒܪܬܐ,,(botany) rush,
ܐܓܘܓܐ,,"watercourse (aqueduct, waterfall, canal, etc.), (figuratively)",
ܐܓܘܓܐ,,"free will, way of life",
ܐܓܘܓܐ,,"free will, way of life",
ܐܓܘܢܐ,[ʔaɡɡonɑ(ʔ)],"assembly, crowd, contest, competition, wrestling, match,",
ܐܓܘܢܝܣܛܐ,[ʔaɡɡonistˤɑ(ʔ)],"combatant, rival, wrestler",
ܐܓܘܢܣܛܐ,,Alternative spelling of ܐܓܘܢܝܣܛܐ‎,
ܐܓܘܪܐ,,baked brick,
ܐܓܘܪܐ,,"hirer, employer",
ܐܓܘܪܐ,,"market, Synonym: ܫܘܩܐ‎ (šūqā’)",
ܐܓܘܪܐ,,"hirer, employer",
ܐܓܘܪܐ,,"market, Synonym: ܫܘܩܐ‎ (šūqā’)",
ܐܓܘܪܐ,,"market, Synonym: ܫܘܩܐ‎ (šūqā’)",
ܐܓܘܪܣܐ,[ʔɑɣorsɑ(ʔ)],"field, land, farm, estate, country house, second home,",
