L2_orth,L2_ipa,L2_gloss,L2_etym
ada,,"egg, 1562, Ogier Ghiselin de Busbecq:, Ada. Ovum.",
ael,,"stone, 1562, Ogier Ghiselin de Busbecq:, Ael. Lapis.",
alt,,"old, 1562, Ogier Ghiselin de Busbecq:, Alt. Senex.",
ano,,"hen, 1562, Ogier Ghiselin de Busbecq:, ano. Gallina.",
apel,,"apple, 1562, Ogier Ghiselin de Busbecq:, Apel. Pomum.",
athe,,"eight, 1562, Ogier Ghiselin de Busbecq:, Prosequebatur",
atochta,,"bad, 1589, Ogier Ghiselin de Busbecq, letter, Atochta.",
baar,,"child or boy, 1589, Ogier Ghiselin de Busbecq, letter,",
bars,,"beard, 1589, Ogier Ghiselin de Busbecq, letter, Bars.",
boga,,"bow (weapon), 1562, Ogier Ghiselin de Busbecq:, Boga.",
borrotsch,,"desire, 1562, Ogier Ghiselin de Busbecq:, Borrotsch.",
breen,,"to roast, 1562, Ogier Ghiselin de Busbecq:, Breen.",
broe,,"bread, 1589, Ogier Ghiselin de Busbecq, letter, Broe.",*braudą
bruder,,"brother, 1589, Ogier Ghiselin de Busbecq, letter, Bruder.",𐌱𐍂𐍉𐌸𐌰𐍂
brunna,,"spring, fountain, source, 1589, Ogier Ghiselin de Busbecq,",
cadariou,,"soldier, 1562, Ogier Ghiselin de Busbecq:, Cadariou.",
fers,,"man, 1589, Ogier Ghiselin de Busbecq, letter, Fers.",
fisct,,"fish, 1589, Ogier Ghiselin de Busbecq, letter, Fisct.",
furdeithien,,"forty, 1589, Ogier Ghiselin de Busbecq, letter, Viginti",
fyder,,"four, 1589, Ogier Ghiselin de Busbecq, letter, Jussus",
fyuf,,"five, 1589, Ogier Ghiselin de Busbecq, letter, Jussus",
gadeltha,,"beautiful, 1589, Ogier Ghiselin de Busbecq, letter,",
geen,,"to go, 1589, Ogier Ghiselin de Busbecq, letter, Geen.",
goltz,,"gold, 1589, Ogier Ghiselin de Busbecq, letter, Goltz.",
handa,,"hand, 1589, Ogier Ghiselin de Busbecq, letter, Handa.",
hazer,,"thousand, 1589, Ogier Ghiselin de Busbecq, letter,",
hoef,,"head, 1589, Ogier Ghiselin de Busbecq, letter, Hoef.",
