L2_orth,L2_ipa,L2_gloss,L2_etym
atsinali,,man,
haamaa,,to be tired,
heema,,"to barbecue
nukeema : I barbecue",
i-,,second person plural agent marker,
iinaro,,woman,
-ka,,"progressive tense marker
nuiraka : I am drinking",
kalaka,,chicken,
li-,,third person singular masculine agent marker,
-na,,third person plural patient marker,
na-,,third person plural agent marker,
-ni,,third person singular masculine patient marker,
-no,,third person singular feminine patient marker,
nu-,,"first person singular agent marker
nuiraka : I am drinking",
pantti,,house,
patsiaka,,manioc drink,
peethe,,manioc bread,
pi-,,second person singular agent marker,
ru-,,third person singular feminine agent marker,
uuni,,water,
wa-,,first person plural agent marker,
