L2_orth,L2_ipa,L2_gloss,L2_etym
badagarang,,"eastern grey kangaroo, Macropus giganteus
1793, Watkin Tench, A Complete Account of the Settlement at Port Jackson
Hitherto I have spoken only of the large, or grey kangaroo, to which the natives give the name of ‘patagaran’.",
baragarang,,kangaroo,
barrabugu,,"tomorrow
1793, Watkin Tench, A Complete Account of the Settlement at Port Jackson
‘Bulla mogo parrabugo’ (two hatchets to-morrow) I repeatedly cried; but having probably experienced our insincerity, he rejected the proposal with disdain.",
burrudyara,,butterfly,
dalang,,tongue,
dara,,tooth,
darra,,"leg, thigh",
dingu,,"a tame or domesticated dingo
Coordinate term: warrigal",
dura,,mosquito,
dyin,,"woman
1793, Watkin Tench, A Complete Account of the Settlement at Port Jackson
The letter ‘y’ frequently follows ‘d’ in the same syllable. Thus the word which signifies a woman is ‘dyin’; although the structure of our language requires us to spell it ‘deein’.",
dyinuragang,,old woman,
dyuralya,,"brolga (Antigone rubicunda, syn. Grus rubicunda)",
gabara,,head,
gan,/ŋan/,reptile,
garabara,/kaˈɻapaɻa/,a dance; a corroboree,
gawulgung,,species of kangaroo,
goninpatta,,Obsolete spelling of gunin bada,
gooree,,Obsolete form of guri.,
guni,,"excrement, feces, shit",
guri,,"ear
1793, Watkin Tench, A Complete Account of the Settlement at Port Jackson
English   Name on the sea coast   Name at the Hawkesbury
The Ear   gooree                         Benna",
guuu-wi,,come here,
mai,,eye,
miyanung,,the common Australian fly (musca vetustissima),
mogo,,Obsolete form of mugu.,
mugu,,"hatchet
1793, Watkin Tench, A Complete Account of the Settlement at Port Jackson
‘Bulla mogo parrabugo’ (two hatchets to-morrow) I repeatedly cried; but having probably experienced our insincerity, he rejected the proposal with disdain.",
mula,,"man
1793, Watkin Tench, A Complete Account of the Settlement at Port Jackson
One of our party lifted with ease two of them from the ground, in spite of their efforts to prevent him, whereas in return, no one of them could move him. They called him ‘murree mulla’ (a large strong man).",
mulla,,Obsolete form of mula.,
muru,,path,
nangyila,,telescope,
ngulun,,forehead,
patagaran,,Obsolete form of badagarang.,
patagarang,,Obsolete form of badagarang.,
warada,,waratah,
warrigal,,"a wild, undomesticated dingo
Coordinate term: dingu",
wiling,,lips,
wirriga,/wi.ri.ŋa/,goanna,
wollabi,,"wallaby, rock wallaby",
wumbat,,wombat,
yarring,,beard,
