L2_orth,L2_ipa,L2_gloss,L2_etym
chǫ,,rain,
dahghoò,,gooseberry,
dahmò,,roof,
dlòo,,squirrel,
done,,person,
dìga,,wolf,
elà,,canoe,
kwe,,"stone, rock",
ladà,,table,
mbeh,,knife,
ndi,,island,
sah,,bear (mammal),
shìh,,mountain,
sàà,,knot (in rope or string),
T'satsąot'ınę,,"Yellowknives, a Treaty 8 First Nation of the Athabaskan Tribe",
ti,,water,
ticho,,"sea, ocean",
tiiwo,,soup,
ts'èko,,woman,
tso,,firewood,
tsà,,beaver,
tłe,,lard,
tʰó,,night,
wha,,marten,
whe,,belt,
xah,,goose,
xeh,,"pack, parcel, bundle",
xoh,,root,
xèh,,darkness,
zhah,,snow,
čʰṍ,,rain,
ło,,smoke,
