L2_orth,L2_ipa,L2_gloss,L2_etym
'ie,,(uncommon) Obsolete spelling of ie,
'k,/k/,subjective unstressed form of ik (“I”),
'm,/əm/,"Contracted form of hem
Hij heeft 'm neergeschoten.He shot him.",
'n,/ən/,Contraction of een.,
'ns,/əns/,Clipping of eens.,
'r,/ər/,Contracted form of haar.,
's,,"Contraction of des. Used in ’s ochtends, ’s morgens,",
's,,Clipping of eens.,
's,,Clipping of eens.,
-'s,/s/,"Used to form the plural form of nouns ending in a vowel, except schwa.
foto → foto’s (instead of fotoos)
taxi → taxi’s (instead of taxies)",
's-Gravenhage,/ˈsxraːvə(n)ˌɦaːɣə/,Synonym of Den Haag,
's-Gravenzande,/ˌsxraː.və(n)ˈzɑn.də/,"A town in South Holland, Netherlands.",
's-Heerenberg,,"A city and former  municipality of Montferland, Gelderland,",
's-Hertogenbosch,/ˌsɛrtoːɣə(m)ˈbɔs/,'s-Hertogenbosch (a city and municipality and capital,
't,/ət/,"Contraction of het (“the”).
Dan houdt 't verhaal op ― Then the story ends.
Waar in 't veld staat hij? ― Where on the pitch is he?
Wat ga je in 't weekend doen? ― What are you up to this weekend?
Also used in names: Jacobus Henricus van 't Hoff (Nobel laureate in chemistry)",
't,/ət/,"Contraction of het (“it”).
't Is al laat ― It's late already.
Kan je 't goed zien? ― Can you see it well?",
11e,,Abbreviation of elfde.,
14e,,Abbreviation of veertiende.,
15e,,Abbreviation of vijftiende.,
16e,,Abbreviation of zestiende.,
29e,,Abbreviation of negenentwintigste.,
31e,,Abbreviation of eenendertigste.,
35e,,Abbreviation of vijfendertigste.,
36e,,Abbreviation of zesendertigste.,
37e,,Abbreviation of zevenendertigste.,
38e,,Abbreviation of achtendertigste.,
39e,,Abbreviation of negenendertigste.,
3e,,Abbreviation of derde (“3rd”).,
4-FA,,Abbreviation of 4-fluoramfetamine.,
4-fluoramfetamine,/viːr.fly.ɔr.ɑm.feː.taː.mi.nə/,4-fluoroamphetamine,
4-FMP,,Abbreviation of 4-fluoramfetamine.,
40e,,Abbreviation of veertigste.,
41e,,Abbreviation of eenenveertigste.,
42e,,Abbreviation of tweeënveertigste.,
43e,,Abbreviation of drieënveertigste.,
44e,,Abbreviation of vierenveertigste.,
45e,,Abbreviation of vijfenveertigste.,
46e,,Abbreviation of zesenveertigste.,
47e,,Abbreviation of zevenenveertigste.,
48e,,Abbreviation of achtenveertigste.,
49e,,Abbreviation of negenenveertigste.,
4e,,Abbreviation of vierde (“4th”).,
50e,,Abbreviation of vijftigste.,
51e,,Abbreviation of eenenvijftigste.,
52e,,Abbreviation of tweeënvijftigste.,
53e,,Abbreviation of drieënvijftigste.,
54e,,Abbreviation of vierenvijftigste.,
55e,,Abbreviation of vijfenvijftigste.,
56e,,Abbreviation of zesenvijftigste.,
57e,,Abbreviation of zevenenvijftigste.,
58e,,Abbreviation of achtenvijftigste.,
59e,,Abbreviation of negenenvijftigste.,
5e,,Abbreviation of vijfde.,
60e,,Abbreviation of zestigste.,
61e,,Abbreviation of eenenzestigste.,
62e,,Abbreviation of tweeënzestigste.,
63e,,Abbreviation of drieënzestigste.,
64e,,Abbreviation of vierenzestigste.,
65-plusser,/ˌvɛi̯.fən.zɛs.təxˈplʏ.sər/,"A person who is 65 years old or older, 65 having traditionally",
65e,,Abbreviation of vijfenzestigste.,
66e,,Abbreviation of zesenzestigste.,
67e,,Abbreviation of zevenenzestigste.,
68e,,Abbreviation of achtenzestigste.,
69e,,Abbreviation of negenenzestigste.,
6e,,Abbreviation of zesde.,
70e,,Abbreviation of zeventigste.,
71e,,Abbreviation of eenenzeventigste.,
73e,,Abbreviation of drieënzeventigste.,
74e,,Abbreviation of vierenzeventigste.,
75e,,Abbreviation of vijfenzeventigste.,
76e,,Abbreviation of zesenzeventigste.,
77e,,Abbreviation of zevenenzeventigste.,
78e,,Abbreviation of achtenzeventigste.,
79e,,Abbreviation of negenenzeventigste.,
7e,,Abbreviation of zevende.,
80e,,Abbreviation of tachtigste.,
81e,,Abbreviation of eenentachtigste.,
82e,,Abbreviation of tweeëntachtigste.,
83e,,Abbreviation of drieëntachtigste.,
85e,,Abbreviation of vijfentachtigste.,
86e,,Abbreviation of zesentachtigste.,
87e,,Abbreviation of zevenentachtigste.,
88e,,Abbreviation of achtentachtigste.,
89e,,Abbreviation of negenentachtigste.,
8e,,Abbreviation of achtste.,
90e,,Abbreviation of negentigste.,
91e,,Abbreviation of eenennegentigste.,
92e,,Abbreviation of tweeënnegentigste.,
93e,,Abbreviation of drieënnegentigste.,
94e,,Abbreviation of vierennegentigste.,
95e,,Abbreviation of vijfennegentigste.,
96e,,Abbreviation of zesennegentigste.,
97e,,Abbreviation of zevenennegentigste.,
98e,,Abbreviation of achtennegentigste.,
99e,,Abbreviation of negenennegentigste.,
9e,,Abbreviation of negende.,
-a,,"Plural form of -um
Synonym: -ums",
A,/aː/,"The first letter of the Dutch alphabet, written in the Latin script.",
a,/aː/,"The first letter of the Dutch alphabet, written in",
a,/aː/, (archaic) a stream or water,
a,/aː/,(Brabant) you,
a,/aː/, (archaic) a stream or water,
a,/aː/,(Brabant) you,
a,/aː/,(Brabant) you,
A'dam,,Abbreviation of Amsterdam.,
a-,/aː/,"a-: Not, without, opposite of.",
a-capellakoor,/aː.kɑˈpɛ.laːˌkoːr/,(music) a cappella choir,
a.d.,/aːn də/,Initialism of aan de.,
a.h.w.,,as it were; Abbreviation of als het ware.,
a.j.b.,,Abbreviation of alsjeblieft.,
a.m.,,Abbreviation of amica manu.: (delivered) by the hand of a friend (put on an address),
a.s.,,Abbreviation of aanstaande.,
a.u.b.,/aː.yˈbeː/,Abbreviation of alstublieft.,
aa,,(especially in names) Alternative spelling of a,
Aa,/aː/,the name of many small rivers and streams,*ahwō
aad,/aːt/,(rare) shallow oval tub or tray used for acquiring,
