L2_orth,L2_ipa,L2_gloss,L2_etym
apit,,spine,
arus,,rice,
cacve,,scorpion,
caṉ,,"any wild cat (jaguar, cougar, etc.)",
caꞌṉaju,,"(intransitive) turn into a wild cat (jaguar, cougar,",
coje,,Mexican jumping pitviper (Atropoides nummifer),
coque,,fish,
cucyacva,,"a kind of tree (Oecopetalum mexicanum, type species",
ejqueñe,,plain chachalaca (Ortalis vetula),
galyu,,rooster,
ilu,,thread,
isyquitzan,,"Mexican vine snake (Oxybelis aeneus)
Synonym: jamdyacus",
jacha,,axe,
jamat,,co-brother-in-law (the husband of a man's wife's sister),
lavusy,,nail,
maṉco,,mango,
miꞌsyu,,"cat
Synonym: chitu",
nøcaṉ,/ˈnɨkaŋ/,neotropical river otter (Lontra longicaudis),
Ojcama,,Tecpatán,
otzi,,tobacco,
paloma,,bird,
quiñea,,banana,
savatuṉ,,the Milky Way,
toqui,,shooting star,
tzinucaṉ,,northern tamandua (Tamandua mexicana),
tzoja,,cotton,
tzuc,,"mouse, rat",
tzunjon,,great curassow (Crax rubra),
tzuyomo,,raccoon (Procyon lotor),
ucu,,agouti,
ulicuy,,"Panama rubber tree (Castilla elastica, type species",
vaj,,red morning glory (Ipomoea coccinea),
vaja,,horn,
vay,,hair,
vinbac,,tumpline,
vinu,,wine,
voju,,(intransitive) bark,
vøcu,,crested guan (Penelope purpurascens),
yame,,purple yam (Dioscorea alata),
yelva,,tarantula,
yochuꞌve,,"sow (female pig), Synonym: yomyoya",
yomo,,woman,
yomyoya,,"sow (female pig), Synonym: yochuꞌve",
yoya,,pig,
yoꞌo,,tamale,
yøc,,black,
ñijpu,,(transitive) sow,
øṉu,,(intransitive) sleep,
ṉgupi,/ˈŋɡupi/,"a person from Ocotepec, Chiapas, Mexico., Synonym:",
