L2_orth,L2_ipa,L2_gloss,L2_etym
ali,,a hole sunk into the ground as a source of water or other fluids; well.,
ayu,/a.ju/,tree,
biintengi,,fort,
binggele,,wife,
binggi,,mountainside,
binggungo,,shoulder,
binte,,corn,
bintuuri,,fiance,
bisikoyi,,cookie,
bolangitang,,"a large tree found in southern and southeast Asia and northern Australia, Tetrameles nudiflora.",
bulangita,,"a large tree found in southern and southeast Asia and northern Australia, Tetrameles nudiflora.",
butiyoto,,(anatomy) The back of the leg below the knee; calf.,
deheto,,"sea near the land, littoral zone of sea",
haku,,"genitalia, Te Sudi biloto'o, ilotuhata lo bali to haku.,",
haku,,"that which complies with justice, law, or reason; right.,",
haku,,"that which complies with justice, law, or reason; right.,",
hungolawa,,clove,
lalahu,,yellow,
meela,,red,
opato,,four,
puti'o,,white,
taluhu,,water,
tihedu,/tihedu/,neighbor,
tiihede,/tiːhede/,neighborhood,
tiladu,,"a palm native to southern and southeast Asia and northern Australia, Corypha utan.",
titi'o,,cockroach,
wa'u,,I,
wonu,,"dew (moisture in the air that settles on plants, etc.)",
wonu,,fragrant (sweet-smelling),
wonu,,if,
yi'o,,you,
yitomo,,black,
