L2_orth,L2_ipa,L2_gloss,L2_etym
almo̱n,,"Almud, a unit of volume.",
ano̱nas,,ceriman (Monstera deliciosa),
a̱scat,,Obsolete spelling of askat,
a̱te̱npa̱toj,,"heron, Synonym: a̱pa̱toj",
bu̱rroj,,donkey,
cafe̱n,,Coffee.,
cala̱t,,Frog.,
ca̱ca̱lo̱t,,Obsolete spelling of kakalot,
chilat,,chilate,
chi̱mal,,Shield.,
colex,,Cabbage.,
coyo̱t,,Obsolete spelling of koyot,
cuohuit,,"Wood., Tree.",
cuoutaj,,Forest.,
cuoutequi,,To chop wood.,
epat,,Skunk.,
esti,,Blood.,
huehuejcho,,turkey cock,
hue̱yia̱t,,"river, ocean",
huitziquitzi̱n,,Hummingbird.,
ichcat,,Sheep.,
ijuit,,feather,
ilama,,turkey hen,
istat,/ˈistat/,Salt.,
itzcui̱nti,,Dog.,
i̱xcapto̱to̱t,,bronzed cowbird (Molothrus aeneus),
kakalot,,Crow.,
kapolin,,capulin,
lamat,,old woman,
mali̱gua̱y,,Iguana.,
masat,/ˈma.saːtɬ/,deer,
masa̱t,,Obsolete spelling of masat,
ma̱se̱hua̱l,,"a Nahua, a dark-skinned person",
metat,,metate,
me̱saj,,table,
moli,,mole,
na̱hual,,"witch, sorcerer",
na̱hualo̱t,,"witchcraft, magic",
ocot,,Obsolete spelling of okot,
okot,,pine tree,
pe̱sojti,,Coati.,
quiohuit,,Rain.,
siwat,/ˈsiwaːt/,woman,
tacua̱che,,opossum,
tacua̱tzi̱n,,Mexican tree porcupine (Coendou mexicanus),
tapajsol,,nest,
ta̱ncho,,kinkajou (Potos flavus),
tecolo̱t,,louse,
tepol,,penis.,
ti̱ltzapot,,Black sapote.,
xa̱ltigri̱llo,,bobcat (Lynx rufus),
xino̱la̱j,,A well-dressed woman.,
xocti,,"Slug, snail.",
xokot,,orange,
xolopij,,liar,
xolopijti,,"gossip, slander, lie",
yocsic,,"cooked, ripe",
yo̱li,,(intransitive) be born (of a person),
