L2_orth,L2_ipa,L2_gloss,L2_etym
ँ,[ə̃],chandrabindu (a nasal vowel diacritic of the Devanagari script),
ं,[ə̃ŋ],anusvara,
अ,/ə/,"the first vowel of Hindi, written in the Devanagari script; inherent after consonants
कह kaha",
अ-,,"non-, un-, a-, an- (a negating prefix)",
अँ,/ə̃/,the fourteenth vowel in Hindi,
अँकवैया,/ə̃k.ʋə̯i.jɑː/,"valuer, appraiser",
अँगड़ाई,/əŋ.ɡɽɑː.iː/,Alternative spelling of अंगड़ाई (aṅgṛāī),
अँगरेज़,/əŋ.ɡɾeːd͡ʒ/,Alternative spelling of अंग्रेज़ (aṅgrez),
अँगरेज़,/əŋ.ɡɾeːd͡ʒ/,Alternative spelling of अंग्रेज़ (aṅgrez),
अँगरेज़ी,/əŋ.ɡɾeː.d͡ʒiː/,Alternative spelling of अंग्रेज़ी (aṅgrezī): English; British; of or pertaining to the English language; Western,
अँगरेज़ी,/əŋ.ɡɾeː.d͡ʒiː/,Alternative spelling of अंग्रेज़ी (aṅgrezī): English (language),
अँगहीन,/əŋ.ɡʱiːn/,Alternative spelling of अंगहीन (aṅghīn),
अँगिया,/əŋ.ɡɪ.jɑː/,Alternative spelling of अंगिया (aṅgiyā),
अँगीठी,/əŋ.ɡiː.ʈʰiː/,"small stove, brazier, 1880 – 1936, Premchand, Aatmaaraam :वह",
अँगूठी,/əŋ.ɡuː.ʈʰiː/,Alternative spelling of अंगूठी (aṅgūṭhī),
अँग्रेज़,/əŋ.ɡɾeːd͡ʒ/,Alternative spelling of अंग्रेज़ (aṅgrez),
अँग्रेज़,/əŋ.ɡɾeːd͡ʒ/,Alternative spelling of अंग्रेज़ (aṅgrez),
अँग्रेज़ी,/əŋ.ɡɾeː.d͡ʒiː/,Alternative spelling of अंग्रेज़ी (aṅgrezī): English; British; of or pertaining to the English language; Western,
अँग्रेज़ी,/əŋ.ɡɾeː.d͡ʒiː/,Alternative spelling of अंग्रेज़ी (aṅgrezī): English (language),
अँटना,/əɳ.ʈnɑː/,"to fit in, be contained in, Synonym: समाना (samānā)",
अँतड़ी,/ə̃t̪.ɽiː/,Alternative spelling of अंतड़ी (antṛī),
अँधेरा,,"dark, Synonyms: अंधकारमय (andhkārmay), प्रकाशरहित (prakāśarhit),",
अँधेरा,,"darkness, absence of light, मीन, नाश, विध्वंस, अँधेरा",
अं,/ə̃/,the twelfth vowel in Hindi,
अंक,/əŋk/,"number, numeral, Synonym: संख्या (saṅkhyā), mark, spot,",
अंकगणित,/əŋ.kɡə.ɳɪt̪/,(mathematics) arithmetic,
अंकगणितीय,,"arithmetic, arithmetical",
अंकन,/əŋ.kən/,"counting, enumeration, Synonyms: गिनती (gintī), गणना",
अंकनी,/əŋ.kniː/,pencil (writing utensil),
