L2_orth,L2_ipa,L2_gloss,L2_etym
0-s,[ˈnulːaːʃ],"Abbreviation of nullás., 3:0-s győzelem ― a 3:0 win",
0-s,[ˈnulːaːʃ],Abbreviation of nullás.,
1-es,[ˈɛɟːɛʃ],Abbreviation of egyes.,
1-es,[ˈɛɟːɛʃ],Abbreviation of egyes.,
10-es,[ˈtizɛʃ],"Abbreviation of tízes., Ellipsis of 2010-es., Ellipsis",
10-es,[ˈtizɛʃ],Abbreviation of tízes.,
100-as,[ˈsaːzɒʃ],Abbreviation of százas.,
100-as,[ˈsaːzɒʃ],Abbreviation of százas.,
1000-es,[ˈɛzrɛʃ],Abbreviation of ezres.,
1000-es,[ˈɛzrɛʃ],Abbreviation of ezres.,
1970-es,[ˈɛzɛrkilɛnt͡ssaːshɛtvɛnɛʃ],"Abbreviation of ezerkilencszázhetvenes., (of) the 1970s,",
1970-es,[ˈɛzɛrkilɛnt͡ssaːshɛtvɛnɛʃ],"someone born in 1970 or in the 1970s, (someone or)",
1980-as,[ˈɛzɛrkilɛnt͡ssaːzɲolt͡svɒnɒʃ],"Abbreviation of ezerkilencszáznyolcvanas., (of) the",
1980-as,[ˈɛzɛrkilɛnt͡ssaːzɲolt͡svɒnɒʃ],"someone born in 1980 or in the 1980s, (someone or)",
1990-es,[ˈɛzɛrkilɛnt͡ssaːskilɛnt͡svɛnɛʃ],"Abbreviation of ezerkilencszázkilencvenes., (of) the",
1990-es,[ˈɛzɛrkilɛnt͡ssaːskilɛnt͡svɛnɛʃ],"someone born in 1990 or in the 1990s, (someone or)",
2-es,[ˈkɛtːɛʃ],Abbreviation of kettes.,
2-es,[ˈkɛtːɛʃ],Abbreviation of kettes.,
20-as,[ˈhusɒʃ],"Abbreviation of húszas., Ellipsis of 2020-as., Ellipsis",
20-as,[ˈhusɒʃ],Abbreviation of húszas.,
200-as,[ˈkeːt͡sːaːzɒʃ],Abbreviation of kétszázas.,
200-as,[ˈkeːt͡sːaːzɒʃ],Abbreviation of kétszázas.,
2000-es,[ˈkeːtɛzrɛʃ],Abbreviation of kétezres.,
2000-es,[ˈkeːtɛzrɛʃ],Abbreviation of kétezres.,
2010-es,[ˈkeːtɛzɛr ˌtizɛʃ],"related to the year 2010, (in the plural) related to",
2020-as,[ˈkeːtɛzɛrɦusɒʃ],"Abbreviation of kétezerhúszas., (of) the 2020s, Synonym:",
