L2_orth,L2_ipa,L2_gloss,L2_etym
A,/a/,"The first letter of the Indonesian alphabet, written in the Latin script.",
a,/a/,"The first letter of the Indonesian alphabet, written in the Latin script.",
a-,[a],"a- (not, without, opposite of)",
a.d.,,Abbreviation of atas dasar.,
a.l.,,Abbreviation of antara lain.,
a.n.,,Abbreviation of atas nama.,
a.p.,,Abbreviation of atas perintah.,
a.s.,,Abbreviation of alaihi salam.,
aanwijzing,/an.wɛi.zɪŋ/,(government) process tender which specifications are,
aba,,A human male who begets a child; father,
abab,[ˈabap̚],"bad breath, (dialect) exhale",
abad,/a.bat̚/,"(literally) Century, a period of 100 consecutive years.,",
abadi,[ˈabad̪i],"immortal, undying, eternal, Synonyms: abid, ajek, awet,",
abadiah,[abaˈd̪iah],"immortality, eternity, Synonyms: keabadian, kekekalan",
abadiat,[abaˈd̪iat̪̚],"(nonstandard) Alternative spelling of abadiah (“immortality, eternity”)",
abaimana,,"(obsolete) genitalia, (archaic) anus",
abaka,,abaca plant,
abakus,[ˈaba.kʊs],"abacus (a calculating frame), Synonyms: dekak-dekak,",
abang,,"(literally or figuratively, chiefly Sumatra, West Kalimantan",
abang,,"red, Synonym: merah",
abang,,"red, Synonym: merah",
abangan,[ˈabaŋ.an],gutter.,
abangan,[ˈabaŋ.an],abangan: Javanese Muslim who practice a much more syncretic,
abangan,[ˈabaŋ.an],abangan: Javanese Muslim who practice a much more syncretic,
abano,[ˈabano],"Sterculia foetida., Synonyms: jangkang, kelumpang,",
abantara,,(obsolete) herald,
abaya,[ˈabaja],"abaya, aba.",
abbas,,(Catholicism) abbot,
abdi,/ab.di/,"subordinate, Synonyms: abdu, abdul, anak buah, bawahan,",
abdis,/ab.dɪs/,(Catholicism) abbess,
abdomen,[apˈdo.mən],"(anatomy, entomology, zoology) abdomen",
abduksi,[ap̚ˈd̪ʊk̚si],"abduction:, (anatomy) the act of abducing or abducting;",
Abdul,,A male given name from Arabic used by Muslims.,
abdusen,[ap̚ˈdu.sən],"(anatomy) abducent, that which abducts., Antonym: adusen",abducent
abek,[ˈabək̚],(dialect) small pond with wild plant.,
aber,[ˈabər],lost or run out of strength and superiority,
ABG,,"(colloquial) adolescent, Synonym: remaja",
abg,,(text messaging) Abbreviation of abang (“older brother”).,
abi,/abi/,"father, Synonyms: ayah, bapak",
abid,,"(obsolete) immortal, undying, eternal",
abid,,pious person,
abid,,to pray,
abid,,pious person,
abid,,to pray,
abid,,to pray,
abikara,[abiˈkara],"(Java, archaic) respected person.",
Abimanyu,,A male given name from Javanese.,
abiseka,/abi.se.ka/,"(Hinduism) ceremony of watering, related to coronation,",
abiturien,[abit̪uˈrien],(education) high school graduate.,
abjad,[ˈapd͡ʒat],"alphabet (an ordered set of letters used in a language),",
abjadiah,,"alphabetical, Synonym: alfabetis, abjadic",
abjat,,Nonstandard form of abjad.,
ABK,,Initialism of anak buah kapal.,
ablaut,[aˈblaʊ̯t̚],(linguistics) ablaut,
abnus,[apnʊs],"(obsolete) ebony, wood charcoal, Synonym: kayu arang",
abolisi,[aboˈlisi],(law) The prevention or abrogation of a prosecution,
abon,[ˈabɔn],"(cooking) meat floss, (dialect, Java) provision: an",
abonemen,/abonəˈmɛn/,"subscription, Synonym: berlangganan, subscription money",
abor,[ˈabɔr],"(dialect, Java) mixing of egg white and egg yolk.",
aborsi,/ˈabɔrsi/,induced abortion.,
abortus,/ˈabɔrt̪ʊs/,(obstetrics) abortus; abortion: the expulsion from,
abras,/ab.ras/,(dated) leprous,
abras,/ab.ras/,"(dated) leprosy, Synonyms: kusta, lepra, taiko",
abrasi,[ap̚ˈrasi],"abrasion:, the act of abrading, wearing, or rubbing",
ABS,,Abbreviation of asal bapak senang.,
absen,[ˈap̚sɛn],"to be absent (in school, work and others), (colloquial)",
absen,[ˈap̚sɛn],(colloquial) clipping of absensi.,
