L2_orth,L2_ipa,L2_gloss,L2_etym
آغا,,"lord, master, agha, an honorific title of address;",
ادبسز,,shameless,
باوع,,"look
‏باوع هذا شدايسوي‎bāwiʕ haḏa shdayisowīLook at what he is doing",
برنو,/bærnaw/,"rifle, Synonyms: تفگه‎ (tufga), بندقية‎ (bunduqiyya)",
بطل,,"bottle, ‏انطيني بطل مي‎Give me a water bottle",bottle
بنزينخانة,/ban.ziːn.xaː.na/,"petrol station, 2013 October 27,  Ṭarīq Aš-Šaʿb (Newspaper",
بنچر,,puncture,puncture
بيالة,,"a small glass cup, usually used for tea.",
تتن,,tobacco,
تفگه,[tofɡɛ],rifle,
تمن,,rice,تمن
تيل,,"wire, metallic thread, telegraph or power line etc.,",
جام,,"glass, pane",
جندرمة,,gendarmerie,
خاشوقة,,spoon,
خاشوكة,,"Alternative spelling of خاشوقة‎ (ḵāšūqa, ḵāšūga, ḵāšōga, “spoon”)",
خاولي,,towel,
خستخانة,/xa.sta.xaː.na/,(obsolete) hospital,
خوب,,(with a following noun) good; someone or something,
دانش,,"(Basra) consult, ‏دانش فكري‎dāniŝ fekriWhat do you",
دمار,,vein,
دمبك,,drum,
دمبکچي,,drummer,
دوشك,[doʊʃək],mattress,
سرمايه,,"(economics, business, finance) capital",
سمچ,,fish,
شلونك,,"how are you? (to a man), Coordinate term: (to a woman)",
صخم,,"to blacken, to smudge (with soot), to tell off, to",
طوبة,,soccer,
عمبة,[ˈʕæm.ba],"amba, a whorled mash of mainly pickled mango, employed",
غوري,,"teapot, kettle",
قريولة,,bed,
قپط,,"to fill, ‏قپط الباص.‎‎qapaṭ al-bāṣThe bus filled.",
كد,,"amount, quantity, ‏اشكد هذا‎ešgad hāḏāHow much is this?",
كلش,,"very, ‏هاذ التمرين كلش صعب.‎‎Hāḏ it-tamrīn kulliš ṣaʿb.This",كُلُّ شَيْء
لسان,,(anatomy) tongue,
مشكلچي,,troubled (someone with problems),
مطي,,donkey,
مندر,,"cushion, mattress, mat",
مو,,"not, ‏مو مشكلة‎mu muškileNo problem",
مو,,"used to form interrogatives, ‏چانوا بالسوق  مو ؟‎‎chānū",
مو,,"used to form interrogatives, ‏چانوا بالسوق  مو ؟‎‎chānū",
موطة,,ice cream,
هسه,,"now
‏هسه اجي‎hassa ajīI'm coming now",
هم,,"still, all the same, ‏مهما نسوي هم مقصرين.‎‎Mahma nsawwi",
هواية,,"much; many; a lot, ‏ناس هواية‎ ― nās hwāya ― a lot",
هواية,,"much; a lot, ‏أحبچ كلش هواية.‎‎ʾaḥibbič kulliš hwāya.I",
پرده,,curtain,
پنکه,,fan (electrical device),
چرخ,/t͡ʃarx/,wheel,
چرخچي,,night watchman,
چرپاية,,bed,
چطل,,fork,
