L2_orth,L2_ipa,L2_gloss,L2_etym
aat,,louse,
aay,,leaf,
achuut,,achiote,
achë,,axe,
adsej,,woodpecker,
akx,,fish,
alaplaas,,market,
amëruux,,English (language),
amëxan,,Spanish (language),
ayuuk,,Mixe (person),
añëmë,,"soul, ghost",
aꞌagats,,Zapotec (language),
chiit,,cat,
jaam,,quicklime,
joomy,,wasp,
kaan,,salt,
kamiixy,,shirt,
Kanëëmp,,"Tehuantepec (a city in Oaxaca, Mexico)",
keekt,,wing,
konejë,,rabbit,
krus,,cross,
këꞌëk,,sandal,
lek,,toad,
maank,,mango,
meexë,,table,
Mejywiimp,,Mexico City,
Mokꞌaayñëë,,"Mogoñé Viejo (a town in San Juan Guichicovi, Oaxaca,",
mëñty,,sweet potato,
peexy,,peso,
perë,,but,
pujxt,,machete,
Sabëseent,,"Juchitán (a town in Oaxaca, Mexico)",
sandiyë,,watermelon,
seerë,,candle,
taatsk,,ear,
toots,,tongue,
tsaa,,stone,
tsukt,,ant,
tsuuky,,orange (fruit),
Tsëjugum,,"Soteapan (a town in Veracruz, Mexico)",
Tëkaam,,"San Juan Guichicovi (a town in Oaxaca, Mexico)",
uuxk,,mosquito,
wajkeeñ,,Oaxacan,
wiints,,blind,
xijts,,heart,
xutyp,,butterfly,
xëjk,,bean,
xëë,,sun,
