L2_orth,L2_ipa,L2_gloss,L2_etym
borbĕ,,beard,
bråț,[ˈbrɔt͡s],(anatomy) arm,
bur,,good,
bărbåt,[bərˈbwɔt],man,
cetåte,,city,
cvårnaru,,forty,
cåsĕ,[ˈkɔ.sə],house,
căre,,dog,
deseta,,tenth,
desetile,,tenth,
deveta,,ninth,
devetile,,ninth,
doi,,two,
doile,,second,
dova,,second,
durmi,,to sleep,
fetĕ,[ˈfetə],girl,
fiľ,[ˈfij],son,
fråte,,brother,
gľåțĕ,,ice,
io,,I,
iå,,she,
kľeptu,[ˈkjeptu],(anatomy) chest,
limbĕ,,"(anatomy) tongue, language",
lup,[lup],wolf,
lurĕ,,moon,
muľerĕ,,"woman, wife",
måie,,mother,
måre,,sea,
mľåre,[mjɔre],honey,
ne,,snow,
negru,,black,
nome,,name,
nås,,nose,
os,,bone,
osma,,eighth,
osmule,,eighth,
plug,,plough,
prva,,first,
prvi,,first,
påtra,,fourth,
påtrile,,fourth,
påtru,,four,
rumăr,,Istro-Romanian,
rumăr,,Istro-Romanian man,
sore,,sun,
ste,,(astronomy) star,
sănze,,blood,
teu,,"your, nomelu teu, your name",
tisuť,,thousand,
trei,,three,
treia,,third,
treile,,third,
treivotezåće,,thirty,
tåvžânt,,thousand,
ur,,one,
zid,,wall,
åb,[wɔb],white,
ån,[ɔn],year,
åpe,[wɔpe],water,
ćeva,,something,
ćinć,,five,
ćinća,,fifth,
ćinćile,,fifth,
ćinćvotezåće,,fifty,
șåpta,,seventh,
șåpte,,seven,
șåptele,,seventh,
șåsa,,sixth,
șåse,,six,
șåsele,,sixth,
țer,[t͡ser],sky,
