L2_orth,L2_ipa,L2_gloss,L2_etym
aba,,(Banawá) fish,
afiiama,[a.fi.ja.ma],(Banawá) A species of bird.,
awa,,(Banawá) wood,
awi,,(Banawá) tapir,
Baba,,(Banawá) A unisex given name.,
Bada,,(Banawá) A unisex given name.,
Baka,,(Banawá) A unisex given name.,
bama,,(Banawá) catfish,
basa,,(Banawá) to put a stick up high,
bata,,(Banawá) rotten,
bata,,(Banawá) to pick,
bata,,(Banawá) to pick,
baya,,(Banawá) palm fronds,
bidi,,(Banawá) small,
bira,,(Banawá) battery (device storing electricity),
bisi,,(Banawá) to pinch,
bita,,(Banawá) mosquito,
-bona,,"(evidential) identifies an action as uncertain, reported and unaccomplished",
dabikari,,(Banawá) bee (insect),
Daka,,(Banawá) A unisex given name.,
dama,,(Banawá) to hold securely,
disa,,(Banawá) spear,
disi,,(Banawá) wasp,
diyi,,(Banawá) to wobble,
faa,,(Banawá) water,
faha,,"(Jarawara dialect, unpossessed form) water",
fama,,(Banawá) two,
fisi,,(Banawá) monkey,
haha,,(Banawá) to laugh,
hako,,(Banawá) spider,
hama,,(Banawá) angry,
hihiiara,[hi.hi.ja.ra],(Banawá) to ask,
hima,,(Banawá) to urge,
hisi,,(Banawá) to sniff,
iba,,"(Banawá) to put, place",
ibe,,(Banawá) A strip of something.,
ibofa,,(Banawá) to dump into water,
kaiyara,,(Banawá) to take pride in oneself,
kaka,,(Banawá) toucan,
kama,,(Banawá) to come,
kamawamai,,(Banawá) round,
kanikai,,(Banawá) to buy,
kibi,,(Banawá) full,
kifi,,(Banawá) to cross a bridge,
kihi,,(Banawá) potato,
kiki,,(Banawá) to look to the side,
kimi,,(Banawá) corn,
kini,,(Banawá) green,
kisi,,(Banawá) to descend,
kiti,,(Banawá) strong,
maka,,(Banawá) snake,
mano,,"(Banawá, anatomy) arm",
-mari,,(evidential) identifies an action as certain and having occurred in the remote past,
mina,,(Banawá) morning,
-mona,,"(evidential) identifies an action as uncertain, reported and accomplished",
naka,,(Banawá) sticky,
nima,,(Banawá) to appear as,
owaria,,(Banawá) one,
owi,,(Banawá) to cry,
owia,,"(Banawá, of a fire) to go out",
rabikai,,"(Banawá) sick, ill",
rawi,,(Banawá) to write,
rereokana,,(Banawá) to crank,
-ri,,(evidential) identifies an action as certain and having occurred in the near past,
rima,,(Banawá) often,
saka,,"(Banawá) to jab, pierce",
sama,,(Banawá) downriver,
sima,,(Banawá) sister,
suiri,,"(Banawá, anatomy) penis",
sukia,,(Banawá) dark,
tafa,,(Banawá) to eat,
tafe,,(Banawá) food,
tafi,,(Banawá) verbal noun of tafa,
tafo,,(Banawá) to eat,
tama,,(Banawá) vine,
tefe,,(Banawá) food,
tifa,,(Banawá) to drink water,
tima,,(Banawá) upriver,
tisi,,(Banawá) to fall,
tofa,,(Banawá) to block in,
tuuia,[to.wia],(Banawá) to allow to not accompany,
tuuiia,[to.wi.ja],(Banawá) poorly done,
uaifie,[wa.i.fi.e],(Banawá) to stand in water,
uaiia,[waija],(Banawá) to hide oneself,
waka,,(Banawá) to break,
wama,,(Banawá) to remain in sight,
wanakori,,(Banawá) spider,
warabo,,"(Banawá, anatomy) ear",
warisei,,(Banawá) downwards,
wina,,(Banawá) to reside,
wisi,,(Banawá) to cut,
yaka,,(Banawá) to walk,
yama,,(Banawá) thing,
yifoya,,(Banawá) fire,
yiri,,(Banawá) to shock,
yomai,,(Banawá) dog,
