L2_orth,L2_ipa,L2_gloss,L2_etym
ᄀᆞᄁᆞᆺ,,"just then, a short time ago",
ᄀᆞᆨ다기,,mosquito,
ᄀᆞᆫ장,[kɒnd͡ʑa̠ŋ],"soy sauce, Synonyms: 물장 (muljang), 장물 (jangmul), 국물장",
ᄀᆞᆮ다,/kɒt̚t͈a/,"to speak, to say",
ᄀᆞᆯ개비,,frog,
ᄀᆞᆸ,,"layer; fold, portion; allotment, 밥을 먹어도 서로 ᄀᆞᆸ을 갈랑",
ᄀᆞᆺ바위,/kɒt̚p͈a̠wi/,the edge of a round object,
ᄀᆞᆺ사,,"just then
Synonym: ᄀᆞᄁᆞᆺ (gawkkawt)",
ᄀᆞ끔,,sometimes,
ᄀᆞ득,,full; fully,
ᄀᆞ득다,,to be full,
ᄀᆞ로쓰기,,horizontal writing,
ᄀᆞ르,/kɒɾɨ/,"meal, flour (of wheat, etc.); powder",
ᄀᆞ를,,"powder, flour, Synonym: 밀ᄏᆞ를 (milkawreul)",
ᄀᆞ리,/kɒɾi/,"time, an occasion; the time when...",
ᄀᆞ맹이,,"heat haze, Synonym: 벳ᄀᆞ렝이 (betgawreng-i)",
ᄀᆞ새,[kɔsʰɛ],scissors,
ᄀᆞ을,,autumn; fall,
ᄀᆞ져들이다,/kɒd͡ʑjədɨɾida̠/,"To bring in
그 문세를 ᄀᆞ져들이라.geu munsereul gawjyeodeuriraBring that document in.",
ᄀᆞ찌,[kɒt͡ɕ͈i],"with, together",
ᄀᆞ찌,[kɒt͡ɕ͈i],"like, in a similar way.",
ᄁᆞ늘다,,"thin, slender (of something long and thin, like a thread",
ᄁᆞ장,[k͈ɒd͡ʑa̠ŋ],"(generally) until, till, by (a time), up to",
ᄂᆞᄆᆞᆯ,/nɒmɒɭ/,"greens, namul, herbs",
ᄂᆞᄆᆞᆯ국,/nɒmɒɭɡuk̚/,vegetable soup,
ᄂᆞᆷ삐,/nɔmp͈i/,"Korean radish, a variety of daikon.",
ᄂᆞᆺ빗,,"an expression of feeling, especially a facial expression",
