L2_orth,L2_ipa,L2_gloss,L2_etym
А,,"The first letter of the Kabardian alphabet, written in the Cyrillic script.",
абдж,[ʔaːbd͡ʒ],glass,
адакъэ,[ʔadaːqa],"rooster, cock",
адыгэбзэ,[aːdəɣabza],the Adyghe language,
адэ,[aːda],"over there (Invisible, Far)",
адэ,[aːda],father,
ажал,[aːʒaːl],death,
акъыл,[ʔaːqəl],"smart, intelligent, Щӏалэр акъыл.Š̍ʾālăr āqəl.The boy",
акъыл,[ʔaːqəl],brain,
алэрыбгъу,[ʔalarəbʁʷ],carpet,
анэ,[ʔaːna],table,
анэдэлъхубзэ,[aːnadaɬxʷəbza],"mother tongue, first language
Си анэдэлъхубзэ адыгэбзэSi ānădăłx°bză ādəγăbzăMy mother tongue is Circassian.",
ар,[aːr],"it, that; he, she, that person (absolutive case)",
арап,[aːraːp],an Arabic person,
аращ,[ʔaːraːɕ],that is it,
аргъуей,[aːrʁʷej],mosquito,
арму,[aːrməw],bummer,
арщхьэкӏэ,[arɕħat͡ʃʼa],"however, although, yet
Сэ абы деж сыкIуат, арщхьэкIэ згъуэтакъымSă ābə dež səkIwāt, ārš̍ḥăkIă zġ°ătāqəmI went to him, but he was not found.",
ахъшэ,[aːχʃa],"money, currency, fund",
ахьмакъ,[aːħmaːq],fool,
бадзэ,[baːd͡za],housefly (fly),
бажэ,[baːʒa],fox,
балыджэ,[baːɮəd͡ʒa],radish,
бамэ,[baːma],"stench, stink",
банэ,[baːna],thorn,
бахъсымэ,[baːχsəma],a Circassian alcoholic drink (Circassian boza),
бахъэ,[baːχa],steam,
бацэ,[baːt͡sa],shaggy,
бгъу,[bʁʷə],nine,
бгъу,[bʁʷə],side,
бгъэ,[bʁa],eagle,
бгы,[bɣə],waist,
бдзэ,[bd͡za],fish,
бдзэжьей,[bd͡zaʑej],fish,
бегъымбар,[beʁəmbaːr],prophet,
бедэхъауэ,[bajdaχaːwa],"for nothing, in vain (to no avail or benefit), бедэхъауэ",
бжы,[bʒə],spear,
бжын,[bʒən],"to count, Щӏалэр мабже.Š̍ʾālăr mābže.The boy is counting.,",
бжьыдзэ,[bʑəd͡za],flea,
бжьыны,[bʑənə],onion,
бжьыныху,[bʑənəxʷ],garlic,
бжьыхьэ,[bʑəħa],autumn,
бжьэ,[bʑə],bowl,
бжьэхуц,[bɕaxʷət͡s],wool,
бжэмышх,[bʒaməʃx],"spoon
Нэмщӏыр бжэмышх къызотNămṣ̂ər bžăməšx q̇əzotGive me a different spoon.",
бзугъуабжэгъуэщ,[bzəwʁʷaːbʒaʁʷaɕ],waxwing (bird),
бзупцӏ,[bzəwəpt͡sʼ],blackbird,
бзы,[bzə],"female, Antonym: хъу (χ°, “male”)",
бзылъхугъэ,[bzəɬxʷəʁa],woman,
бзэ,[bza],language,
бий,[bəj],Alternative form of бый (bəj),
блыгу,[bləɡʷ],armpit,
блын,[bɮənə],wall,
блэгущӏэ,[blaɡʷəɕʼa],armpit,
быдзафэ,[bəd͡zaːfa],sucker,
быдзафэ,[bəd͡zaːfa],nursling,
быдзы,[bəd͡zə],"breast, teat",
быдэ,[bəda],tough,
бый,[bəj],"one's enemy
щӏалэм лӏэр и бый ― š̍ʾālăm ḷăr i bəj ― The man is the boy's enemy.",
былым,[bəɮəm],cattle,
бын,[bən],family,
бынжэ,[bənʒa],navel,
Бытырбыху,[batərbəxʷ],"Saint Petersburg (a federal city of Russia)
Бытырбыху сщыщ.Bətərbəx° sŝəŝ.I am from Saint Petersburg.",
бэ,[ba],"much, a lot (of)
бэрэ уиунэ скъакӏо — I am coming to your house a lot.
щӏэлэ бэм еӏуэ ар — A lot of the boys say that.",
бэ,[ba],"a lot, a lot of people, a lot of objects
бэм еӏуэ ар — A lot of people say that.",
