L2_orth,L2_ipa,L2_gloss,L2_etym
A,,"The first letter of the Kanuri alphabet, written in the Latin script.",
bofi,[bóbi],"(Kanembu) mouse, rat",
bursa,[bʊ̄rsá],(Kanembu) cloud,
ci,,mouth,
dangali,,sweet potato,
fan,,hear,
fowo,,(Kanuri) cloud,
karǝgǝ,,heart,
kelafia,,peace,
kǝnza,,nose,
kunduwu,,sweet potato,
loktu,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
nje,,pot (container),
nji,,water,
sǝmo,,ear,
shim,,eye,
tǝlam,,tongue,
timi,,(anatomy) tooth,
