L2_orth,L2_ipa,L2_gloss,L2_etym
c'áʔc'uʔ,,clean,
c'éʔc'əm',,small bird,
c'íq'i,,soggy,
c'íq'ʷən,,shoulder,
c'íxʷc'xʷ,,"osprey, falcon",
c'úʔməŋ,,damp,
c'əc'psiʔúcən,,squirrel,
c'ə́q'ʷc'q'ʷ,,dirty,
cays,,hand,
cúcən,,mouth,
cə́y'əł,,lake,
hahúʔəŋ,,frog,
háʔł,,"good, well",
húʔpt,,deer,
həm'ú,,pigeon,
hə́nən',,humpback salmon Oncorhynchus gorbuscha,
k'ʷaʔc'ə́n'tč,,shark,
k'ʷánət',,porpoise,
k'ʷát'ən,,rat,
k'ʷə́yəčən,,"grizzly bear, cougar",
k'ʷə́č'aʔc',,flea,
kʷítšn,,Chinook salmon,
lám,,beer,
ləmətú,,domestic sheep,
músmus,,cow,
múʔuqʷ,,duck,
mə́ščuʔ,,mink,
náč'əwəč,,hundred,
Nəxʷsƛ'ay'əmúcən,,Klallam (language),
nə́c'uʔ,,one,
puhúŋ'əs,,gull,
páyə,,beer,
péʔtšən,,salamander,
píšpš,,cat,
q'ayúƛ'ən',,"slug, snail",
q'cə́w'əč,,dolphin,
q'łúməčən,,orca,
q'əpə́ŋ',,to harvest,
q'ə́wic'əp,,cougar,
qaʔqiʔcə́y',,"rabbit, hare",
qəčqs,,coho salmon,
qə́yəŋ,,eye,
qʷuʔ,,water,
qʷínəcən,,"beard, whiskers",
saʔčúwił,,younger sibling,
sc'ám',,bone,
scłúcən,,lip,
sk'ʷə́yəxʷ,,screech owl,
smác'ən',,skunk,
sməxʷə́yu,,earthquake,
smə́yəc,,"elk, wapiti",
snə́xʷł,,canoe,
sq'iyáw',,beaver,
sq'ʷúŋiʔ,,head,
sqiyáyŋxʷ,,tree,
sqáχəʔ,,dog,
sqʷəmə́y',,dog,
stiqíw,,horse,
stqáyuʔ,,wolf,
stáʔčəŋ,,wolf,
stúʔwiʔ,,river,
swə́y'qa,,man,
sxʷsʔúk'ʷł,,step-parent,
sčqʷáy'əč,,black bear,
sčánnəxʷ,,salmon,
sχcáʔəy,,hay,
t'aʔt'ə́m',,wren,
t'aʔt'ə́wəsnaʔ,,star,
t'áyəqəŋ,,soggy,
titə́ŋxʷi,,dirty,
tínəqsən,,mallard,
Tłnáʔəč,,Canada,
waʔwəšəlí,,horned grebe,
xʷəxʷtəŋyéʔčaʔ,,mouse,
čuławítxʷ,,beaver,
čxʷə́yuʔ,,whale,
čə́ns,,tooth,
čə́saʔ,,two,
łaʔłiʔp'iʔáχən,,bat (mammal),
łq'tə́w'əč,,beaver,
łqáy'č',,moon,
ŋə́qsən,,nose,
ŋə́scən',,louse,
šxʷməhéʔnəs,,"porpoise, dolphin",
ƛ'aʔƛ'ápt,,butterfly,
ƛ'ák'ʷχən,,goose,
ƛ'łáłc,,saltwater,
ƛ'əmƛ'əmcínəŋ,,lightning,
ƛ'əŋ'q'łčə́qsən,,cormorant,
ʔaʔaŋí,,old squaw,
ʔásxʷ,,fur seal,
ʔáyəs,,sister,
ʔáʔiŋ,,house,
ʔłsq'íyuʔ,,rat,
ʔənəcə́qʷ,,red,
ʔəŋʔíŋəc,,grandchildren,
ʔəšás,,sea lion,
ʔə́y',,"good, well",
χaʔχiyuʔéʔč,,chipmunk,
χáyk'ʷs,,raccoon,
χáʔčχłč,,hemlock,
