L2_orth,L2_ipa,L2_gloss,L2_etym
аддзыны,,see,
айморт,,man,
ан,,gum (part of mouth),
ань,,woman,
ар,,autumn,
артавны,,count,
ас,,own,
бадь,,willow,
байдӧг,,partridge,
бан,,face,
бать,,father,
бергавны,,turn (intr.),
берд,,wall,
би,,fire,
бобув,,butterfly,
боль,,bubble,
борд,,wing,
Братислава,,Bratislava (the capital and largest city of Slovakia),
бур,,good,
быд,,all,
бӧр,,a place behind,
ва,,water,
важ,,old (of things),
вайны,,bring,
ведра,,bucket,
веж,,green,
вежны,,change (tr.),
вежон,,week,
велавны,,learn,
вем,,brain,
вердны,,feed,
ви,,butter,
вила,,pitchfork,
вина,,"wine, liquor",
вины,,kill,
вир,,blood,
висьлӧс,,sickly,
висьны,,"be ill, feel pain, ache",
вит,,five,
во,,year,
вой,,night,
война,,war,
волявны,,shine,
вом,,mouth,
воны,,arrive,
восны,,vomit,
воторник,,Tuesday,
вуг,,handle,
вузавны,,sell,
вунӧдны,,forget,
вурны,,sew,
выв,,a place above,
вый,,butter,
выль,,new,
вӧв,,horse,
вӧнь,,belt,
вӧр,,forest,
вӧрӧг,,enemy,
гадь,,bladder,
гач,,trousers,
гид,,barn,
гижны,,write,
гоб,,mushroom,
гож,,"sunshine, heat (in summer)",
гожӧм,,summer,
голя,,neck,
горт,,home,
гу,,"pit, cave",
гусь,,thief,
гут,,fly (insect),
гыж,,nail (on fingers/toes),
гырддза,,elbow,
гӧр,,plough,
гӧрд,,red,
гӧрддзавны,,"tie (a knot), join (tr.)",
гӧрны,,plough,
дас,,ten,
дась,,ready,
джадж,,shelf,
джек,,chair,
джуджыд,,high,
дзебны,,hide,
дзодзӧг,,goose,
дзор,,white (of hair),
додь,,sled,
дон,,price,
дундыны,,swell,
дуриан,,durian,durian
дӧра,,"linen, fabric",
дӧрӧм,,shirt,
ем,,needle,
зарни,,gold,
зэр,,rain,
ид,,barley,
из,,stone,
изны,,grind,
йи,,ice,
йӧв,,milk,
кар,,town,
квайт,,six,
керку,,house,
керны,,do,
ки,,hand,
кодзув,,star,
кодзувкот,,ant,
коз,,fir,
козин,,gift,
кок,,leg,
кольта,,sheaf,
коньӧр,,poor,
кор,,leaf,
корны,,"beg, call",
кос,,dry,
ку,,"leather, hide",
кувны,,die,
кудз,,urine,
кузь,,long,
куим,,three,
куньны,,close (eyes),
курӧг,,hen,
кыа,,dawn,
кыв,,tongue,
кывны,,hear,
кызь,,twenty,
кык,,two,
кын,,frozen,
кыны,,weave,
кыр,,male,
кырныш,,raven,
кӧдзыд,,cold,
кӧин,,wolf,
кӧк,,cuckoo,
кӧрт,/kɘrt/,iron,
лов,,soul,
лола,,"(Alces alces) elk, moose",
лоп,,spleen,
луа,,sand,
лун,,"day, south",
лы,,bone,
лыа,,sand,
лыдд́ыны,,(transitive) to count,
лым,,snow,
лэбны,,fly,
ма,,honey,
майтӧг,,soap,
ме,,(personal) I,
мед,,pay,
ми,,we,
мой,,beaver,
монь,,daughter-in-law,
морт,,"man, human, person",
му,,earth,
мужичӧй,/ˈmuʒit͡ɕəj/,"man, masculine",
мукӧд,,other,
мунны,,go,
мус,,liver,
мый,,what,
мыськыны,,wash,
нёль,,four,
небыд,,soft,
низь,,sable,
ним,,name,
нин,,bast,
новлыны,,"wear, carry",
нуны,,carry,
ныв,,"daughter, girl",
ныр,,nose,
ньӧв,,arrow,
нювны,,lick,
нюр,,swamp,
нянь,,bread,
няньдоз,,breadbox,
овны,,to live,
олӧм,,life,
он,/ˈon/,"sleep, dream",
пель,,ear,
пемыд,,dark,
петны,,exit,
пи,,son,
пинь,,tooth,
повны,,fear,
пом,,end,
пон,,dog,
порсь,,pig,
пу,,"tree, wood (as material)",
пукавны,,sit,
пуны,,"boil, cook",
пурт,,knife,
пыдӧс,,bottom,
пызь,,flour,
пырны,,enter,
пыш,,hemp,
пӧв,,half,
пӧрысь,,old,
пӧсь,,hot,
рой,,moss,
рок,,porridge,
роч,,Russian,
руч,,fox,
рыт,,evening,
сё,,hundred,
сёй,,clay,
сёйны,,eat,
сіт,,shit,
сія,,"he, she, it",
са,,soot,
сетны,,give,
сизим,,seven,
син,,eye,
сир,,resin,
сов,,salt,
совдоз,,salt cellar; salt shaker,
сол,,Alternative form of сов (sov),
сос,,sleeve,
сук,,dense,
сулавны,,stand,
сур,,beer,
сурым,,death,
сыв,,fat,
сывны,,melt,
сьӧд,,black,
сьӧкыд,,heavy,
сьӧлӧм,,heart,
сьӧм,,scale (of fish),
сэтӧр,,currant,
сю,,rye,
сюр,,horn,
сюрс,,thousand,
сӧн,,vein,
сӧп,,gall bladder,
та,,this,
талун,,today,
тар,,black grouse,
той,,louse,
тош,,beard,
туй,,"way, road",
тулыс,,springtime,
тури,,crane,
турун,,grass,
тыр,,full,
тӧв,,wind,
тӧв,,winter,
тӧв,,winter,
тӧдны,,know,
тӧлісь,,month,
ув,,bottom,
удж,,work,
улич,,street,
уна,,many,
ур,,squirrel,
чарла,,sickle,
чери,,fish,
чож,,uncle,
чӧскыд,,sweet,
шебравны,,cover,
шоныд,,warm,
шор,,creek,
шуны,,say,
шыд,,soup,
шыр,,mouse,
шырны,,reap,
шӧр,,middle,
ыж,,ewe,
эзысь,,silver,
эскыны,,believe,
юавны,,ask (a question),
югыд,,bright,
юны,,drink,
юр,,head,
юрвисянісь,,headache,
юсь,,swan,
юӧр,,news,
ӧдзӧс,,door,
ӧзйыны,,ignite (intrans.),
ӧкмыс,,nine,
ӧм,,mouth,
ӧті,,one,
ӧти,,one,
