L2_orth,L2_ipa,L2_gloss,L2_etym
aviisi,/ɑˈʋiːsi/,newspaper,
faari,/ˈfɑːri/,father,
Färsaaret,,(plural only) The Faroe Islands.,
harmaja,/ˈhɑrmɑjɑ/,grey,
het,/ˈhet/,they,
hän,/ˈhæn/,"he, she (animate)",
kaheksan,/ˈkɑheksɑn/,Alternative form of kahđeksen,
kahđeksen,/ˈkɑhðeksen/,eight,
kainulainen,/ˈkɑi̯nuˌlɑi̯nen/,Kven (person),
kieli,/ˈkie̯li/,"tongue, language",
kranni,/ˈkrɑnːi/,neighbour,
kvääni,/ˈkvæːni/,"Kven (person), Kven (language)",
lappalainen,/ˈlɑpːɑˌlɑi̯nen/,Sami,
lauvantai,/ˈlɑu̯ʋɑnˌtɑi̯/,Saturday,
met,/ˈmet/,we,
mie,/ˈmie̯/,I,
nelje,/ˈnelje/,four,
neljä,/ˈneljæ/,Alternative form of nelje,
net,/ˈnet/,"these, those",
net,/ˈnet/,"these, those, they",
norjalainen,/ˈnorjɑˌlɑi̯nen/,Norwegian,
normaali,,normal,
nuot,/ˈnuo̯t/,those,
nuot,/ˈnuo̯t/,those,
nämät,/ˈnæmæt/,these,
nämät,/ˈnæmæt/,these,
paperi,,paper,
ruijalainen,/ˈrui̯jɑˌlɑi̯nen/,Norwegian,
ruottalainen,/ˈruo̯tːɑˌlɑi̯nen/,Swede,
saamelainen,/ˈsɑːmeˌlɑi̯nen/,Sami,
se,/ˈse/,"this, that",
se,/ˈse/,"this, that, he, she, it",
sie,/ˈsie̯/,"thou, you (singular)",
taivas,/ˈtɑi̯vɑs/,heaven,
tet,/ˈtet/,"ye, you (plural)",
tuo,/ˈtuo̯/,that,
tuo,/ˈtuo̯/,that,
tuorestai,/ˈtuo̯resˌtɑi̯/,Thursday,
tähti,/ˈtæhti/,star,
tämä,/ˈtæmæ/,this,
tämä,/ˈtæmæ/,this,
vaimoihminen,[ˈʋɑimo̞içmine̞n],woman,
yhđeksen,,nine,
yhđeksentoista,,nineteen,
