L2_orth,L2_ipa,L2_gloss,L2_etym
آكو,/aːko/,parrot,
أحرف,,worse; worst,
الزب,/əzˤːɑb/,"(vulgar) Expression of worry, failure, shock, etc., often at something seen for the first time or remembered immediately before using this term",
انتوا,,you,
بالعاني,/bəl.ʕaː.ni/,jokingly,
بتات,/btaːt/,"clothes, make-up, and other sundry items that a bride prepares before the wedding to take with her to her husbands home.",
بخشة,/boχʃa/,"any rectangular cloth for eating on, working ...etc.",
بزار,/bzˤɑːr/,a spice made mainly of ground turmeric mixed with other,
بزع,/bzˤɑʕ/,(vulgar) semen,
بزع,/bzˤɑʕ/,to spill,
بزول,/bazːuːl/,(vulgar) boob,
بلبوش,/balˈbuːʃ/,clams,
بلبوشة,/balˈbuːʃa/,singulative of بلبوش‎ (balbūš),
بنة,/banːa/,"taste, (Eastern Libyan) smell",
بنين,/bniːn/,delicious,
بوخة,/boːχɑ/,illegally distilled liquor of inferior quality,
بيباص,/biːbɑːsˤ/,"clergyman, priest",
تزدان,/təzdaːn/,wallet,
تعفلق,/tʕafləɡ/,to get angry,
تل,/talː/,A metal wire or a thin metalic bar.,
تينة,/tiːna/,(vulgar) buttocks,
جبارة,/ʒubːaːra/,palm tree seedling,
جبوجي,/ʒabːuːʒi/,a variety of olive,
جلابية,/ʒəˈlːaːbijːa/,a long gown that cover the body from the shoulders to the feet. (especially one for men),
جلجلان,/ʒəlʒlaːn/,sesame seed,
حار,/ħɑːrː/,(of food) spicy,
حرارات,/ħrɑːrɑːt/,a kind of spice,
حكة,/ħukːɑ/,"a canister, the pelvis",
حوت,/ħuːt/,fish,
حيط,/ħeːtˤ/,wall,
خانب,/χɑːnəb/,a thief,
خرارة,/χərːɑrɑ/,"a sump, a cesspool",
خربوشة,/χɑrbuːʃa/,insect,
خطم,,(intransitive) to pass by,
خطم,,(transitive) to pass through,
خطم,,(transitive) to pass through,
خنانة,/χnaːna/,mucus of the nose,
خنب,,to steal,
خوى,/χwe/,to dodge,
دبدحة,/dabədħa/,A percussion instrument used widely in southern Libya. It is struck by hand to produce sound,
دحية,,an egg,
دلاعة,/dəlːaːʕa/,watermelon,
دلزة,/dəlza/,(vulgar) testicle,
دمالة,/dəmːaːla/,abscess,
دوب,/duːb/,slightly,
دوى,/dwe/,to talk,
راجى,/rɑːʒaː/,to wait for,
رشادة,/rʃaːda/,stone,
رشتة,/rəʃta/,One of several kinds of traditional Libyan pasta that,
روشن,/roːʃən/,window,
زازة,/zˤɑːzˤɑ/,noise,
زامل,/zaːməl/,(vulgar) homosexual male (receptive side),
زب,/zəbː/,(vulgar) penis,
زبرة,/zˤubra/,anvil,
زربوط,/zˤɑrbuːtˤ/,spinning top,
زرقينة,/zˤərɡiːna/,indigo dye,
زغرط,/zˤaɣrˤətˤ/,to ululate,
زقرلو,/zəɡrəlːu/,cockroach,
زك,/zˤukː/,(vulgar) vagina,
زلبح,/zalbaħ/,to swindle,
زلمومية,/zalmuːmijːa/,a small lizard,
زمالة,/zmaːla/,turban,
زوز,/zˤoːzˤ/,"two, couple",
زيط,/zˤɑjːətˤ/,to pass flatulence,
سبس,/sabːəs/,to smoke,
سبسي,/səbsi/,cigarette,
ستيرسو,/stiːr.su/,steering wheel,
سفناري,/sfənːaːri/,"Alternative form of سفنارية‎ (sfənnāriyya, “carrot”)",
سفنارية,/sfənːaːrijja/,carrot,
سكنجبير,/skənʒbiːr/,ginger,
شاهي,/ʃaːhi/,tea,
شبح,/ʃbaħ/,to see,
شبو,/ʃəːu/,cockroach,
شخشير,/ʃɑχʃiːr/,socks,
شرتع,/ʃartaʕ/,to cause to scatter,
شرشور,/ʃarʃuːr/,aggregate (the one mixed with concrete),
شرمولة,/ʃarmuːla/,"a salad made of crushed tomatoes, onions, oil and salt",
شرين,/ʃarjən/,to emit a high frequency ringing sound,
شعبوط,/ʃɑʕbuːtˤ/,"(derogatory, slang) unsophisticated",
شكشوكة,/ʃakʃuːka/,"shakshuka; a food made primarily from fried eggs and vegetables, especially tomatoes",
شكون,/ʃkuːn/,(interrogative) who?,
شلافطي,/ʃlɑːftˤi/,(derogatory) of rural background,
شليوني,/ʃal.joː.ni/,road leading to the top of a mountain,
شوشاو,/ʃawʃaːw/,chick,
شوق,[ʃoːɡ],plenty of,
شيبيبوك,/ʃiːbiːbuːk/,hoopoe,
شيشة,/ʃiːʃa/,"bottle, hookah",
شيشمة,/ʃiːʃma/,"tap (UK), faucet (US)",
صخف,/sˤɑχːəf/,to induce pity in,
صنورة,/sˤɑnːuːra/,"a lateral beam made of palm tree log, used to support the ceiling of a building",
صيد,/sˤeːd/,lion,
طب,/tˤabː/,(slang) to arrest,
طيز,/tˤiːzˤ/,"(vulgar) cunt; pussy (vulva, vagina)",
عبد,,slave,
عبد,,to worship,
عفج,/ʕafːəj/,to cause to wrinkle,
عنابي,,red wine,
عوينة,/ʕweːna/,Diminutive of عين‎,
غثيث,/ɣtiːt/,hair,
فترش,/fatrəʃ/,to cause to shatter,
فرعة,/fɑrʕɑ/,underpants,
فركس,/farkəs/,to bring to disorder,
فطز,/fatˤːəzˤ/,to squish,
فقاع,/fəɡːɑːʕ/,mushroom,
فقس,/fɡɑsˤ/,(of the eyes) to pop,
فقس,/fɡɑsˤ/,to hatch,
فقس,/fɡɑsˤ/,to hatch,
فكرونة,/fɑkruːna/,"turtle, tortoise",
فليتشة,/fleːtʃa/,"turn signal, a car’s blinker, a slingshot (made from",
فيسع,/fiːsɑʕ/,quickly,
قرجومة,/ɡɑrʒuːma/,(anatomy) larynx,
قرقابة,/ɡərɡaːba/,a set of one or two cylindrical millstones with an axle through their centers. used to grind olives to produce oil.,
قرقابة,/ɡərɡaːba/,"plural of قرقاب‎ (gərgāb, “one who presses olive oil”)",
قرقب,,a sound resembling the pronunciation of this word,
قرقب,,"to press olives to extract oil, (vulgar, slang) to",
قرقب,,"to press olives to extract oil, (vulgar, slang) to",
قرقطون,/ɡɑrɡtˤuːn/,handrail,
قزة,/ɡɑzˤːɑ/,"sand, especially sea sand",
قصيبة,,Diminutive of قَصْبَة‎ (gaṣba),
قصيبة,,oat,
قصيبة,,oat,
قطوس,/ɡɑtˤːuːs/,cat,
قطوسة,/ɡɑtˤːuːsa/,cat,
قعمز,/ɡaʕməz/,to sit,
قلالية,/ɡəlːaːlijːa/,balcony,
قلعاوية,/ɡəlʕaːwijːa/,melon,
قلفاط,/ɡʊlfɑːtˤ/,One whose job is repairing ship hulls,
قنقيط,/ɡənɡiːtˤ/,"A kind of plant consumed for its hallucinatory effects and used in telling the future, likely Hyoscyamus.",
قنين,/ɡnajːən/,beautiful,
كاشيك,/kaː.ʃiːk/,"spoon, spoonful, excavator vehicle, bulldozer",
كاغط,/kɑːɣətˤ/,"piece of paper, (archaic) document",
كرمود,[karmuːd],"a closed compartment, large enough to house a human being, put on the back of camel. Usually used for carrying brides and important women.
",
كرهبة,/karahba/,(old-fashioned) car,
كلوط,/kɑlˤːuːtˤ/,a piece of feces,
كوش,/kwəʃ/,plural of كوشة‎,
كوشة,/kuːʃa/,oven,
كيب,/kiːb/,"hut; cottage
",
لاقبي,/laːɡbi/,palm tree sweet sap,
لوح,,wood,
لوح,,to throw,
مالقي,/maːlɡi/,jug,
مداس,/mdaːs/,sandals,
مربوعة,/mɑrbuːʕa/,"a room in a house for receiving male guests, usually with a door to the street",
مرش,/murəʃ/,"glass, a substance made of silica",
مزط,/mazˤːətˤ/,to squish,
معدنوس,/maʕ.dnuːs/,parsley,
مغرف,/moɣrəf/,a long flat piece of wood used as kitchen utensil to,
مندار,/məndɑːr/,a rectangular small mattress used for sitting or sleeping. Normally put on the ground.,
موس,/muːs/,knife,
مي,/me/,water,
ميبون,/miːbuːn/,(vulgar) homosexual male (receiving side),
نغنغ,/naɣnaɣ/,(usually of a child) to cry in a low voice,
نمنم,/nəmnəm/,measles,
نو,/nɑwː/,(of the weather) heat,
نو,/nɑwː/,(of the weather) hot,
نونة,/nuːna/,(vulgar) clitoris,
هلبا,/halba/,much,
هلبا,/halba/,much,
واعر,/wɑːʕər/,"difficult, (of a person) strict",
وصيف,/wsˤiːf/,"slave, serf",
