L2_orth,L2_ipa,L2_gloss,L2_etym
𒀀𒀀𒀸𒊭,,mouth,
𒀀𒀊𒉺,,"back, again",
𒀀𒀜𒁺𒉿𒀀𒇷𒅖,,evil,
𒀀𒀭𒉌𒅖,,mother,
𒀀𒀸𒋾,,is,
𒀀𒁺𒈾,,to eat,
𒀀𒃾𒋾,,to come,
𒀀𒆷𒀜𒋻𒊭,,fruit,
𒀀𒆷𒀸𒊭𒄠𒈪𒅖,,sea,
𒀀𒋾,,to make,
𒁕𒀀𒌋𒄿𒅖,,eye,
𒁺𒌑𒁉𒋾,,"to hit, strike",
𒁺𒌓𒋻𒊑𒄿𒀀𒋾𒅖,,daughter,
𒃻,,bread,
𒄩𒀀𒀸𒊭,,bone,
𒄩𒀀𒁉𒅖,,river,
𒄩𒀀𒌑𒄿𒅖,,sheep,
𒄯𒊕,,mountain,
𒄷𒌋𒄿𒋻𒊭,,wild animal,
𒄿𒅖𒊭𒊑𒅖,,hand,
𒄿𒋾,,to go,
𒆪𒅖,,who,
𒆪𒉿𒀭𒍪𒍑,,"heavy, Synonym: 𒋗𒉿𒀀𒊒𒍑",
𒆪𒌑𒊒𒈾,,to cut,
𒇽𒅖,,"husband, man, person",
𒈠𒀀𒀭,,"if, whenever, whether…or",
𒈠𒀠𒇷,,honey,
𒈠𒅈𒉿𒄿𒀀,,rot,
𒈠𒈾𒀀𒋾,,"to look at, see, to experience",
𒈦𒈾𒀭𒍝,,house,
𒈾𒀀𒈾𒀸𒊑𒅖,,sister,
𒈾𒀀𒉡𒌦,,now,
𒈾𒀀𒌑𒉿𒋾,,new,
𒉺𒀀𒄷𒌋𒌨,,fire,
𒉺𒋫𒀀𒀸,,foot,
𒉿𒀀𒅈𒊭,,water,
𒉿𒀀𒋗𒍑,,good,
𒉿𒈾𒀜𒋾𒅖,,woman,
𒉿𒉿𒈾𒀸,,woman,
𒊍𒍪𒉿𒀸,,horse,
𒋗𒉿𒀀𒊒𒍑,,"heavy, Synonym: 𒆪𒉿𒀭𒍪𒍑",
𒋫𒀀𒊒,,wood,
𒋫𒀀𒋾𒅖,,father,
𒋫𒀊𒉺𒀸𒊭,,"heaven, sky",
𒋰𒉺𒀀𒉌𒅖,,hair,
𒋾𒄿𒀀𒄠𒈪𒅖,,earth,
𒋾𒉿𒊍,,"sun, Sun-god",
𒌈𒈠𒀀𒀭,,ear,
𒌋,,Cuneiform sign for vowel 'u'.,
𒌑𒇷𒅁𒉌𒅖,,wolf,
𒌚,,month,
𒍝𒀀𒅈𒍝,,heart,
𒍣𒋾𒅖,,husband,
𔐱𔕬𔗬𔑰𔖱,,Anatolian hieroglyphs spelling of 𒁺𒌓𒋻𒊑𒄿𒀀𒋾𒅖 (/duttariyatis/):,
𔑮𔐓𔗵𔗬,,Anatolian hieroglyphs spelling of 𒊍𒍪𒉿𒀸 (/azzuwas/):,
𔖪𔖱𔖪,,Anatolian hieroglyphs spelling of 𒍝𒀀𒅈𒍝 (/UZUzārza/):,
