L2_orth,L2_ipa,L2_gloss,L2_etym
अँई,,here,
अँई-वँई,,here and there,
अँईयाड़ी,,here,
अंगोठी,,finger ring,
अकल,,"intelligence, intellect, understanding",
अकारथ,,"meaningless, unsuccessful, futile",
अकारा,,"fragrant, redolent, aromatic",
अकास,,sky,
अकेलो,,"alone, solitary",
अक्खड़,,"stubborn, quarrelsome",
अक्खातीज,,"(Jainism, Hinduism) Akshaya Tritiya",
अक्रूर,,"not cruel, gentle, compassionate, kind",
अखंड,,"undivided, unbroken, complete, whole",
अखत,,"unbroken, whole, intact",
अखत,,"(Hinduism) unbroken, whole grains of rice used in Hindu",
अखबार,,newspaper,
अखरोट,,walnut,
अदको,,good,
अदको,,"much, many",
अदको,,very,
अदगेलो,,"half-crazy, half-mad",
अमली,,tamarind,
अमलो,,"crowd, multitude, mob",
अलख,,"invisible, imperceptible",
पाणी,/pɑ.ɳi/,water,
पुरतो,,enough,
पुरतो,,enough,
पुलटिस,,poultice,poultice
पूर,,flood,
पेर,,a unit of time equaling three hours,
पेरी,,the section of sugarcane between two joints,
पेसाब,,(physiology) urine,
पेसो,,"money, cash",
पो,,"dawn, daybreak",
पो,,"(chaupar) a specific move, (chaupar) the first house",
पो,,a pyau,
पो,,"(chaupar) a specific move, (chaupar) the first house",
पो,,a pyau,
पो,,a pyau,
पोंचणो,,"to arrive, reach",
पोथी,,"a small book, booklet",
पोदीना,,mint,
पोपट,,parrot,
प्यासा,,thirsty,
भूक,,"hunger, craving (for food), deep desire, lack, absence,",
भूका,,hungry,
वँई,,there,
हाँटो,,sugarcane,
हाँड़ी,,handi,
हाट,,"a marketplace, bazaar",
हाड़,,bone,
हाण,,"harm, damage, loss, deficit",
हात,,hand,
हातकड़ी,,handcuffs,
