L2_orth,L2_ipa,L2_gloss,L2_etym
abaga,,(anatomy) shoulder,
abukay,,white parrot,
agik-ikan,,ringworm,
ahas,,snake,
alalay,,assistant,
alimango,,large crab,
alimparuro,,cowlick,
aliputan,,(anatomy) anus,
ba-ba,,(anatomy) mouth,
babayi,,female; woman; girl,
babero,,bib,
baboy,,pig,
babuyan,,piggery; pig farm,
badil,,gun,
badlo,,phlegm; mucus,
bado,,dress; shirt; clothes,
baduya,,banana fritter,
bag-ang,,(anatomy) molar tooth,
baka,,cow,
baka,,bowlegged,
baka,,bowlegged,
baklag,,putrid odor; stench (of rotten food or flesh),
baklaw,,bracelet,
bakya,,wooden sandal; wooden slippers,
bala,,bullet,
balagon,,vine,
balangaw,,rainbow,
balas,,bush,
balaw-ang,,(anatomy) hip,
balawat,,(anatomy) collarbone,
balay,,house,
balay-balay,,playhouse; dollhouse,
balayi,,parent of bride and groom,
balbag,,club; cludgel,
balde,,bucket; pail,
balhas,,sweat; perspiration,
bali,,broken; fractured,
balighot,,knot,
baligya,,merchandise; product; goods,
balyena,,whale,
bampira,,vampire,
banal,,holy; divine,
banga,,clayen jar,
bangag,,coconut beetle,
bangkat,,large basket,
bangkil,,tusk; fang; prong,
bangos,,milkfish,
bangungot,,heart attack in sleep,
banog,,hawk,
bansil,,gold tooth,
bantog,,famous; well-known,
barang,,curse,
basa-basa,,porridge,
baskog,,strength,
basura,,garbage; trash,
batalong,,soybean,
batangas,,dagger,
bato,,stone; rock,
batubato,,anchor; sinker,
batyag,,feeling,
bawang,,garlic,
bay-ong,,market bag,
bayabas,,guava,
bayad,,payment,
bayag,,testicle; scrotum,
bayaw,,sibling-in-law,
bayhon,,(anatomy) face,
bayo,,pestle,
bayuko,,(pathology) mumps,
bibe,,duckling,
bibig,,lips,
Bibliya,,Bible,
bihod,,fish roe; fish egg,
bilada,,"graduation (from school, course, etc.)",
bilang,,number,
bilat,,(anatomy) vagina,
binhod,,numbness,
binlod,,rice particles,
bino,,vine,
bintana,,window,
birik,,askew; awry; out of line,
bisan,,even if; even though,
bitamina,,vitamin,
bituon,,star,
biyahe,,journey; trip,
bukawil,,seashell,
bukog,,bone,
buktot,,hunchbacked; slouched,
bulan,,moon,
bulang,,cockfight,
bulang,,steel spur (placed on a rooster's ankle for a cockfight),
bulati,,worm,
bulbol,,pubic hair,
bun-i,,ringworm,
bunday,,mane (of an animal),
bungi,,harelip,
bungisngis,,giant (supernatural being with a wide grin and laughs boisterously),
bungkog,,(anatomy) tailbone,
bungol,,deaf,
buog,,otorrhea; ear discharge,
burak,,flower,
buraw,,mackerel,
buruton,,boastful,
busal,,muzzle,
busog,,full; satiated (from eating),
but-ol,,corncob,
buta,,blind,
butakal,,boar; male pig,
butig,,white yam; white sweet potato,
butig,,pimple; whitehead (specifically on one's face),
butiti,,pufferfish,
buwa,,lie; falsehood,
buwas,,tomorrow,
dagom,,needle,
daka,,maybe; perhaps,
dalan,,path; way; road,
dampog,,cloud,
daraga,,"maiden; lass; young, unmarried woman",
dawi,,fishhook,
dila,,(anatomy) tongue,
dugo,,blood,
duha,,two,
duyan,,cradle; hammock,
gab-i,,evening; night,
gaba,,destroyed; damaged,
gabi,,taro,
gahom,,power; authority,
galang,,respect,
gamit,,use; function,
gamot,,root,
gata,,coconut milk,
gatas,,milk,
gatong,,firewood; fuel,
gihay,,midrib (of a leaf),
ginikanan,,parent,
gipaw,,school (of fish),
gitara,,guitar,
gitik,,tickle,
gulay,,vegetable,
gusok,,(anatomy) rib,
gutob,,boundary,
guyabano,,soursop,
habasan,,surgeonfish,
hadi,,king,
hagudila,,(anatomy) pancreas,
handong,,shade,
hangin,,wind; air,
hangot,,body odor,
hanot,,whip,
hantik,,large ant,
Hunyo,,June,
ido,,dog,
iloy,,mother,
isda,,fish,
kamot,,(anatomy) hand,
kamundo,,sorrow,
kamuot,,love,
kan-on,,cooked rice,
kanam,,game,
kanaman,,toy,
kandila,,candle,
kanding,,goat,
kanina,,recently,
kawayanan,,bamboo grove,
