L2_orth,L2_ipa,L2_gloss,L2_etym
آلیش,,thanks,
ئیران,,Iran,
ارزا,,late,
اره,[ˈæːɾɛ],yes,
ازال,,plow,
اسپه,/əspeː/,white,
اش,,bear,
اشتلم,,pitchfork,
اشکل,,"thigh, poplit, popliteal fossa, thighbone",
اله,,eagle,
اما,,we,
او,,water,
اوجا,,elm tree,
اوهایو,,Ohio,
بامشی,,cat,
بتر,,better,
برار,,brother,
براز,,boar,
برم,,flag,
بز,/bɛz/,goat,
بسانیئن,,"to tear, rend",
بشائن,,to open,
بنه,,"ground, soil, land",
بچا,,cold,
بینج,,rice,
بینج,,وینج‎ (vinj),
تاشه,,hatchet,
ترازی,,balance (weighing scale),
تروک,,breath,
تلا,,rooster,
تلار,,A specific type of barn with two floors where the second,
تور,,axe,
تیسا,,empty,
جش,,trash,
جمنر,,early,
جمه,,clothing,
جنگره,,"small fight, ‏جنگره بزوئن‎ ― jangere bazoen ― to fight",
جنگره,,"an uncut piece of timber, a deformed wood plank",
خاخر,,sister,
خارشید,,sun,
خله,,very,
خو,,sleep,
خی,,pig,
دار,,tree,
دارسنیئن,,"(dialectal or archaic) to stare, gaze",
داز,,sickle,
دتر,,daughter,
دس,,hand,
دمبک,/dæmbek/,drum,
دوآج,,blanket,
دیما,,homeland,
رسن,,rope,
ریکا,,boy,
زلاغ,/zəlɒɣ/,"baby, infant, ‏زلاغ وچه‎zlāq vačebaby child",
زلکا,,A small unripe fruit of the genus Prunus.,
زمسن,,winter,
زوون,,"tongue, language",
سامون,,border,
سحر,,dawn,
سرج,,black kashk,
سرشن,,full,
سره,,"house, barn",
سره,,"cheap, good price, worthy",
سره,,"annoyance, nuisance",
سره,,"cheap, good price, worthy",
سره,,"annoyance, nuisance",
سره,,"annoyance, nuisance",
سلام,,hello,
سمشکه,,(dialectal) sunflower seeds,
سه,,apple,
سه,,three,
سو,,"ethnicity, breed, type",
سو,,"grinding, ‏سو سنگ‎ ― so-e seng ― grinding stone, sharpening",
سو,,"igniting, ‏سو هاکردن‎ ― su hakerden ― to ignite",
سو,,"grinding, ‏سو سنگ‎ ― so-e seng ― grinding stone, sharpening",
سو,,"igniting, ‏سو هاکردن‎ ― su hakerden ― to ignite",
سو,,"igniting, ‏سو هاکردن‎ ― su hakerden ― to ignite",
سوچو,,torch,
سک,,"orphan, ‏سک سغیر‎ ― sek-e sağir ― homeless child",
سک,,"orphan, orphaned",
سک,,"hard, ‏سک پوس‎ ― sak-e pus ― hard shell, tough skin,",
سک,,"dog, ‏سک کته‎ ― sak kete ― puppy, ‏سک کولی‎ ― sak kuli",
سیکا,,duck,
شوکا,,roe deer,
صب,,morning,
فرهنگ,,A male given name,
فک,,willow,
قتول,,wink,
لل,,mosquito,
لنگ,,leg,
لچر,,dirty,
لیسک,,snail,
لینگ,,leg,
مار,,mother,
ماز,,"Alternative form of مهاز‎ (mehāz, “fly”).",
مازرون,,Mazandaran,
مازرونی,,Mazanderani language,
مازرونی,,Mazanderani,
متکا,,pillow,
مرغانه,,chicken egg,
مسلمون,,Muslim,
مشت,,full,
ملیجه,,ant,
میچکا,,sparrow,
نا,[nɔː],no,
نو,,new,
نو,,"boat, small ship",
نو,,"boat, small ship",
هسکا,/hæsːəkɑː/,bone,
هلوه,/hælvɛ/,a yoghurt made of sheep's colostrum.,
وا,,"air, ‏جوش وا‎ ― juš-e vâ ― very hot weather, ‏وا بزوئن‎",
وا,,"wind, ‏کنار وا‎ ― kenâr vâ ― winds from the beach,",
وا,,"open, ‏وا هاکردن‎ ― vâ hakerden ― to open, ‏وا بویین‎",
وا,,"wind, ‏کنار وا‎ ― kenâr vâ ― winds from the beach,",
وا,,"open, ‏وا هاکردن‎ ― vâ hakerden ― to open, ‏وا بویین‎",
وا,,"open, ‏وا هاکردن‎ ― vâ hakerden ― to open, ‏وا بویین‎",
واجار,,"known, famous, ‏واجار بویین‎ ― vājār baviyen ― Become",*wekʷ-
وارش,,rain,
واچیک,,"game, joke",
وراز,,"wild boar, hog",
ورزا,,ox,
ورول,,A butterfly that is believed appear out of nowhere after death of a loved one.,
ورگ,/vɤrɡ/,wolf,
وند,,spider,
ونوشه,,violet (flower),
ونوشه,,"A female given name, Vanoosheh",
وک,,frog,
وگ,,(dialectal) Alternative form of وک‎,
ویاز,,yawn,
وینج,,rice,
وینج,,بینج‎ (binj),
پاشا,,A male given name,
پت,,shrimp,
پتو,,warm,
پتوش,,hot,
پلا,/pəlɒː/,"cooked rice; pilau, pilaf",
پمه,,cotton,
چاب,,lie,
چکه,,clap,
کالنگ,,pickaxe,
کرد,/kɤrd/,shepherd,
کرفا,,fishing net,
کرک,,chicken,
کشور,,country,
کلا,,Forms names of towns and populated or inhabited areas.,
کلاچک,,seashell,
کلم,/kɤlɤm/,"barn, stall",
کلماغ,,stick,
کمل,/kæməl/,straw,
کورماز,,"fly, insect",
کیجا,,"girl, daughter",
کینگ,,butt,
گالش,/ɡɒːlɛʃ/,cowherd,
گت,,great,
گته,,big,
گرواز,,"spade, shovel",
گزر,/ɡæzər/,carrot,
گس,,neck,
گل,,mouse,
گو,,cow,
گومش,,buffalo,
گپ,,discussion,
یالمان,,rainbow,
یالمان,,A male given name,
