L2_orth,L2_ipa,L2_gloss,L2_etym
ahke·w,,"earth, land",
ahkǣhkopenākan,,basket,
a·kem,,snowshoe,
akuah,,louse,
a·mo·w,,bee,
a·nema·w,,German,
anuah,,pine snake,
anāh,,star,
anāhkyan,,"mat, floor mat",
anāmas,,marsh grass,
anōhkan,,blackberry,
anɛ·m,,dog,
apāhkiy,,"bulrush, reed",
apǣhnapamen,,blue corn,
apǣhsahkyah,,brant,
apǣhsos,,deer,
apǣskasiw,,buzzard,
aqsekan,,bass,
askēqtemeh,,white oak,
asātiy,,poplar,
asēqtakan,,cornstalk,
awǣhsaeh,,bear,
aya·pɛ·w,,"male; stag, buck",
enæn-,,"common, ordinary, usual, plain",
enæn-apuan,,corn bread,
enǣnāpaeh,,axe,
esko·tɛ·w,,fire,
kaeqcekam,,"ocean, sea",
ka·ka·kew,,"raven, crow",
kaskāhkocekan,,fence,
kekāhtek,,corncob with the grains still on it,
kenu·pik,,snake,
kenēnēskapekonaew,,chickadee,
kenūsīw,,"northern pike, pickerel",
kepānohekan,,"cover, lid",
kepōhkan,,dew,
kepōhkan,,"(inanimate, intransitive) dew falls",
ketǣmīw,,porcupine,
kohkān,,fishhook,
kāhpaehnak,,ash tree,
kākākemen,,berries of staghorn sumac (Rhus typhina),
kāwey,,quill (porcupine),
kēsaehkāhtek,,cedar,
kēsek,,sky,
kēsekat,,day,
kēspen,,if,
maehkuam,,ice,
maehkīh,,blood,
maehkīhnak,,red cedar,
maeqnakwah,,badger,
maeqtekomeh,,red oak,
maeqtekōs,,canoe,
manōmaeh,,"rice, oats",
manɛ·to·w,,a game animal other than a bird,
maskīhkiw,,"herb, medicine",
maskīhkīwenaeniw,,"medicine man, healer",
maskūcīhsaeh,,bean,
masēnahekan,,book,
matās,,poison ivy,
mekēk,,otter,
menūtīh,,bag,
menǣs,,"island, continent",
meswǣw,,cottontail rabbit,
mesānān,,hard-shell corn boiled whole,
mianīw,,owl,
mo·s,,moose,
muak,,loon,
māhkesen,,"moccasin, shoe",
mēkon,,"feather, pen",
mēn,,blueberry,
mīhekan,,"road, path",
mīmīkwǣw,,butterfly,
mōs,,Alternative spelling of mo·s,
mūcehkiw,,bluejay,
nahnākǣw,,crawfish,
namǣh,,beaver,
namǣkoh,,brook trout,
nanāckoh,,hickory,
nekot,,one,
neku·tuasetah,,six,
nepe·w,,water,
nepēhsaeh,,lake,
nianan,,five,
ni·s,,two,
ni·w,,four,
nōhekan,,seven,
nɛ·ka·w,,sand,
nɛqniw,,three,
ohkān,,bone,
ohkānaeh,,awl,
ohpuakan,,pipe,
okāskiq,,leech,
okēmāw,,"chief, sachem",
omīnīw,,pigeon,
omōhnaew,,"worm, insect",
onākan,,"bowl, plate",
oqsas,,muskrat,
osāqsekop,,slippery elm bark,
osāwahkwah,,brown bear,
osāwāpaeh,,"copper, brass",
otǣqciah,,crane (the bird),
owōhnemaw,,father,
pahki·sekan,,"wheat, flour, bread",
pakān,,nut,
pekēwāhtek,,balsam fir,
pemātesen,,life,
pemēh,,"oil, grease",
penǣhkwan,,comb,
pepēhsaeh,,baby,
pesēw,,"lynx, bobcat",
pesēwāhtek,,alternate-leaved dogwood,
pesǣhkiw,,"ox, buffalo, bison, cow",
pāhsawan,,jerky,
pāpīcekawew,,bloodroot,
pīh,,canoe paddle,
saqyaeh,,now,
sekāk,,skunk,
sekēmaeh,,"diving duck, hell-diver",
suasek,,eight,
sākæw,,nine,
sāqsakaew,,heron,
sōpomāhtek,,sugar maple,
sūniyan,,"money, silver",
sǣqnap,,"spreading dogbane, hemp",
taehkēnākan,,cradleboard,
tōtōpaeh,,saw-whet owl (Aegolius acadicus),
tūkaniq,,blackbird,
tūtīs,,"snipe, plover",
wacēw,,hill,
wanākǣh,,bark,
watōw,,ball,
watǣpak,,cornhusk,
we·kewam,,"house, wigwam",
wāhkonak,,lichen,
wānaqtaew,,bay,
wānaskat,,marsh,
wāpemen,,corn,
wāpesīhpen,,arumleaf arrowhead (Sagittaria cuneata),
wāsēhsaeh,,catfish,
wēkopemeh,,basswood tree,
wēnaeqnamenan,,wintergreen berries,
wīhkit,,bay,
wīkīh,,birchbark,
wīkīhsāhtek,,"birch tree, white birch",
wīpaehkuahkǣqnaew,,canvasback duck,
yōhpeh,,"now, today",
ānahkwat,,cloud,
āyǣniw,,possum,
ōs,,canoe,
ūhkiw,,maggot,
ɛ·hsepan,,raccoon,
ɛ·meskwan,,"spoon, ladle",
