L2_orth,L2_ipa,L2_gloss,L2_etym
a,,"expresses satisfaction, pity, fright, or admiration",
a,,"(transitive) wake, awaken",
a,,flea,
a,,"(transitive) wake, awaken",
a,,flea,
a,,flea,
aba,/ǎβa/,equine palatitis,
abri,,"April, Synonym: ntatso̱ni",
adi,/àði/,ask,
agate,/ǎɣáte/,agate,
animä,/ǎnímã/,"soul, spirit, dead person, corpse",
baxjua,,Christmas,
bayo,,"rebozo, Synonyms: thuꞌye̱, ze̱njua",
bexiga,/βéʃíɣa/,blister,
be̱ra,,pear,
boxi,,cock,
bo̱hai,/βə̀hai/,"mud, silt",
chofe,/tʃófe/,"chauffeur, driver",
dehe,,water,
dämxi,,jaguar (panthera onca).,
däthe,/dæ̀θe/,river,
däza,,banana,
däzu̱,/ðã̀zɨ/,opossum,
déhé,,Obsolete spelling of dehe,
dąz̄ʉ́,,Obsolete spelling of däzu̱,
edi,,"(transitive) say goodbye to, bid farewell",
edi,,(transitive) bewitch,
edi,,(transitive) bewitch,
e̱nxe̱,/æ̌nʃæ/,"(Christianity) angel, a deceased child, a person who",
falto,,"an insane person, a careless person",
fani,,horse,
fantho̱,,deer,
fatsʼí,,Obsolete spelling of fatsꞌi,
fatsꞌi,,"(transitive) sift, sieve, strain",
fatsꞌi,,"(transitive) help, assist",
fatsꞌi,,"(transitive) help, assist",
gitarra,,guitar,
gobyernu,,"state governor, president (of Mexico)",
gosthi,/ɡǒsθi/,"door, port, harbor, hole, opening, Synonym: hñä, gate",
gosthinijä,,temple door,
goxthi,,Alternative form of gosthi,
haho,,fox,
hme,/hmẽ̀/,tortilla,
hmämhai,,"earthquake, Synonyms: mbimhai, mbihai",
hyadi,/hjáði/,"sun, sunlight",
hñu,,three,
hñu,,(intransitive) be three,
hñu,,(clarification of this definition is needed),
hñu,,(clarification of this definition is needed),
hǎhó,,Obsolete spelling of haho,
igo,/ǐɣo/,"fig tree, fig (fruit)",
ixi,,peach,
jodri,/xòðri/,Mexican marigold (Tagetes erecta),
jua,/xwà/,rabbit,
juaipada,,obsidian,
kalkula,,"(transitive) calculate, Synonym: nthämfeni",
kamposanto,,"cemetery, Synonyms: handu, ꞌbatha handu, nguntꞌyo",
konga,,brothel,
koraliyo,/kóɾálíjo/,"coral snake, Synonyms: do̱bga, ꞌbe̱xkꞌeñä",
kähä,,prickly pear (fruit),
kämiñꞌyo,/kã́míɲʔjo/,a kind of cactus (Opuntia sp.) (clarification of this,
ką́hą́,,Obsolete spelling of kähä,
kʼęñą́,,Obsolete spelling of kꞌeñä,
kꞌeñä,/kʼẽ̀ɲã/,snake,
lamä,/lámã̀/,sea,
mahme,/màhmè/,"large tortilla, pancreas",
Mbado,,Atlacomulco,
mexe,/meʃe/,spider,
miñ’o,,coyote (canis latrans).,
miñꞌyo,/mǐɲʔjo/,"coyote, 1972,  Luisa Ramírez Pérez,  “El cuento en",
muza,,sapote,
mu̱i,/mɨ̀í/,"heart, stomach",
nanxa,,orange,
Nde’mä,,Puebla City,
ne,,(trans) want,
ne,,"mouth, snout, edge (of a blade), bite, sting, animals",
ne,,"mouth, snout, edge (of a blade), bite, sting, animals",
Nju̱nthe,/nxɨ̀nθè/,"Pachuca, Synonym: Mpachuka",
nkꞌinjua,,armadillo,
Ntsꞌo̱tkꞌani,,Ixmiquilpan (municipality),
nxu̱ni,,eagle,
nzu̱pa,/nzɨ̀pà/,"monkey, imitator",
näni,,(transitive) water (clarification of this definition,
näni,,"lime (calcium oxide), slaked lime (calcium hydroxide)",
näni,,"lime (calcium oxide), slaked lime (calcium hydroxide)",
ornu,,oven,
pahni,,shirt,
pantyo,,"graveyard, cemetery, tomb",
pe,,"biznaga, barrel cactus.",
perehi,,parsley,
sabdo,/sáβðò/,Saturday,
sankudu,,mosquito,
sanoria,,"carrot (root), carrot (plant)",
t'ähi,,mesquite (Prosopis),
ta,,father,
ta,,"a male animal, an intact (not castrated) male animal",
ta,,"a male animal, an intact (not castrated) male animal",
tamxi,/tǎmʃì/,tomcat,
teko,/tẽ̀ko/,woodpecker,
tihi,/tǐhì/,run,
tsathä,/t͡sáθã̀/,white-nosed coati (Nasua narica),
tsibi,/t͡sìbì/,"fire, pistol, Synonyms: bo̱jä, mfoxbo̱shnä, difficulty,",
tsibí,,Obsolete spelling of tsibi,
tsꞌani,/t͜sʼánì/,avocado,
tu,,die,
tu,,"contain, exist",
tu,,owe,
tu,,"contain, exist",
tu,,owe,
tu,,owe,
tukru,,owl,
tu̱mxi,,bobcat (lynx).,
u,,salt,
u,,sweet,
uada,,maguey,
uspi,/ʔúspì/,"(intransitive) light a fire, make a fire",
uspi,/ʔúspì/,"a person that incites conflict, fireplace, Synonym:",
xabo,/ʃábò/,soap,
xifri,/ʃìɸɾì/,skin,
xifrí,,Obsolete spelling of xifri,
xine,/ʃǐnè/,lip,
za,/zǎ/,tree,
zate,,"puma, mountain lion.",
zombo,,axolotl,
zoni,/zóni/,"(intransitive) to cry, weep",
zoñä,,A person whose head is uncovered: a hatless person;,
zänä,/zã̀nã̀/,"moon, month, menstruation",
z̄oní,,Obsolete spelling of zoni,
z̄ąną́,,Obsolete spelling of zänä,
z̄ǎ,,Obsolete spelling of za,
ñähñu,,a speaker of Otomi,
ñähñu,,to speak Otomi,
ñähñu,,to speak Otomi,
ñꞌi,/ɲʔì/,"chili pepper, sauce",
ñꞌi,/ɲʔì/,spicy,
ʼa,,Obsolete spelling of a,
ʼwadá,,Obsolete spelling of ꞌuada,
ʼá,,Obsolete spelling of a,
