L2_orth,L2_ipa,L2_gloss,L2_etym
a,,(Late Middle English) Alternative form of I (“I”),
a,,Alternative form of heo (“she”),
a,,Alternative form of he (“he”),
a,,Alternative form of he (“they”),
a,,Alternative form of heo (“she”),
a,,Alternative form of he (“he”),
a,,Alternative form of he (“they”),
a,,Alternative form of he (“he”),
a,,Alternative form of he (“they”),
a,,Alternative form of he (“they”),
a-bac,,backwards,
a-bay,,Alternative form of abay,
a-baye,,Alternative form of abay,
a-cethe,,Alternative form of asseth,
a-cyse,,Alternative form of assise,
a-ferd,,afraid,
a-fore,,Alternative form of afore,
a-greable,,Alternative form of agreable,
a-greabyll,,Alternative form of agreable,
a-gree,,Alternative form of agre,
a-green,,Alternative form of agreen,
a-ligeaunce,,Alternative form of aliegiaunce,
a-lye,,Alternative form of allien,
a-mad,,Alternative form of amad,
a-masid,,Alternative form of amased,
a-med,,Alternative form of amad,
a-noy,,Alternative form of anoyen,
a-noye,,Alternative form of anoy,
a-nuy,,Alternative form of anoy,
a-nuyȝen,,Alternative form of anoyen,
a-pece,,Alternative form of abece,
a-say,,Alternative form of assayen,
a-sayle,,Alternative form of assailen,
a-saylynge,,Alternative form of assailing,
a-saynge,,Alternative form of assaynge,
a-serche,,Alternative form of aserchen,
a-seth,,Alternative form of asseth,
a-sise,,Alternative form of assise,
a-suwage,,Alternative form of aswagen,
a-swage,,Alternative form of aswagen,
a-swagen,,Alternative form of aswagen,
a-voy,,Alternative form of avoy,
a.b.c.,,Alternative form of abece,
aage,,Alternative form of age,
aape,,Alternative form of ape,
aarmer,,Alternative form of armure,
aars,,Alternative form of ars,
aart,,Alternative form of art (“(area of) knowledge”),
abacus,,abacus,
abagus,,Alternative form of abacus,
abaishen,,Alternative spelling of abashen,
abaissen,,Alternative spelling of abashen,
abaisshen,,Alternative spelling of abashen,
abaist,,past participle of abashen,
abaist,,Confounded; discomfited.,
abandon,,"(not comparable) Freely; entirely., 1330,  Arthour",
abashen,/aˈbaʃən/,"to embarrass, shame, discompose, to make ashamed or",
abate,,Alternative form of abaten,
abaten,/aˈbaːtən/,"to beat down, bring down, calm down",
