L2_orth,L2_ipa,L2_gloss,L2_etym
𐄇,,one,
𐄈,,two,
𐄉,,three,
𐄊,,four,
𐄋,,five,
𐄌,,six,
𐄍,,seven,
𐄎,,eight,
𐄏,,nine,
𐄐,,ten,
𐄑,,twenty,
𐄒,,thirty,
𐄓,,forty,
𐄔,,fifty,
𐄕,,sixty,
𐄖,,seventy,
𐄗,,eighty,
𐄘,,ninety,
𐄙,,one hundred,
𐄚,,two hundred,
𐄛,,three hundred,
𐄜,,four hundred,
𐄝,,five hundred,
𐄞,,six hundred,
𐄟,,seven hundred,
𐄠,,eight hundred,
𐄡,,nine hundred,
𐄢,,one thousand,
𐄣,,two thousand,
𐄤,,three thousand,
𐄥,,four thousand,
𐄦,,five thousand,
𐄧,,six thousand,
𐄨,,seven thousand,
𐄩,,eight thousand,
𐄪,,nine thousand,
𐄫,,ten thousand,
𐄬,,twenty thousand,
𐄭,,thirty thousand,
𐄮,,forty thousand,
𐄯,,fifty thousand,
𐄰,,sixty thousand,
𐄱,,seventy thousand,
𐄲,,eighty thousand,
𐄳,,ninety thousand,
𐙂𐘁,,total (used at the ends of lists to denote the sum,
