L2_orth,L2_ipa,L2_gloss,L2_etym
ⴰⴱⴰ,/aba/,stepfather,
ⴰⴱⴰⴷⴰ,/abada/,foothill,
ⴰⴱⴰⴷⴷⵏ,/abadːn/,never,
ⴰⴱⴰⴷⴷⵓⵙ,/abadːus/,black powder rifle,
ⴰⴱⴰⴷⴷⵔ,/abadːr/,"small hill, fence",
ⴰⴱⴰⴷⵉⵔ,/abadir/,big loaf,
ⴰⴱⴰⴷⵓ,/abadu/,"cliff; slope, doorstep, irrigation canal, edge",
ⴰⴱⴰⴹⴰⵕ,/abadˤarˤ/,berry,
ⴰⴱⴰⴹⵅⴰⵅ,/abadˤχaχ/,mud; silt,
ⴰⴱⴰⴹⵛ,/abadˤʃ/,gesticulation,
ⴰⴱⴰⴽⴽⵓ,/abakːu/,(anatomy) penis,
ⴰⴱⴰⴽⵛⵛⵓ,/abakʃːu/,turban,
ⴰⴱⴰⵄⵓⵊ,/abaʕuʒ/,calf,
ⴰⴱⴰⵄⵕⵓⵊ,/abaʕrˤuʒ/,inflorescence,
ⴰⴱⴰⵅⵅⵓ,/abaχːu/,"insect, maggot",
ⴰⴱⴰⵇⵇⴰⵔ,/abaqːar/,"tar, misfortune",
ⴰⴱⴰⵇⵇⴰⵢ,/abaqːaj/,explosion,
ⴰⴱⴰⵇⵇⵉⵙ,/abaqːis/,"clapping, Synonym: ⴰⴱⴰⵔⵉⵇ (abariq)",
ⴰⴱⴰⵇⵍⵓ,/abaqlu/,oil cake,
ⴰⴱⴰⵇⵜⵉⵛ,/abaqtiʃ/,clown,
ⴰⴱⴰⵍⴰⵍ,/abalal/,fish egg,
ⴰⴱⴰⵍⴱⴱⴰ,/abalbːa/,groping,
ⴰⴱⴰⵍⵍⴰⵖ,/abalːaɣ/,"big flame, puff of hot air",
ⴰⴱⴰⵍⵖⴰ,/abalɣa/,crow,
ⴰⴱⴰⵏⴷⵓ,/abandu/,flag,
ⴰⴱⴰⵏⴷⵓ,/abandu/,abandoned,
ⴰⴱⴰⵏⴷⵓ,/abandu/,abandoned,
ⴰⴱⴰⵏⴹⵕⵉⵡ,/abandˤrˤiw/,cockroach,
ⴰⴱⴰⵏⵓⵇ,/abanuq/,(anatomy) throat,
ⴰⴱⴰⵔⴰⴳ,/abaraɡ/,"tasteless, Synonym: ⴰⴱⴰⵙⴰⵍ (abasal)",
ⴰⴱⴰⵔⴰⵏ,/abaran/,partridge (male),
ⴰⴱⴰⵔⴰⵔ,/abarar/,big,
