L2_orth,L2_ipa,L2_gloss,L2_etym
boːn³,,stomach (internal),
cɯːŋ,,leg,
het⁵,,to do,
hɛɛ⁵,,ore,
hɤːk¹,,gums,
jóːk,,ear,
k.cʰoː¹,,ear,
k.taː¹,,back,
k.toʔ²,,navel,
k.tuː¹,,intestines,
k.tɯ²,,nose,
k.tɤl³,,abdomen (external),
k.tʰuam³,,liver,
k.ʔaːŋ³,,bone,
ke²,,they (third person plural),
kʰaːp¹,,chin,
kʰua¹,,to cough,
kʰu²,,body,
kʰɛŋ³,,tooth,
lii²,,to squint,
liː¹,,to come (or go) out,
m.dan³,,kidney,
nɔn⁴,,sleep,
nɛn³,,solid,
nɤn³,,to speak,
p.sim³,,fingernail,
p.si²,,vein,
p.tɤɲ³,,mouth,
phəjɪɪ,,visitor,
prɛŋ³,,head,
pʰ.nɛt²,,to grunt (from effort),
pʰuŋ³,,blow,
qhǎʕ,,buffalo,
s.naːm³,,blood,
s.roːŋ³,,throat,
suk²,,hair (of the body),
sɤc²,,muscle,
t.ku²,,self,
t.kʰiŋ³,,hair (of the head),
t.kʰɤl³,,to shiver,
t.lu²,,thigh,
t.muaŋ³,,forehead,
t.praːŋ³,,shoulder,
thʁàk,,buffalo,
tʰaːk¹,,tongue,
tʰi²,,arm,
tʰiː³,,to push,
tʰoːj³,,lip,
veek⁵,,work,
wɤl³,,throw,
xew¹,,green,
ɲɛl³,,to groan (with pain),
ʔoːm³,,water,
ʔua¹,,cheek,
ʔɛt²,,to sleep,
