L2_orth,L2_ipa,L2_gloss,L2_etym
anak,,"child (a female or male child, a daughter or son)",
apuy,,non-standard spelling of apui (“fire”),
asep,,smoke (visible particles and vapour given off by burning,
barirang,,sulfur (element),
basar,,"big (of a great size), big (adult)",
behas,,rice ((raw) seeds used as food),
bulan,,"moon (largest natural satellite of planet Earth), moon",
danum,,water,
padang,,a large treeless plain overgrown with sword grass (Imperata,
panggang,,anything roasted on a gridiron,
panggang,,to roast on a gridiron,
ukur,,to measure (ascertain the quantity of a unit),
undang,,"shrimp (decapod crustacean), lobster",
walas,,-teen (to form numbers 11 - 19),
wasi,,"(physics, chemistry, metallurgy) iron (element)",
yakuʔ,,"I (personal pronoun), me (direct object of a verb),",
