L2_orth,L2_ipa,L2_gloss,L2_etym
biro,,office (building or room),
cai,,tea,
Danieli,,Daniel,
dunia,,"Earth, world",
dzima,,"one
Owanadamu wakaya uma mdzima.Mankind were one community.",
dzina,,name,
dzinyo,,tooth,
dzitso,,eye,
ewa,,yes,
karamu,,banquet,
latsa,,"to abandon, to lose",
madji,,water,
mafura,,oil,
mahala,,place,
Maka,,Mecca,
mɓwa,,dog,
mfumo,,week,
mndru,,"person, human being",
mri,,tree,
msafiri,,traveller,
mzinga,,firearm,
nai,,bad,
nazi,,coconut,
ngozi,,skin,
nyoshi,,bee,
pare,,road,
pvahanu,,place,
sauti,,voice,
sawa,,same,
siki,,vinegar (acket),
simu,,telephone,
tere,,drop,
usawa,,"equality, justice",
wani,,leaf,
