L2_orth,L2_ipa,L2_gloss,L2_etym
A,,"The first letter of the Northern Kurdish alphabet, called a and written in the Latin script.",
abone,/ɑːboːˈnɛ/,subscriber,
aborî,/ɑːboːˈɾiː/,economic,
aborî,/ɑːboːˈɾiː/,economy,
aborînas,/ɑːboːɾiːˈnɑːs/,economist,
aborînasî,/ɑːboːɾiːnɑːˈsiː/,economics,
absans,/ɑːbˈsɑːns/,absence,
adaptasyon,/ɑːdɑːptɑːsˈjoːn/,adaptation (clarification of this definition is needed),
Adar,/ɑːˈdɑːɾ/,A male given name,
ade,/ɑːˈdɛ/,weed,
adilî,/ɑːdɪˈliː/,fairness,
adrenalîn,/ɑːdɾɛnɑːˈliːn/,adrenaline,
afirandin,/ɑːfɪɾɑːnˈdɪn/,(transitive) to create,
afirmend,/ɑːfɪɾˈmɛnd/,creator,
afirîner,/ɑːfɪɾiːˈnɛɾ/,creator,
afret,/ɑːfˈɾɛt/,woman,
afrîkansî,/ɑːfɾiːkɑːnˈsiː/,Afrikaans (language),
agahdar,/ɑːɡɑːhˈdɑːɾ/,"informed, knowing, conscious, aware",
agahî,/ɑːɡɑːˈhiː/,"information, notice, notification",
agir,/ɑːˈɡɪɾ/,fire,
agirbest,/ɑːɡɪɾˈbɛst/,ceasefire,
agonîzm,/ɑːɡoːˈniːzm/,agonism,
ahengsazî,/ɑːhɛŋɡsɑːˈziː/,harmonization,
ajalnasî,/ɑːʒɑːlnɑːˈsiː/,zoology,
ajanda,/ɑːʒɑːnˈdɑː/,planner,
ajans,/ɑːˈʒɑːns/,agency,
ajoname,/ɑːʒoːnɑːˈmɛ/,driver's license,
ajotin,/ɑːʒoːˈtɪn/,"to drive, min tirimpêlek ajot. ― I drove a car, to",
ajovan,/ɑːʒoːˈvɑːn/,driver,
akincî,,"(Badini) inhabitant, dweller, Synonyms: şênî, rûniştvan",
akronîm,/ɑːkɾoːˈniːm/,acronym,
aksiyon,/ɑːksɪˈjoːn/,action,
aktîv,[aktiːv],"beautiful
aktîv bûn ― be active
aktîv kirin ― to activate",
aktîvîzm,/ɑːktiːˈviːzm/,activism,
akîncî,,Alternative form of akincî,
al,-al,"side, Synonyms: alî, la",
al,-al,"flag, banner, Synonym: ala",
al,-al,"flag, banner, Synonym: ala",
ala,/ɑːˈlɑː/,flag (piece of cloth),
alandin,/ɑːlɑːnˈdɪn/,to twist,
alanîn,/ɑːlɑːˈniːn/,alanine,
alat,,"tool, implement, instrument, device, apparatus, appliance",
alav,/ɑːˈlɑːv/,"fire, flame",
alayî,,"troop, regiment",
alegorî,/ɑːlɛɡoːˈɾiː/,allegory,
alek,/ɑːˈlɛk/,"cheek, jowl",
alet,,"Alternative form of alat (“instrument, tool”)",
alif,/ɑːˈlɪf/,"fodder, forage, feed",
almanî,/ɑːlmɑːˈniː/,the German language,
almanî,/ɑːlmɑːˈniː/,German (pertaining to Germany or the Germans),
alî,/ɑːˈliː/,"direction, course",
alî,/ɑːˈliː/,by,
alîgir,/ɑːliːˈɡɪɾ/,supporter,
alîkar,/ɑːliːˈkɑːɾ/,helper,
alîstin,/ɑːliːsˈtɪn/,to lick,
amade,/ɑːmɑːˈdɛ/,ready,
amadekarî,/ɑːmɑːdɛkɑːˈɾiː/,arrangement,
aman,,"household utensils, pots and pans",
ambasad,/ɑːmbɑːˈsɑːd/,embassy,
ambasador,,ambassador (minister),
ambûlans,/ɑːmbuːˈlɑːns/,ambulance,
amfetamîn,/ɑːmfɛtɑːˈmiːn/,(organic chemistry) amphetamine,
-amîn,/ɑːˈmiːn/,(organic chemistry) -amine: an amine.,
anatoksîn,/ɑːnɑːtoːkˈsiːn/,anatoxin,
antonîm,/ɑːntoːˈniːm/,antonym,
antrenor,/ɑːntɾɛˈnoːɾ/,coach (trainer),
anîlîn,/ɑːniːˈliːn/,aniline,
ar,,"flour, Synonym: ard, fire, Synonym: agir, shame, disgrace,",
Aram,/ɑːˈɾɑːm/,A male given name,
aramxane,,nursing home,
Arjîn,/ɑːɾˈʒiːn/,A female given name,
armanc,/ɑːɾˈmɑːnd͡ʒ/,aim,
artêş,/ɑːɾˈteːʃ/,army,
Arêz,/ɑːˈɾeːz/,A male given name,
arû,/ɑːˈɾuː/,cucumber,
arûk,/ɑːˈɾuːk/,ceiling,
arşîv,/ɑːɾˈʃiːv/,archive,
asanî,/ɑːsɑːˈniː/,facility,
asetenîl,/ɑːsɛtɛˈniːl/,(organic chemistry) acetenyl,
asin,,iron,*Háyah
asparagîn,/ɑːspɑːɾɑːˈɡiːn/,asparagine,
asteng,/ɑːsˈtɛŋɡ/,obstruction,
astronomî,/ɑːstɾoːnoːˈmiː/,astronomy,
Asya,/ɑːsˈjɑː/,Asia (a continent),
asîstan,/ɑːsiːsˈtɑːn/,assistant (having a subordinate or auxiliary position),
av,/ɑːv/,water,
avahî,/ɑːvɑːˈhiː/,"building
Synonym: xanî",
avbend,/ɑːvˈbɛnd/,dam,
Avdar,/ɑːvˈdɑːɾ/,A male given name,
avdest,,(Islam) abdest,
avrêl,/ɑːvˈɾeːl/,April,
avêtin,/ɑːveːˈtɪn/,to throw,
Awaz,/ɑːˈwɑːz/,A male given name,
awêne,,mirror,
axa,/ɑːˈxɑː/,tribal chief,آقا
axaftin,/ɑːxɑːfˈtɪn/,to talk,
axil,/ɑːˈxɪl/,"fenced-in area for sheep or cattle, pen, corral",
axpîn,,"manure, filth, garbage",
axîn,/ɑːˈxiːn/,moan,
AY,,USA (a country in North America); initialism of Ameriqayê Yekbûyî (literally “United America”),
aymara,/ɑːjmɑːˈɾɑː/,Aymara (people),
azad,[azaːd],free,
azadîhez,/ɑːzɑːdiːˈhɛz/,One who loves freedom,
azadîxwaz,/ɑːzɑːdiːxˈwɑːz/,One who wants freedom,
azirandin,/ɑːzɪɾɑːnˈdɪn/,to incite,
açar,/ɑːˈt͡ʃɑːɾ/,rye,
aş,/ɑːʃ/,mill (grinding apparatus),
aşpêj,,cook,
aştî,/ɑːʃˈtiː/,peace,
aşît,/ɑːˈʃiːt/,avalanche,
ba,/bɑː/,"weather, wind",
bab,,father,
babirk,/bɑːˈbɪɾk/,sail,
badegêr,/bɑːdɛˈɡeːɾ/,bartender,
Badîn,/bɑːˈdiːn/,A male given name,
bafûn,/bɑːˈfuːn/,aluminium,
bager,/bɑːˈɡɛɾ/,"storm, snowstorm, blizzard",
Bager,/bɑːˈɡɛɾ/,A male given name,
Bahoz,/bɑːˈhoːz/,A male given name,
bajar,/bɑːˈʒɑːɾ/,city,
bajarok,/bɑːʒɑːˈɾoːk/,"town, borough, district",
bajarî,/bɑːʒɑːˈɾiː/,urban,
bakteriyo-,/bɑːktɛɾɪjoːˈ/,bacterio-,
bakteriyolojî,/bɑːktɛɾɪjoːloːˈʒiː/,bacteriology,bacteriology
bakur,/bɑːˈkʊɾ/,north,
