L2_orth,L2_ipa,L2_gloss,L2_etym
А,,"The first letter of the Northern Yukaghir alphabet, written in the Cyrillic script.",
адуо,,son,
амаа,,father,
аруу,,language,
вадул,/wäˈdul/,Yukaghir,
вальҕрамкруонь,,nine,
ванар,,"(anatomy) tongue, language, speech, gossip",
илэ,/ile/,reindeer,
имдальдьань,,five,
йабал,,death,
йалаклань,,four,
йалуонь,,three,
йалҕил,/jalˈʁil/,lake,
йоссомэ,,"autumn, fall (season)",
йоходилэ,,horse,
йуөдии,,(anatomy) eye,
йэрпэйэ,,sun,
кийуонь,,two,
киндьэ,,moon,
кунальань,,ten,
көдьэ,,"worm, insect, bug, ant, bee",
көдэ,,"man, person, human being",
лавйэ,,water,
лачил,,fire,
лэвэймэ,,summer (season),
маалайлаклань,,eight,
маалайлань,,six,
маархуонь,,one,
мархиль,,girl,
моҥо,,hat,
муридьэ,,needle,
пайпэ,,woman,
паҕадьиидиэчии,,star,
паҕадьиидэкуу,,star,
пускийань,,seven,
тивэҥ,/tiweŋ/,rain,
угурчэ,,(anatomy) foot,
хайль,,stone,
хандьэ,,winter (season),
хуруул,,sky,
чалдьэ,,(anatomy) hand,
чиэмэ,,blood,
чуоҕаймэ,,spring (season),
эдьил,,life,
элмонньэл,/elmonɲɲel/,"quiet, silence",
эмул,/eˈmul/,"island, isle",
эньиэ,,mother,
