L2_orth,L2_ipa,L2_gloss,L2_etym
-aanaanig,,"A suffix denoting the first-person plural, exclusive or inclusive, to third person plural form of a transitive animate verb (vta)",
aanakwad,,"cloud
Gaawiin ganage gegoo aanakwad agoodesinoon.
There isn't a cloud in the sky.",
aasamaabik,,"on the rock cut, on the rock face",
abi,,"be at home
Abi go awe gaa-pi-andwewemind awasonaago.
The person they asked about the other day was home.",
abinoojiinh,,"child
Awasikana imaa bimademo awe abinoojiinh.
The child is going along crying on the other side of the road.",
abinoojiiyens,,baby,
abwaan,,roasted meat,
abwe,,"S/he roasts, cooks over a fire, roasts meat over an",
achigaade,,"be put in a certain place (by someone), ""they"" put",
achigaazo,,"be put in a certain place (by someone), ""they"" put",
achige,,"put (things) in a certain place, bet, place a bet,",
adik,,"caribou, reindeer (Rangifer tarandus)",
adisigan,,dye,
-ag,,A suffix denoting the third-person plural of an animate noun,
agaamindesi,,"on the other side of the lodge (across the fire)
Agaamindesi nibaa nindaanis.My daughter is sleeping across from me in the lodge.",
agaamindesiing,,"on the other side of the lodge (across the fire)
Agaamindesiing mii iwidi gii-ayaawaad a’aw inzhishenh iniw wiiwan miinawaa bezhig ikwezens.On the other side of the fire were my uncle, his wife, and one little girl.",
agaamishkode,,"on the other side of the fire, across the fire, Agaamishkode",
agaasadeyaa,,be narrow,
agaasaa,,"be small, Onzaam agaasaa 'iw jiimaanens.The little",
agaashiinyi,,"be small, Ningii-wiinigoo gii-agaashiinyiyaan.I was",
agaawaa,,hardly,
agokazh,,attach,
agwaji,,be frozen onto something,
agwajiing,,"outside
Aaniin ezhiwebak agwajiing?What's it like outside?",
-agwaa,,A suffix denoting the first-person singular to third person plural conjunct form of a transitive animate verb (vta),
aʼaw,,"that (animate)
Miish miinawaa azhigwa gii-wenda-ginzhizhawizid aʼaw mindimooyenh, miinawaa azhigwa gaa-izhi-desaʼoniked.The old lady really was industrious and made sleeping platforms.",
aʼawedi,,that over there (animate),
ajidamoo,,squirrel,
ajina,,"a little while
Ajina ningii-mawadisaa nishiime.I visited my younger sister for a little while.",
akandoo,,lie in wait,
akandoowin,,"a hunting stand or scaffold, hunting blind, Apii gii-onji-gibaakwa’awaad",
aki,,"earth, land, ground, Nimiigaadaan indakiim ji-ganawendamaan.I'm",
akik,,"kettle, pot, pan",
akina,,all,
akiwenzii,,"old man
Awashishkode namadabi a'aw akiwenzii.
The old man sits far away from the fire.",
akii-mazinaʼigan,,map,
akiiwan,,"be the earth, be land",
akiiwe-wiigiwaam,,"an earth lodge, an earthen house",
ako-,,"since
Mii 'i zhigwa aabito-diba'igan gaa-ako-bimwewebizod.It's been half an hour now since we heard him go by.",
-am,,act on by mouth or teeth,
-am,,A suffix that acts as transitive inanimate verb (vti) class marker,
amajise,,"wake up suddenly, come awake, Wewayiiba ndamajise.,",
-amang,,A suffix denoting the first-person plural inclusive conjunct form of a Type 2 in transitive animate verb (vai2),
-amaan,,A suffix denoting the first-person singular conjunct form of a Type 2 animate intransitive verb (vai2),
-amaang,,A suffix denoting the first-person plural exclusive conjunct form of a Type 2 animate intransitive verb (vai2),
amik,,beaver,
-an,,be in a state or condition,
-an,,A suffix denoting the plural of an inanimate noun,
anamaʼe-giizhig,,Alternative spelling of anamaʼe-giizhik,
anamaʼe-giizhigad,,"it is Sunday, Niimi'iding ningii-izhaamin gii-anama'e-giizhigak.",
anamaʼe-giizhik,,"week (unit of time), ingo-anamiʼe-giizhik ― one week,",
anamiʼe-giizhik,,Alternative form of anamaʼe-giizhik,
anamiʼegiizhigad,,Alternative spelling of anamaʼe-giizhigad,
anang,,star,
anang,,puffball (fungus),
anaamayaʼii,,"under (something)
Anaamayaʼii ogii-atoon owiiwakwaan.He put his cap underneath.",
-ang,,A suffix denoting the locative form of a noun,
-angen,,A suffix denoting the second-person singular prohibitive of a Type 2 animate intransitive verb (vai2),
aniibimin,,"a highbush cranberry, Viburnum trilobum",
aniibiish,,"leaf
Aditewan aniibiishan.The leaves are turning colors.",
anwi,,"an arrow, something shot as a missile, a bullet, a",
apakweshkway,,"cattail mat
Mii go imaa iniw apakweshkwayan gii-ayaag, miinawaa go wiigwaasabakwayan.
There were cattail mats there and birch bark roofing rolls.",
asanjigoowigamig,,"a structure for storage, a storage lodge, a shed, Mii",
asasawemin,,"a chokecherry, Prunus virginiana",
asemaa,,tobacco,
asham,,"feed
Indaga naa asham a'awe.You'd better feed him.",
ashi,,"put (something animate) in a certain place
Ashi 'aw asemaa.Put the tobacco down. [pointing to a place]",
ashi-bezhig,,eleven,
ashi-ingodwaaswi,,sixteen,
ashi-ishwaaswi,,eighteen,
ashi-naanan,,fifteen,
ashi-niswi,,thirteen,
ashi-niiwin,,fourteen,
ashi-niizh,,twelve,
ashi-niizhwaaswi,,seventeen,
ashi-zhaangaswi,,nineteen,
atamaw,,"put (it) in a certain place for, Naawininj gidaa-atamawaa",
ate,,"be (in a certain place)
Gii-kwanabise iwe biskitenaagan imaa adoopowinaakong gaa-ateg.
The birch bark tray that was sitting on the table tipped over.	",
atoobaan,,"a large container for liquid, trough, vat, tank, sink,",
atoobaan,,"a large container for liquid, trough, vat, tank, Gii-gichi-mashkawaakwadin",
awegonen,,Alternative spelling of wegonen,
awenen,,"who
Awenen awedi?Who's that over there?",
awesiinh,,"(wild) animal
Ogii-paataanizhikawaan iniw awesiinyan.He chased that animal into a corner.",
awi-,,"go somewhere to do something, go over there to
Aazhawaya'ii iwidi awi-atoon 'i apabiwin..Go put the chair on the other side.",
awiya,,"somebody, someone
Maagizhaa awiya gidaa-wiidookawaa.
Maybe you can help somebody.",
awiiya,,Alternative spelling of awiya,
ayaʼaa,,"being, thing (animate)",
ayaʼii,,a thing,
ayaa,,be (in a certain place),
ayaa,,"be (in a certain place)
Miish eta go inzhishenh gaa-ayaad miinawaa wiiwan, miinawaa niizh ikwewag iko imaa gii-ayaawag, oshkiniigikweg.
Then there was only my uncle and his wife, and there were two women, young women.",
ayaamagad,,"augmented form of ayaa (vii), Akina gegoo gii-onapidood,",
ayaan,,have,
ayaaw,,have,
ayiʼii,,a thing,
azhe-,,back,
azhe-,,go back,
azhegiiwe,,"go back, return, Ojaanimendam iwidi wii-azhegiiwed",
azhigwa,,"now, at this time
Azhigwa ngiikiibingwash.Now I'm getting sleepy.",
-aa,,be in a state or condition,
-aa,,"A suffix denoting the first-person singular, second-person singular or indefinite actor, to third-person singular object independent form of a transitive animate verb (vta)",
aabaʼ,,"loosen, undo, unharness, unswaddle, untie",
