L2_orth,L2_ipa,L2_gloss,L2_etym
𐎠,,The first letter of the Old Persian cuneiform script.,
𐎠𐎡𐎫,,this,
𐎠𐎣𐎢𐎳𐎨𐎡𐎹𐎠,,"Akaufačiya (""Mountaineers"")",
𐎠𐎭𐎶,,"I, 𐎠𐎭𐎶 𐏐 𐎭𐎠𐎼𐎹𐎺𐎢𐏁 𐏐 𐏋𐎠𐎴𐎠𐎶 𐏐 𐎺𐏀𐎼𐎣 𐏐adam Dārayavauš xšāyaθiya",
𐎠𐎴𐏃𐎡𐎫,,"(Iranian mythology, Religion, Zoroastrianism) Anahita",
𐎠𐎶𐎠𐎫𐎠,,"uncertain: distinguished, noble?[1]",
𐎠𐎹𐎭𐎴,,"a sanctuary, place of worship, temple",
𐎠𐎼𐎫𐎧𐏁𐏂𐎠,,A male given name: Artaxerxes,
𐎠𐎼𐎲𐎠𐎹,,Arabia,
𐎠𐎿,,horse,
𐎠𐎿𐎫𐎡𐎹,,"to be, exist, to be (copula)",
𐎠𐎿𐎱,,horse,
𐎠𐎿𐎲𐎠𐎼,,horseman,
𐎠𐎿𐎴,,stone,
𐎠𐎿𐎶𐎠,,sky,
𐎠𐎿𐎶𐎴,,sky,
𐎠𐏀𐎭𐎠,,"known, 5th century BCE, DNa Inscription, line 43:,",
𐎠𐏃𐎷𐎹,,I am,
𐎡,,The second letter of the Old Persian cuneiform script.,
𐎡𐎭𐎠,,here,
𐎡𐎶,,"neuter nominative/accusative singular of 𐎡𐎹𐎶 (iyam, “this”)",
𐎡𐎹𐎶,,"this, c. 640 BCE – 600 BCE, Ariaramnes, AmH 5, 𐏐 𐎡𐎹𐎶",
𐎢,,The third letter of the Old Persian cuneiform script.,
𐎢𐎫𐎠,,and,
𐎢𐎱𐎠,,"under, below [+accusative], in the reign of [+accusative],",
𐎢𐎱𐎼𐎡𐎹,,"over, above, in accordance with",
𐎢𐎱𐎿𐎫𐎠,,"aid, help",
𐎢𐎳𐎼𐎠𐎬𐎢,,Euphrates,
𐎢𐎺𐎠𐎼𐏀𐎷𐎡𐎹,,Chorasmia,
𐎢𐎺𐎠𐎼𐏀𐎷𐎡𐎹,,"Chorasmian, 𐎡𐎹𐎶 𐏐 𐎢𐎺𐎠𐎼𐏀𐎷𐎡𐎹 ― iyam Uvārazmīya ― this",
𐎢𐎺𐎠𐎼𐏀𐎷𐎡𐎹,,"Chorasmian, 𐎡𐎹𐎶 𐏐 𐎢𐎺𐎠𐎼𐏀𐎷𐎡𐎹 ― iyam Uvārazmīya ― this",
𐎢𐎺𐎠𐎼𐏀𐎷𐎡𐏁,,Chorasmia,
𐎢𐎺𐎩,,Elam,
𐎣,,The fourth letter of the Old Persian cuneiform script.,
𐎣𐎠𐎶,,"wish, desire",
𐎣𐎠𐎼,,"the people, subjects, army",
𐎣𐎠𐎿𐎣,,"glass, semi-precious stone",
𐎣𐎠𐎿𐎣𐎡𐎴,,made of glass,
𐎣𐎢𐎳,,mountain,
𐎣𐎫𐎱𐎬𐎢𐎣,,Cappadocia,
𐎣𐎱𐎢𐎫𐎣,,blue,
𐎣𐎲𐎢𐎪𐎡𐎹,,A male given name: Cambyses,
𐎣𐎼𐎣𐎠,,Caria,
𐎣𐎼𐏁,,unit of weight (83.30 grams),
𐎣𐎼𐏁𐎹𐎠,,unit of weight (83.30 grams),
𐎤,,The fifth letter of the Old Persian cuneiform script.,
𐎤𐎢𐎴𐎢𐎫𐎡𐎹,,"he does, third-person singular masculine present indicative",
𐎤𐎢𐎽𐎢𐏁,,A male given name: Cyrus,
𐎤𐎢𐏁,,"Kush, Nubia",
𐎤𐎢𐏁𐎠𐎹,,Kush,
𐎤𐎢𐏁𐎡𐎹,,"Kushite, Nubian, Ethiopian",
𐎥,,The sixth letter of the Old Persian cuneiform script.,
𐎥𐎭𐎠𐎼,,Gandhara,
𐎥𐎭𐎠𐎼𐎹,,"a Gandharan, 𐎡𐎹𐎶 𐏐 𐎥𐎭𐎠𐎼𐎹 ― iyam Gaⁿdāraya ― this is",
𐎦,,The seventh letter of the Old Persian cuneiform script.,
𐎧,,The eighth letter of the Old Persian cuneiform script.,
𐎧𐏁𐎠𐎹𐎰𐎡𐎹,,Alternative form of 𐏋 (XŠ),
𐎧𐏁𐎱,,"night, Darius, Behistan, I 20:𐏐 𐎠𐎰𐏃𐎹 𐏐 𐎧𐏁𐎱𐎺𐎠 𐏐 𐎼𐎢𐎨𐎱𐎫𐎡𐎺𐎠",
𐎧𐏁𐎹𐎠𐎼𐏁𐎠,,Xerxes,
𐎧𐏁𐏂𐎱𐎠𐎺𐎠,,satrap (governor of a province under Achaemenid Persian,
𐎧𐏁𐏂𐎶,,"realm, province, kingship, sovereignty, kingdom",
𐎨,,The ninth letter of the Old Persian cuneiform script.,
-𐎨𐎠,,and,
𐎨𐎡𐎹𐎣𐎼𐎶,,"how much, how many
5th century BCE, DNa Inscription, lines 38-39:
𐎹𐎮𐎡𐎱𐎫𐎡𐎹 𐏐 𐎶𐎴𐎡𐎹𐎠𐏃𐎡𐎹 𐏐 𐎫𐎹 𐏐 𐎨𐎡𐎹𐎣𐎼𐎶 𐏐 𐎠𐏃 𐏐 𐎠𐎺𐎠 𐏐 𐎭𐏃𐎹𐎠𐎺
y-d-i-p-t-i-y : m-n-i-y-a-h-i-y : t-y : c-i-y-k-r-m : a-h : a-v-a : d-h-y-a-v
yadipatiy maniyāhaiy tya ciyakaram āha avā dahyāva
if you would again wonder how many those countries were",
𐎨𐎡𐏂,,"Alternative form of *ciθraʰ: type, form, lineage, 𐎠𐎼𐎡𐎹",
𐎩,,The tenth letter of the Old Persian cuneiform script.,
𐎪,,The eleventh letter of the Old Persian cuneiform script.,
𐎪𐎡𐎺,,living,
𐎫,,The twelfth letter of the Old Persian cuneiform script.,
𐎫𐎡𐎥𐎼𐎠,,Tigris,
𐎫𐎡𐎥𐎼𐎧𐎢𐎭,,Wearer of the pointed cap (person),
𐎫𐎢𐎶𐎠,,"family, the family unit",
𐎫𐎣𐎲𐎼,,Wearer of the kausia (person),
𐎬,,The thirteenth letter of the Old Persian cuneiform script.,
𐎬𐎺𐎶,,you,
𐎭,,The fourteenth letter of the Old Persian cuneiform script.,
𐎭𐎠𐎫,,"given, created",
𐎭𐎠𐎫𐎶,, law,
𐎭𐎠𐎼𐎹𐎫𐎡𐎹,,"to hold, have, Inscription of the Ariaramnes, at Hamadan",
𐎭𐎠𐎼𐎹𐎺𐎢𐏁,,"A male given name, equivalent to English Darius",
