L2_orth,L2_ipa,L2_gloss,L2_etym
مسیت,,"mosque, 12th Century, Bābā Farīd Ganj śakar, Bait 194,",
ਅਠਵਾ,,eighth,
ਅਧਿਕਾਰੁ,,"authority, power",
ਉਦਾਸੁ,,detachment,
ਕਢਿ,,"to take out, remove, to push out, drive out, expel,",
ਕਤੇਬ,,"(religion, Sikhism) scriptures (particularly Abrahamic)",
ਕਪੂਰੁ,,camphor,
ਕਾਰਣੁ,,"reason, cause, creation, ਕਾਰਣੁ ਕਰਿ ― kāraṇu kari ―",
ਕੁੰਗੂ,,"saffron, Crocus sativus, red paste for the forehead",
ਕੋਰਾ,,unbleached (cloth),
ਕੋੜ੍ਹੁ,,leprosy,
ਖਰਚੁ,,"cost, travelling expenses, sustenance, provision (for",
ਖਰਾਬੁ,,"ruined, broken",
ਗਹਿਰੁ,,deep,
ਘਰੁ,,"house, home, inner self, heart",
ਚਉਥਾ,,"fourth, ਚਉਥਾ ਪਦੁ ― caüthā padu ― the fourth state (i.e.",
ਚਿਟਾ,,"white, Synonym: ਸੁਪੇਦੁ (supedu)",
ਛਿਅ,,six,
ਛੁਹਿ,,to touch,
ਜਨੇਊ,,(Hinduism) janeu (sacred thread worn by Hindu men),
ਜੇ,,"if, even if though, ਜੇ ਕੋ ― je ko ― if anyone",
ਜੰਜੀਰੁ,,"chain, fetter",
ਝੀਵਰੁ,,fisherman,
ਦਲਾਲੁ,,"go-between, middleman",
ਦਲਾਲੁ,,"strict judge, mediator",
ਦਲਾਲੁ,,"strict judge, mediator",
ਦਸਵਾ,,"tenth, ਦਸਵਾ ਦੁਆਰੁ ― dasvāṁ duāru ― the Tenth Door",
ਦਿਲੁ,,"heart, ਦਿਲਹਿ ਪਸਿੰਦੇ ― dilahi pasindē ― pleasing to",
ਦੁਖਿ,,"to be pained, suffer",
ਦੋਜਕੁ,,hell,
ਧੀਅ,,daughter,
ਨਕੁ,,"nose, ਨਕੁ ਪਕੜਿ ― naku pakaṛi /nakku pakkaṛi/ ― hold",
ਪਠਾਨੁ,,"Pashtun, Pathan",
ਪਾਕੁ,,"holy, pure, ਪਾਕੀ ਨਾਈ ― pākī nāṁī ― holy is His glory",
ਪਿਆਲਾ,,cup,
ਪ੍ਰੀਤਿ,,"love, (ਸਿਉ) ਪ੍ਰੀਤਿ ਕਰਿ ― (siuṁ) prīti kari ― be, fall",
ਪ੍ਰੇਮੁ,,"love, ਪ੍ਰੇਮ ਰਸੁ ― prema rasu ― joy of love, (ਸੇਤੀ)",
ਬਾਜੀਗਰੁ,,"player, performer",
ਬੇਗਾਨਾ,,"strange, odd, alien",
ਮਸੀਤਿ,,mosque,
ਮਹਤੁ,,greatness,
ਮੁਸਕਲੁ,,difficult,
ਮੈਦਾ,,maida (fine flour),
ਮੈਦਾਨੁ,,"plain, open space, level ground",
ਯਾਦਿ,,"memory, ਯਾਦਿ ਆਇ ― yādi āi ― be remembered",
ਰਹਮ,,mercy,
ਰੋਜਾ,,(Islam) the Muslim fast of Ramadan,
ਲਸਕਰੁ,,army,
ਲਾਇਕੁ,,worthy,
ਲਾਹੋਰੁ,,"Lahore (a city, the provincial capital of Punjab, Pakistan)",
ਵਲਿ,,"near, at one's side, ਕੈ ਵਲਿ ― kai vali /kai valli/",
ਸਹਸਾਕਿਰਤਾ,,Sanskrit (language),
ਸੁਪੇਦੁ,,"white, Synonym: ਚਿਟਾ (ciṭā /ciṭṭā/)",
ਸੋਹਿ,,to shine; look beautiful,
ਸੰਢਿ,,"to settle (an account), arrange",
ਹਲਾਲੁ,,"what is permitted in Islam, meat slaughtered in Muslim",
ਹਿੰਦੁਸਤਾਨੁ,,Hindustan (northern region of India),
ਹੁਣਿ,,now,
