L2_orth,L2_ipa,L2_gloss,L2_etym
agdɪ,,thunder,
akunən,,brother,
akɪn,,older brother,
algan,,leg,
altan,,gold (metal),
alʊkta,,dandruff,
ama꞉ka,,paternal uncle,
amta-,,to taste,
amŋa,,mouth,
amʊdʒi,,lake,
amʊkan,,lake,
amʊn-,,"to defecate, shit",
amɪn,,father,
amɪnənin,,parents,
antʃan,,cheek (part of face),
ata꞉kɛ꞉,,spider,
atɪrkan,,wife,
awul,,swelling,
ayama,,beautiful,
ayu꞉kan,,ankle,
aŋŋa,,palm of hand,
aŋŋanɪ,,year,
aɲan,,"shade, shadow",
aʃakɪ꞉,,wing,
aʃɪ,,"woman, female",
aʃɪ,,"female, feminine",
a꞉kin,,liver,
a꞉n,,right (direction),
a꞉ʃɪn-,,to sleep,
bagdarɪn,,white,
baka-,,to be born,
bakʃa,,"grave, tomb, coffin",
balɪ,,blind,
balɪ-,,to blink,
banbʊr,,all,
bardilga,,life,
bilə꞉n,,wrist,
biraka꞉,,stream,
bi꞉,,I (first-person singular nominative),
bolbokon,,butterfly,
bolboɣi,,wild duck,
boŋbəlin,,round,
bo꞉do,,knife,
bu-,,to die,
budunə,,firefly,
buku,,strong,
bulgu,,fat,
buligdi,,wet,
buyə,,gums (flesh around teeth),
bɔʃɔktɔ,,kidney,
bɔ꞉kan,,thigh,
bəyiŋə,,animal,
bəyu-,,to hunt,
bəyə,,"person, human",
bə꞉ʃu,,cloth,
darama,,spine,
da꞉,,near,
dilkə꞉tʃən,,"house fly, bluebottle",
dɔŋɔtɔ-,,to freeze,
dəpərin,,soft,
dʒukə,,"ice, icicle",
dʒuyɛligdi,,sour,
dʒɔni-,,to yawn,
dʒəb-,,to eat,
dʒəgdə-,,to burn,
dʒʊtana,,lazy,
dɪl,,head,
dɪlatʃa,,sun,
dɪlda,,late,
dɪyardʒi,,fast,
garga,,earring,
garʊnda꞉-,,to throw,
gudə꞉,,belly,
gulami,,coat,
guliwukə,,temples (on head),
guntʃulu,,poison,
gɔlɔ꞉,,log,
gɔrɔ,,far,
gədinəktə,,wasp,
gʊgda,,high,
gʊldʒiŋki,,"latch, bolt (for a door)",
iktə,,tooth,
iltʃi,,embers,
irgi,,tail,
irgə,,brain,
iriktə,,"ant, termite",
irkəkin,,new,
itʃuk,,young,
itʃə-,,"to see, to look",
iŋakta,,body hair,
iŋi,,tongue,
iʃə-,,to vomit,
iʃələ,,lizard,
iʃɛkək,,"stone, rock",
i꞉rakta,,line,
i꞉wə꞉-,,to split,
kara,,dark,
kayila꞉kun,,elm,
ko꞉məkə,,throat,
kukurə,,bruise,
kumɛ,,"plain, meadow",
kuŋkə꞉,,"louse, tick",
kɔrgɔl,,pheasant,
kɔrɔ,,terrible,
kɔtɔ,,knife,
kɔŋgɔ,,deaf,
kɔŋnɔrɪn,,black,
kɔɣɔlɔ,,mitten,
kɔ꞉kan,,child,
kəlgə,,mute,
kəptʃəkɛ,,mitten,
kəpə꞉n-,,to float,
kətʃin,,river bank,
kəŋgugdɛ,,empty,
kə꞉kə,,cat (domestic),
kə꞉r,,"pasture, field, paddock",
kʊdɪr,,well (a hole dug in the ground),
kʊlɪkan,,insect,
kʊmaka,,deer,
kɪk-,,to bite,
lata,,"post, pole, stake",
laŋɪ-,,to open,
loŋbu꞉li,,bunch,
luki,,arrow,
lə꞉rin,,rough,
lʊkɪ-,,to snore,
lʊpkʊ-,,to suck,
lʊpkʊptɪn,,"nipple, teat",
maykan,,tent,
miŋga,,thousand,
mi꞉rə,,shoulder,
morgo,,"carp, sardine",
moŋwon,,silver (metal),
mo꞉ro-,,to moan,
mudun,,tree stump,
mukəli-,,"to fart, flatulate",
mu꞉,,water,
mɔŋgɔrɔ,,trough,
mɔɲɔ꞉,,"monkey, ape",
mɔ꞉,,"wood, firewood",
mɔ꞉ʃa,,"woods, forest",
mɛɣan,,heart,
mʊrɪn,,horse,
nana,,"skin, hide",
naʃʊ,,age,
na꞉tʃʊ,,maternal uncle,
nikitʃən,,duck (bird),
nitʃukun,,small,
nukuntʃa,,rotten,
nul-,,to light (a fire),
nɔnɔ,,baby,
