L2_orth,L2_ipa,L2_gloss,L2_etym
ကတူႏ,,head,
ကုဲင်,,bad,
ကေ,,tiger,
ကွတ်ꩻ,,nine,
ခင်,,"foot., leg.",
ခူး,,to dig,
ငတ်ꩻ,,five,
ငွဉ်ꩻ,,neck,
စူ,,hand.,
စွုမ်ႏ,,every,
စွံႏ,,every,
ဆွတ်,,bone.,
တခြေ့,,mosquito,
တငါ,,tooth,
တဆီ,,ten,
တနျာႏ,,red,
တဖူꩻ,,road,
တဖြွီꩻ,,rope,
တဗာႏ,,one,
တမုဲင်ꩻ,/tamaine/,What.,
တလီꩻ,,wind.,
တသာႏ,,salt,
တသီး,,yellow,
တဲမ်း,,to write,
တဲမ်းဖေႏ,,to write,
ထင်း,,to climb,
ထပေႏ,,fish,
ထာꩻအီႏ,,grass,
ထီ,,water,
ထောင်လွေꩻ,,to walk,
ထွီႏ,,dog.,
ဒီႏ,,egg,
ဒေါ့,,to speak,
ဒဲဉ်,,rice,
န,,knife,
နားရီႏ,/nar.re˦/,"clock
နားရီႏခုဲင်ႏမုဲင်ꩻဆင်ႏ?
What time is it?",
နားလာႏ,,ear,
နာꩻ,,you,
နီ,,two.,
နီ,,we; us.,
နီ,,we; us.,
နေင်ႏ,,year,
နေ့ဖူ,,nose,
နွိတ်ꩻ,,seven,
နွေႏဒီႏ,,potato,
ပို,,son,
ဖာ,,father,
ဖိုး,,ox,
ဖြေ,,tongue,
ဖြေင်း,,black,
ဖြောင်း,,mouth,
ဗူ,,paddy,
ဗေင်ႏ,,to sleep,
ဗွာ,,white,
ဘာႏသာႏ,/var.sarr/,"Religion, or language.
ဒေါ့ꩻဒါႏလဲဉ်းနေꩻပအိုဝ်ႏဘာႏသာႏငေါဝ်းDo you speak Pa-O language yet?",
မာ,,wife,
မာꩻသီ,,to kill,
မို့,,sky,
မို့အေႏ,,cloud,
မေႏ,,fire.,
မဲ့,,"eye., face.",
မွိုး,,mother,
မွူး,/mɨ⁵³/,sun,
ယားထီ,,to swim,
ရူး,,snake.,
လစ်ꩻ,,four,
လာ,/la³¹ ̈/,"moon, month",
လိုမူႏ,,woman,
လို့,,human,
လိုꩻ,,person,
လိုꩻခို,,man,
လိုꩻပေႏ,,child,
လုံး,,stone; rock,
ဝါ,,husband,
ဝါး,,bird,
ဝါးထသား,,to hunt,
သီ,,to die.,
သုံည,,zero,
သူ,,six.,
သေင်တခြာ,,forest,
သေႏသေႏ,/sayÿ.saÿ/,Always.,
သွစ်ꩻ,,eight.,
သွမ်း,,green,
သွံ,,three,
ဟူ,,rice,
ဟောဝ်,,good,
ဟံႏ,,"soil, earth",
အကောဝ်ႏ,,flower,
အရာႏ,,fruit,
အရွီး,,root,
အုံလင်ꩻ,,to sit,
အံႏ,,to eat,
အွꩻ,,to drink,
