L2_orth,L2_ipa,L2_gloss,L2_etym
abong,,house,
agew,,day,
anak,,"child (a female or male child, a daughter or son)",
Ancheta,,"A  surname, from Basque​.",
anggapo,,nothing; none,
apges,,smarting; burning sensation from a wound,
aso,,dog,
bagoong,,fermented fish paste,
baleg,,big,
baog,,(anatomy) skin,
basakay,/ba.ˈsa.kaj/,iguana,
Bautista,,"A Christian surname, from Spanish​.",
bii,,woman,
bilay,,life,
binulbol,,rice porridge,
bokol,,lump in the head,
buek,,(anatomy) hair,
Bugayong,,A  surname​.,
Cabral,,"A  surname, from Portuguese​.",
Cruz,,"A Christian surname, from Spanish​.",
danum,,water,
deket,,black,
Dumpit,,"A  surname, from Spanish​.",
duyaw,,yellow,
eleng,,nose,
Garcia,,"A  surname, from Spanish of Spanish origin.",
Gorospe,,"A  surname, from Basque​.",
ina,,"mother (female (human) who parents a child, gives birth",
kanyon,/kaˈɲon/,(weaponry) cannon,
kiew,,tree,
kugip,,dream,
labi,/ˈla.bi/,"night, evening",
maimpis,,thin,
malinak,,calm,
mangan,/ˈmaŋan/,to eat,
Mangaoang,,A  surname​.,
mata,,eye (organ),
Mercado,,"A  surname, from Spanish​.",
migmig,,urine,
multa,/mulˈta/,fine (a fee levied as punishment for breaking the law),
ngaran,,name,
ogaw,,child,
Olivares,,"A  surname, from Spanish​.",
palya,,vegetable,
Panggalatok,,"(slang, offensive, vulgar, derogatory, ethnic slur) A Pangasinense (person); the Pangasinan (language)",
pasiseng,,green,
pasiseng,,green,
puso,,(anatomy) heart,
puto,,white rice cake,
Quezada,,"A  surname, from Spanish​.",
Reyes,,"A  surname, from Spanish​.",
Rosales,,"A  surname, from Spanish​., A municipality of Pangasinan,",
sakey,,one,
siopa,/ʃoˈpa/,"who
Siopa 'yo?Who is this? Who is it?",
sira,/siˈra/,fish,
sirit,/ˈsi.rit/,urine,
sirit,/ˈsi.rit/,to urinate,
siwsiw,,chick,
Tamayo,,"A  surname, from Basque​.",
tipon,,"assembly; gathering, savings",
tipon,,to collect; to gather,
Tolentino,,"A  surname, from Spanish​.",
Untalan,,A  surname​.,
Zulueta,,"A  surname, from Basque​.",
