L2_orth,L2_ipa,L2_gloss,L2_etym
a³¹faʔ⁵⁵,/a³¹faʔ⁵⁵/,leaf,
faʔ⁵⁵,/faʔ⁵⁵/,leaf(in compounds),
faʔ⁵⁵,/faʔ⁵⁵/,"hide, hide oneself",
faʔ⁵⁵,/faʔ⁵⁵/,"hide, hide oneself",
ja̠m⁵⁵,/ja̠m⁵⁵/,"home, house",
ja̠p⁵⁵,/ja̠p⁵⁵/,sleep,
jui⁵⁵,/jui⁵⁵/,"ghost, deity",
jɔ̃³¹,/jɔ̃³¹/,"he, she, it",
kjaʔ³¹,/kjaʔ³¹/,cold (as weather),
kji̠⁵⁵,/kji̠⁵⁵/,star,
kji̠⁵⁵,/kji̠⁵⁵/,"gall, gall bladder",
kji̠⁵⁵,/kji̠⁵⁵/,"gall, gall bladder",
laʔ³¹,/laʔ³¹/,"hand, arm",
la̠³⁵,/la̠³⁵/,"moon, month",
lɛ̠̃³⁵ma³¹,/la̠³⁵/,"moon, month(in compounds)",
mi³¹,/mi³¹/,fire,
nɔ̃⁵⁵,/nɔ̃⁵⁵/,"thou, thee",
pui⁵⁵,/pui⁵⁵/,"sun, day, date(in compounds)",
sak⁵⁵,/sak⁵⁵/,"wood, tree",
sak⁵⁵,/sak⁵⁵/,new,
sak⁵⁵,/sak⁵⁵/,new,
ta³¹,,one,
ta³¹,,eat,
ta³¹,,"child, offspring, (in compounds, as suffix) member",
ta³¹,,"only, just",
ta³¹,,eat,
ta³¹,,"child, offspring, (in compounds, as suffix) member",
ta³¹,,"only, just",
ta³¹,,"child, offspring, (in compounds, as suffix) member",
ta³¹,,"only, just",
ta³¹,,"only, just",
xaŋ⁵⁵,,gold,
xaŋ⁵⁵,,long (especially in length),
xaŋ⁵⁵,,long (especially in length),
ŋa̠ʔ⁵⁵,/ŋa̠ʔ⁵⁵/,bird,
ŋa⁵⁵,/ŋa⁵⁵/,"I, me",
ŋɔ̠t⁵⁵,/ŋɔ̠t⁵⁵/,be(copula),
ɣaʔ³¹,/ɣaʔ³¹/,chicken,
ɣəi⁵⁵,/ɣəi⁵⁵/,water,
