L2_orth,L2_ipa,L2_gloss,L2_etym
achtu,/ˈat͡ʃtu/,"first, Ini ne achtu amat ne nikamaita tik seyuk taketzalisThis",
achtu,/ˈat͡ʃtu/,"first, ahead, Inat ne shujshuletket ka achtu pewki",
ajku,/ˈahku/,"up, above, over, on high
Kitalij ajku ne atiluni pal inte kalajsi ne sulinShe/he put the cup up high so that the toddler would not reach it
Muchi titachishket ka ajku pal tikitat ne metzti kwaluWe all looked up to see the lunar eclipse",
ajku,/ˈahku/,"heights, sky, heaven",
ajsi,/ˈahsi/,"(intransitive) to arrive, Shinechnawati keman tiajsi",
ajsi,/ˈahsi/,"(transitive) to find, to obtain, Nikajsik ne mutanutzka",
ajwiak,/ahˈwijak/,"tasty, delicious
Ini nakatamal sujsul ajwiakThis tamale is very delicious",
akuat,,eel.,
akuyut,/aːˈkujuːt/,otter,
amat,/ˈaːmat/,a kind of fig tree (clarification of this definition,
an-,/an/,"(personal) you, second-person plural subject marker.
Antekitit tik ne mil?Do you work at the cornfield?",
anmejemet,/anmeˈhemet/,"(personal) you, second person plural pronoun.
Anmejemet (an)taketzat yek ne Nawat
You speak Nawat well",
apan,/ˈaːpaŋ/,"river, Yajket mawiltiat tik ne apan ne pipilmetThe",
ashan,/ˈaːʃaːŋ/,"now, at the present time, Ashan tiawit tiktaliat ne",
ashnuj,/ˈaʃnuh/,"donkey, ass, Tikpiat se ashnuj pal talsajsakat ne uwatWe",
at,/aːt/,"water, Shikuni chiupi atDrink some water",
awakat,/aːˈwakat/,"avocado, Nikwaj awakat wan tamal yaluaI ate avocado",
ayutuch,/aːˈjuːtut͡ʃ/,"armadillo, San tikitaket se ayutuch tik ne ujtiWe just",
ayutzin,/aːˈjuːt͡siŋ/,"turtle, tortoise, Ne ayutzin kinaya ne itejteksis tik",
cha,/ˈt͡ʃa/,Clipping of -chiwa.,
chiknawi,/t͡ʃikˈnaːwi/,"nine, Chiknawi takutun kipia ini amat ninemi nikamaitaThis",
chikume,/t͡ʃiˈkuːme/,"seven, Ashan chikume shiwit ka inte nimutawantiaIt",
chikwasen,/t͡ʃiˈkʷaseːŋ/,"six, Nikpia chikwasen nuechkawanI have six brothers",
chikwey,/t͡ʃiˈkʷeːj/,"eight, Nipewa nitekiti mujmusta chikwey horaj ka peynaI",
chil,/ˈt͡ʃiːl/,"pepper (fruit), especially chili pepper, Shikmaka chil",
chiltik,/ˈt͡ʃiːltik/,"red, Nemita chiltik ne tujtumatThe tomatoes are red",
chiwa,/ˈt͡ʃiwa/,"(transitive) to make, Nikak ka kichiwat kumit ka néI",
ejekat,/eˈhekat/,"wind, air, Ne ejekat kiwaki ne tatuk iwan ne et keman",
elut,/ˈeːlut/,"ear of corn, Witzet kiwikat elut pal kikwaThey come",
epat,/ˈepat/,"skunk, Ijyaya tetekia ika panuk se epat ka tatenpanIt's",
esti,,blood,
et,/ˈeːt/,"bean, Shikua et pal titamanat mustaBuy beans to cook",
ilwia,/ilˈwi(j)a/,"(transitive) to tell, to say
Tinechilwij ka tiu-tiktamia katka ashanYou told me that you were going to finish it today",
ina,/ˈiːna/,"(intransitive) to say, to state, to utter
Inak ne tamachtiani ka musta tikpiat se taejekulisThe teacher said we'll have a test tomorrow",
inte,/inˈteː/,"not
Ina ka inte kimatiShe/he said she/he doesn't know
Inte niweli nitekiti yek kwak nimayanaI can't work well when I'm hungry",
inte,/inˈteː/,"no, used to deny or disagree.
Tikneki chiupi chukulat? — Te, nikwaja weyDo you want a piece of chocolate? — No, I already ate a lot",
ish,/iːʃ/,"eye, (sometimes ""face"" in compounds), Shiktzajtzakwa",
kakawani,/kakaˈwani/,salamander,
kal,/kal/,"house, Ne nukunpa nemi tik uni kal tultikMy friend",
kalat,/ˈkaːlat/,"frog, Ne kalat tzikwinik tik ne apetatThe frog jumped",
kaltapach,/kalˈtapat͡ʃ/,"cockroach, Nikmiktij ne kaltapach kwak nikitakI killed",
kanawti,/kaˈnawti/,"duck, Kiski patani ne kanawti kwak nikmutijThe duck",
kashtul,/ˈkaʃtul/,"fifteen, Tiu-tikchiwat se wey ilwit pal nueltiw ika",
kastiaj,/kasˈti(j)ah/,"the Spanish language, Castilian., ...tik kastiaj kinhilwia...s/he",
kawayu,/kaːˈwaju(h)/,"horse, Ne numiakwan tik Sentzunat kipiat se kawayuMy",
kechweyak,,jirafe.,
